AU02,AU04cand,Smile_v2
0.144628,0.559361,0.00147608
0.144628,0.559361,0.00147608
0.159695,0.504785,0.00151177
0.184677,0.473667,0.0021644
0.168796,0.39595,0.00285039
0.16061,0.378291,0.00359685
0.156752,0.333984,0.00532546
0.158148,0.310407,0.00442977
0.137228,0.272449,0.00405444
0.147117,0.264283,0.00397417
0.127334,0.233375,0.00394967
0.113453,0.211686,0.00393247
0.121189,0.1825,0.003655
0.123675,0.166792,0.0034784
0.13377,0.151201,0.00302642
0.119238,0.162734,0.0025712
0.109004,0.175275,0.0021784
0.127099,0.171142,0.00218807
0.135345,0.162283,0.00215117
0.149318,0.148541,0.00210848
0.145931,0.139879,0.00192352
0.15244,0.1387,0.00172182
0.156494,0.138308,0.00158795
0.156872,0.139769,0.00147595
0.156918,0.13651,0.0014108
0.157574,0.133551,0.00136882
0.151688,0.140546,0.00126494
0.146823,0.140751,0.00118454
0.143556,0.145571,0.0010942
0.138468,0.149594,0.00107568
0.130224,0.140815,0.00118858
0.130529,0.145802,0.00124347
0.125665,0.155434,0.00133079
0.124865,0.160927,0.00127971
0.125572,0.162206,0.00122348
0.12353,0.163984,0.00118278
0.119742,0.162424,0.00119764
0.112007,0.172752,0.00120611
0.107848,0.169925,0.00118161
0.106273,0.167787,0.00127557
0.109122,0.162379,0.00134112
0.116016,0.150332,0.00151323
0.109575,0.138911,0.00179567
0.103713,0.127698,0.0019067
0.103371,0.12863,0.001733
0.0993967,0.129712,0.00152959
0.0928731,0.137554,0.00138146
0.0846343,0.134515,0.00116813
0.0851632,0.147792,0.00106674
0.0842282,0.169405,0.00111958
0.0885394,0.170398,0.00105271
0.0723771,0.219318,0.000842709
0.062636,0.286826,0.000651736
0.0634535,0.335525,0.00050057
0.0677251,0.334186,0.000476456
0.0606778,0.373743,0.000479714
0.0609203,0.399815,0.000507549
0.0662782,0.447948,0.000499265
0.0647766,0.443017,0.000547736
0.0599517,0.441194,0.00114672
0.0602271,0.455416,0.00146103
0.0609714,0.457902,0.00163254
0.061457,0.458688,0.001754
0.0590386,0.487725,0.0017936
0.055962,0.550797,0.00168018
0.0464808,0.636616,0.00147052
0.0396809,0.683507,0.00123879
0.0296849,0.705209,0.00118866
0.0291645,0.674534,0.00120489
0.0301789,0.616131,0.00117501
0.0320499,0.59182,0.00112255
0.0371709,0.556902,0.000941359
0.0331481,0.511814,0.000886132
0.0329375,0.447855,0.000974087
0.0290183,0.446901,0.00120719
0.027758,0.404268,0.0013214
0.0256043,0.369944,0.00141606
0.0267787,0.339086,0.00171634
0.0274192,0.29965,0.00182455
