AU02,AU04cand,Smile_v2
0.14876,0.0651227,0.106966
0.14876,0.0651227,0.106966
0.14876,0.0651227,0.106966
0.125981,0.0533455,0.0874591
0.120801,0.0526404,0.0743225
0.120474,0.0528761,0.0525631
0.120266,0.0530259,0.0387336
0.121439,0.0476852,0.0281719
0.128654,0.0380535,0.0243086
0.132291,0.0416217,0.0209259
0.130857,0.0479719,0.0205166
0.136198,0.0533026,0.0165138
0.12979,0.0578478,0.0239085
0.124539,0.0650706,0.0600509
0.116862,0.0674768,0.0503686
0.112671,0.0863556,0.161801
0.112269,0.0860393,0.190427
0.130991,0.0795503,0.239851
0.136328,0.0744945,0.245688
0.183269,0.0705252,0.191476
0.192199,0.067728,0.174508
0.198282,0.0657398,0.16271
0.214269,0.0607857,0.12784
0.216638,0.0625038,0.0961482
0.213333,0.0593171,0.0845319
0.20463,0.0562018,0.0673163
0.19845,0.0544084,0.0566706
0.189754,0.0520408,0.0400343
0.181334,0.0495728,0.0302744
0.193217,0.0484531,0.0233397
0.180674,0.0525597,0.0169834
0.15664,0.0543243,0.0155969
0.157216,0.0548127,0.0136937
0.15153,0.0484364,0.0184306
0.140072,0.0465977,0.0147747
0.132215,0.0453184,0.0123728
0.143203,0.0421884,0.0117569
0.181489,0.0372546,0.0135391
0.172885,0.0350371,0.0134758
0.171374,0.0337183,0.0154669
0.170939,0.0326513,0.0168896
0.17996,0.0295744,0.0181003
0.185775,0.0280208,0.0180938
0.174807,0.029936,0.0153605
0.159715,0.0305376,0.0146309
0.149125,0.0309597,0.014119
0.1336,0.0342738,0.0137912
0.126902,0.0375541,0.0184114
0.115614,0.0478176,0.0251882
0.107547,0.0550121,0.0298861
0.101886,0.060498,0.0378631
0.0989257,0.0544334,0.0291459
0.0943098,0.0691614,0.0292768
0.0851648,0.0801922,0.039058
0.19575,0.0726969,0.0664524
0.277156,0.0691594,0.122229
0.335769,0.0574473,0.110287
0.334862,0.0466737,0.0839564
0.335715,0.0388419,0.0616169
0.32362,0.0343308,0.0496319
0.310055,0.0324938,0.0420116
0.297962,0.029894,0.0333072
0.308589,0.0279188,0.0315274
0.311153,0.0316991,0.024263
0.327343,0.0296962,0.0204848
0.292896,0.0301746,0.0195973
0.261072,0.0335315,0.0219302
0.236145,0.0357352,0.027731
0.228772,0.0384627,0.0367459
0.19477,0.0402816,0.0452441
0.179943,0.0400312,0.0385235
0.17596,0.0378112,0.0309009
0.164997,0.0378363,0.0300798
0.151105,0.036653,0.0310076
0.138303,0.0338481,0.027867
0.128104,0.0332276,0.0222442
0.123707,0.0331089,0.0197236
0.122001,0.0337903,0.0262758
0.12051,0.0388953,0.027434
0.120308,0.0424793,0.0281808
0.112294,0.0436697,0.0284894
0.109025,0.0415294,0.0220606
0.106951,0.0393292,0.0172537
0.112027,0.0373017,0.0136946
0.115662,0.0359405,0.0113054
0.117017,0.0347474,0.0101127
0.115356,0.0299974,0.00975347
0.105267,0.0278151,0.0107814
0.0981884,0.0261488,0.0115983
0.108454,0.0243714,0.0104616
0.118416,0.0227234,0.00825867
0.120255,0.0240803,0.00748653
0.126624,0.022416,0.00609924
0.130909,0.021263,0.00513004
0.121222,0.0226773,0.00536455
0.115731,0.0224602,0.00580152
0.109412,0.0215335,0.00740763
0.105236,0.0236278,0.00832168
0.0972274,0.0249655,0.00959147
0.0962446,0.0256874,0.00888535
0.0916735,0.0248425,0.00795748
0.0936903,0.0263985,0.00800425
0.103844,0.0253835,0.0071903
0.110969,0.0246713,0.00661915
0.117605,0.0228853,0.00695868
0.119687,0.0250664,0.0070523
0.117413,0.0240475,0.00792511
0.108201,0.0266236,0.00905174
0.115846,0.0259646,0.00869373
0.115987,0.027702,0.00824731
0.116196,0.0291468,0.00698338
0.12762,0.0256399,0.00568283
0.127763,0.0249697,0.00540713
0.127863,0.0244995,0.00521367
0.168517,0.0219944,0.00454107
0.162844,0.0218654,0.0042457
0.157704,0.021715,0.0040192
0.159395,0.0230154,0.00343693
0.160178,0.0239994,0.00306106
0.164682,0.0272537,0.00363738
0.177998,0.0318002,0.00483319
0.202243,0.0397295,0.00499057
0.200436,0.0451326,0.00473018
0.19536,0.0482567,0.00486761
0.180468,0.051062,0.00484259
0.164663,0.0555181,0.00670354
0.144723,0.0561309,0.00905584
0.169935,0.0583768,0.0106324
0.149546,0.0609569,0.0127148
0.168131,0.055157,0.0189409
0.187226,0.056213,0.0261814
0.192568,0.0513857,0.0210805
0.196867,0.0480015,0.0175113
0.26854,0.0417114,0.0184264
0.306434,0.0418459,0.0193857
0.390329,0.0373641,0.0187667
0.369485,0.0415048,0.0167359
