AU02,AU04cand,Smile_v2
0.0619835,0.11535,0.0232098
0.0619835,0.11535,0.0232098
0.0601001,0.109478,0.0334725
0.0575875,0.101414,0.0322452
0.0606529,0.104007,0.0281065
0.0625034,0.105573,0.0256082
0.0623341,0.100707,0.0204875
0.0609134,0.0924552,0.0185024
0.058675,0.0856454,0.0167802
0.0825399,0.0823816,0.0151235
0.0992566,0.0798273,0.0139038
0.0932157,0.0999005,0.0111285
0.0902828,0.104457,0.00889524
0.11238,0.123005,0.00855427
0.125236,0.119667,0.00843554
0.122833,0.149954,0.00925735
0.118645,0.164844,0.010497
0.113204,0.164934,0.00940138
0.103076,0.154288,0.00962048
0.101581,0.152647,0.0087546
0.095455,0.155856,0.0084988
0.0827849,0.169815,0.00804858
0.0700494,0.178907,0.00697167
0.0604148,0.184845,0.00618447
0.0537276,0.189481,0.00563108
0.0480965,0.212379,0.00548762
0.0442186,0.228635,0.00537056
0.0403016,0.244424,0.00485261
0.0377367,0.255815,0.00446089
0.0421,0.252262,0.00440776
0.0491168,0.20126,0.0053746
0.103803,0.215994,0.00494676
0.129593,0.206977,0.00447099
0.12738,0.175223,0.00407897
0.111864,0.166881,0.00575547
0.104822,0.171417,0.00796886
0.0909944,0.171574,0.0080411
0.0902139,0.179069,0.00790457
0.0795113,0.170381,0.00876349
0.0845112,0.184666,0.00797432
0.0879095,0.196091,0.00739119
0.081245,0.191347,0.00645181
0.0807441,0.186632,0.00557572
0.0759029,0.191297,0.00483216
0.0716406,0.21231,0.00618622
0.0723476,0.209303,0.00943665
0.0680234,0.22078,0.0119535
0.0647319,0.228617,0.0137254
0.0627161,0.23452,0.0149411
0.0609343,0.238081,0.0158343
0.059684,0.24058,0.0164611
0.0590271,0.24266,0.0169172
0.0584559,0.244177,0.0172437
0.0582021,0.245031,0.0174765
0.0580607,0.231252,0.0183386
0.0578512,0.222087,0.018876
0.0578512,0.215265,0.0192475
0.0578512,0.210479,0.0195082
0.0578512,0.20712,0.0196912
0.0578512,0.204763,0.0198195
0.074353,0.189536,0.0147356
0.0897405,0.169569,0.0118256
0.0789587,0.187607,0.00951002
0.071393,0.200265,0.00788514
0.0698923,0.201726,0.00680001
0.0688392,0.202751,0.00603857
0.0681003,0.20347,0.00550427
0.0675818,0.203975,0.00512934
0.0672179,0.204329,0.00486626
0.0669626,0.204578,0.00468165
0.0663059,0.205145,0.00470186
0.0657348,0.205812,0.00469701
0.0659586,0.205352,0.00470153
0.0661157,0.205029,0.0047047
0.0661157,0.205029,0.0047047
0.0661157,0.205029,0.0047047
0.063577,0.199284,0.00512584
0.0617955,0.195253,0.00542135
0.0605455,0.192424,0.00562871
0.0596683,0.190439,0.00577422
0.0590528,0.189047,0.00587632
0.0535434,0.191666,0.00543255
0.054755,0.189907,0.00563657
0.0556051,0.188673,0.00577973
0.0511242,0.191404,0.00536478
0.0530573,0.189724,0.00558902
0.0544873,0.188711,0.00573417
0.0504133,0.191597,0.00532062
0.0475545,0.193622,0.00503043
0.0493566,0.19065,0.00465523
0.0506212,0.188565,0.00439195
0.0516555,0.186997,0.00422212
0.0522343,0.186002,0.00408804
0.0526404,0.185303,0.00399395
0.0530724,0.184709,0.00394284
0.0735384,0.191822,0.00466693
0.0878995,0.196813,0.00517502
