AU02,AU04cand,Smile_v2
-1,-1,-1
-1,-1,-1
0.367769,0.159349,0.173706
0.404193,0.0752585,0.152778
0.370642,0.112259,0.122182
0.278392,0.348216,0.117707
0.29418,0.430114,0.0862727
0.321906,0.443754,0.0709686
0.338183,0.324569,0.108277
0.335773,0.256228,0.122355
0.317443,0.228292,0.11017
0.304976,0.209292,0.101882
0.295781,0.196573,0.0955018
0.288777,0.18892,0.0913414
0.284745,0.182303,0.0888883
0.281103,0.27219,0.0848814
0.287049,0.375449,0.0884829
0.27932,0.472743,0.0841188
0.266317,0.383695,0.0839734
0.280408,0.337575,0.0717433
0.297121,0.328919,0.0717861
0.308848,0.322844,0.0718162
0.322155,0.300632,0.0759092
0.332761,0.400081,0.0627083
0.337665,0.323467,0.069171
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.0578512,0.650954,0.118859
0.0578512,0.56699,0.131199
0.0465512,0.625047,0.128435
0.0510007,0.700615,0.141922
0.0534631,0.659882,0.134902
0.067547,0.620389,0.139058
0.079189,0.644295,0.129089
0.0829034,0.642618,0.135382
0.0815372,0.598818,0.131504
0.0780693,0.601599,0.138421
0.0771158,0.606206,0.151996
0.0827936,0.593005,0.162355
0.08319,0.604217,0.160466
0.0845171,0.623321,0.151113
0.0930646,0.634069,0.146798
0.0987317,0.642002,0.14355
0.103904,0.62563,0.139365
0.108913,0.603261,0.134768
0.112539,0.588784,0.131774
0.110078,0.602371,0.140026
0.108315,0.611815,0.145568
0.109433,0.606665,0.150193
0.110328,0.569929,0.154896
0.110919,0.543794,0.158419
0.111113,0.525592,0.160837
0.113788,0.503887,0.158987
0.115629,0.489252,0.157755
0.127038,0.498701,0.151036
0.135044,0.505332,0.146321
0.21951,0.467915,0.132077
-1,-1,-1
-1,-1,-1
0.35124,0.148007,0.055528
0.370666,0.357152,0.0478681
0.327912,0.329415,0.0368416
0.327335,0.468511,0.0316581
0.340383,0.43613,0.0418379
0.344061,0.480965,0.0550583
0.350434,0.497597,0.0717633
0.34807,0.463764,0.0882514
0.367055,0.498779,0.0944058
0.369813,0.451948,0.0915708
0.371889,0.403116,0.0999855
0.364166,0.388282,0.105039
0.336854,0.383882,0.121473
0.327402,0.385312,0.139942
0.321709,0.39373,0.162775
0.317824,0.40119,0.154114
0.321335,0.387126,0.151888
0.323982,0.394883,0.151384
0.326521,0.426433,0.151615
0.319711,0.422417,0.153642
0.335242,0.459361,0.140989
0.336243,0.504714,0.124158
0.327451,0.545857,0.10732
0.308295,0.568093,0.09301
0.301163,0.575377,0.0928378
0.284734,0.567782,0.0864855
0.292062,0.577147,0.0803104
0.292127,0.566102,0.0760431
0.292136,0.557549,0.0730359
0.298746,0.572871,0.070757
0.304066,0.555123,0.0783253
0.305554,0.57224,0.0760122
0.299276,0.563339,0.073663
0.315548,0.578796,0.0722998
0.321705,0.582594,0.0685617
0.322548,0.566698,0.0645368
0.321319,0.565468,0.0698777
0.321873,0.569244,0.0767268
0.323531,0.616972,0.0853867
0.324511,0.649869,0.0914669
0.318815,0.621737,0.09819
0.333932,0.600346,0.0983983
0.34476,0.585934,0.0985695
0.33146,0.584748,0.106176
0.314659,0.573598,0.102656
0.304249,0.551965,0.10408
0.291903,0.563815,0.103356
0.280665,0.594463,0.105566
0.27655,0.586902,0.110044
0.267316,0.608778,0.109556
0.262289,0.6105,0.112353
0.25948,0.614469,0.120627
0.268934,0.618643,0.129012
0.266,0.632101,0.130962
0.260354,0.653255,0.143276
0.262702,0.616025,0.136379
0.264497,0.589109,0.131583
0.281062,0.571965,0.127032
0.284959,0.583184,0.138598
0.292955,0.584454,0.141796
0.292182,0.596936,0.152825
0.296681,0.608382,0.147551
0.296968,0.600402,0.142332
0.294925,0.594316,0.16089
0.305026,0.626669,0.159518
0.323354,0.593448,0.175628
0.323521,0.587252,0.180065
0.320659,0.577682,0.178663
0.318871,0.612655,0.16651
0.318739,0.574227,0.169748
0.322638,0.550798,0.177468
0.325227,0.495706,0.182548
0.313154,0.461861,0.177649
0.322527,0.422745,0.167343
0.33639,0.402386,0.159507
0.334363,0.414028,0.147017
0.333307,0.421701,0.138452
0.316138,0.442911,0.131723
0.316785,0.428875,0.137046
0.32101,0.455118,0.15078
0.31244,0.493409,0.145696
0.320389,0.53094,0.14958
0.339065,0.52989,0.174305
0.352925,0.535574,0.188004
0.329427,0.499905,0.167875
0.323424,0.466476,0.166934
0.311595,0.367311,0.139093
0.334237,0.342471,0.126279
0.349758,0.325842,0.117006
0.344037,0.242687,0.0980613
0.373356,0.18055,0.0880359
0.374485,0.226518,0.0809777
0.37491,0.205068,0.0724159
0.370094,0.237585,0.0660056
0.362593,0.249912,0.0643603
0.341802,0.244151,0.073578
0.346475,0.264087,0.085346
0.328562,0.300994,0.0875924
0.314723,0.324487,0.0888681
0.32326,0.361198,0.0966669
0.327027,0.402665,0.103043
0.309911,0.450257,0.103102
0.305517,0.523461,0.0988374
0.286079,0.507037,0.108887
0.290357,0.521067,0.110036
0.291261,0.515825,0.11724
0.288806,0.495461,0.118964
0.297826,0.484542,0.120706
0.302923,0.467712,0.12148
0.29456,0.459808,0.116082
0.305231,0.469067,0.109191
0.294266,0.513782,0.112698
0.285082,0.531567,0.111947
0.28927,0.584227,0.0849704
0.294233,0.594536,0.0768801
0.293981,0.617586,0.0710539
0.286262,0.629216,0.0733303
0.291975,0.634343,0.0764047
0.299829,0.63875,0.0744341
0.292977,0.629659,0.0714154
0.299116,0.618766,0.0715058
0.284934,0.643757,0.0576736
0.299138,0.623394,0.0446028
0.307541,0.616618,0.03522
0.309556,0.58146,0.0309047
0.308541,0.555735,0.0271947
0.311858,0.530711,0.0251972
0.310046,0.523146,0.0231078
0.316281,0.529551,0.0202521
0.321024,0.506479,0.0192203
0.30625,0.505243,0.016804
0.288818,0.510121,0.0197803
0.274618,0.501273,0.0224522
