AU02,AU04cand,Smile_v2
0.247934,0.697601,0.0165262
0.247934,0.697601,0.0165262
0.278067,0.659655,0.0152596
0.332914,0.584174,0.0144218
0.355839,0.558194,0.0124438
0.372478,0.541959,0.0105537
0.400542,0.495081,0.010524
0.418966,0.464304,0.0105045
0.424893,0.449319,0.00893921
0.449235,0.43682,0.00740442
0.433615,0.410379,0.00659453
0.421386,0.413579,0.00584706
0.419833,0.398999,0.00506502
0.452097,0.38632,0.00413022
0.499039,0.379147,0.00325525
0.478591,0.361737,0.00286082
0.476459,0.329364,0.00237294
0.474963,0.306647,0.00203059
0.474097,0.321293,0.00262426
0.508444,0.326834,0.00264691
0.500533,0.326064,0.00226575
0.467093,0.346804,0.00256893
0.443408,0.361865,0.00278985
0.435951,0.341724,0.00330751
0.463023,0.321623,0.00332067
0.483564,0.307877,0.00332409
0.469683,0.289481,0.00359503
0.468829,0.272721,0.00313443
0.42761,0.238587,0.00314623
0.402735,0.22306,0.00271572
0.377349,0.221699,0.00342102
0.367961,0.265574,0.00334349
0.365181,0.334466,0.00319947
0.379438,0.320893,0.00285931
0.371986,0.368564,0.00269518
0.350254,0.361789,0.00344636
0.335814,0.357306,0.00396584
0.33304,0.337994,0.0033825
0.343693,0.348825,0.00348782
0.399258,0.354133,0.00343107
0.410579,0.36854,0.00351419
0.418302,0.36138,0.00299105
0.40711,0.340458,0.00303492
0.419088,0.310428,0.00303635
0.416547,0.268632,0.00335161
0.41778,0.240091,0.00322692
0.412299,0.21318,0.00330884
0.422195,0.20764,0.00279928
0.444041,0.197795,0.00247198
0.421162,0.231941,0.00237153
0.427496,0.304025,0.00227946
0.415439,0.339821,0.00226415
0.387145,0.36142,0.00232764
0.366704,0.364078,0.00247071
0.346345,0.343014,0.00261271
0.352294,0.314324,0.00278154
0.338882,0.292727,0.00263244
0.325258,0.279118,0.00223514
0.306372,0.257595,0.00196492
0.329727,0.194978,0.00219955
0.345491,0.172143,0.00192728
0.359569,0.159988,0.00166238
0.342109,0.177214,0.00147229
0.336204,0.184157,0.00127071
0.319551,0.212049,0.00103657
0.285698,0.235979,0.000905399
0.292923,0.256724,0.000820398
