AU02,AU04cand,Smile_v2
0.235537,0.0322355,0.0437281
0.235537,0.0322355,0.0437281
0.250604,0.0322481,0.0392195
0.23979,0.0356623,0.0347725
0.223408,0.0386263,0.0279301
0.223317,0.0413514,0.0241502
0.204425,0.0446779,0.0214388
0.215595,0.0489014,0.0193311
0.220514,0.0489941,0.0160438
0.20228,0.0462263,0.0138309
0.19443,0.0431644,0.0119078
0.181304,0.0429553,0.0104406
0.188302,0.0432428,0.010389
0.182193,0.042055,0.00894971
0.179432,0.0374849,0.00817668
0.179776,0.0374542,0.00764581
0.184341,0.0384204,0.00723873
0.181804,0.0409467,0.00673686
0.173751,0.0435663,0.00574082
0.176341,0.0497366,0.00533357
0.169126,0.0506792,0.00529861
0.164284,0.0512845,0.00527748
0.160408,0.0516967,0.00523689
0.158019,0.0520239,0.00525055
0.155037,0.0546939,0.00503905
0.152871,0.0564749,0.00489005
0.151241,0.0576947,0.00478673
0.150244,0.0584955,0.00472076
0.149728,0.0590352,0.00469465
0.149145,0.0592909,0.00466787
0.148994,0.0595694,0.00464193
0.147618,0.0550047,0.00448821
0.300246,0.143752,0.0234804
0.225826,0.126276,0.0183593
0.192683,0.113112,0.0152272
0.178312,0.10605,0.0125719
0.14284,0.0943343,0.0112271
0.130643,0.0793585,0.0103664
0.1297,0.0721661,0.00850198
0.129039,0.0671191,0.00719369
0.122228,0.0723935,0.00557428
0.122563,0.0660781,0.00408351
0.122161,0.0545813,0.00256989
0.142365,0.0456595,0.00207198
0.153452,0.0422772,0.00174923
0.164783,0.0416083,0.00148708
0.167122,0.0379091,0.00126104
0.176012,0.0329306,0.000981013
0.175683,0.0342856,0.000830502
0.180529,0.0311825,0.000687589
0.187922,0.0328165,0.000645517
0.168844,0.0364958,0.000630699
0.156617,0.0331726,0.000749205
0.167906,0.0285724,0.000606353
0.175901,0.0252618,0.000504962
0.153474,0.0248398,0.000469227
0.141729,0.025227,0.000510389
0.140884,0.0331287,0.00045962
0.144282,0.0435674,0.000433572
0.122402,0.0675528,0.000531651
