AU02,AU04cand,Smile_v2
0.413223,0.31272,0.206404
0.413223,0.31272,0.206404
0.413223,0.31272,0.206404
0.406715,0.33679,0.175596
0.403113,0.350111,0.158546
0.385542,0.371716,0.147171
0.374374,0.385447,0.139941
0.363113,0.397867,0.14486
0.355562,0.406196,0.148159
0.354234,0.40181,0.163173
0.35279,0.399563,0.17319
0.351776,0.397986,0.18022
0.351065,0.39688,0.185152
0.346905,0.418472,0.177808
0.343986,0.433623,0.172655
0.34488,0.413927,0.20869
0.373434,0.393712,0.185189
0.39358,0.379431,0.168428
0.438182,0.35474,0.173425
0.469369,0.337705,0.176561
0.507755,0.290324,0.155793
0.511842,0.264615,0.141276
0.519787,0.244575,0.126777
0.525472,0.22985,0.116937
0.538347,0.204821,0.127581
0.547308,0.188126,0.133904
0.561674,0.194365,0.126084
0.576831,0.192394,0.112744
0.566276,0.233153,0.0965343
0.551253,0.282543,0.0810177
0.578315,0.254632,0.0740985
0.575117,0.248481,0.0827412
0.572726,0.244224,0.0889305
0.593896,0.230215,0.0852909
0.608495,0.22081,0.082229
0.631432,0.200462,0.0745938
0.634577,0.199418,0.0751184
0.615057,0.204163,0.0750706
0.61718,0.193991,0.0635245
0.585887,0.252707,0.0723579
0.562826,0.29575,0.0784607
0.559999,0.318414,0.0735799
0.566901,0.32403,0.0664575
0.554581,0.333659,0.060289
0.537051,0.368219,0.0485655
0.500264,0.396304,0.0391426
0.49132,0.414286,0.0478175
0.485668,0.42675,0.0539233
0.455875,0.510922,0.0819306
0.466388,0.542075,0.0788251
0.475035,0.519713,0.0821733
0.466772,0.557489,0.102403
0.510222,0.462619,0.0899139
0.541188,0.395893,0.0811909
0.558098,0.343772,0.0713523
0.587163,0.290519,0.0593335
0.60708,0.25319,0.0504528
0.612171,0.231643,0.0398519
0.617747,0.201295,0.0324797
0.597929,0.222267,0.0352254
0.564946,0.291695,0.0692743
0.565054,0.360088,0.0924416
0.563697,0.411601,0.109474
0.562745,0.447748,0.121425
0.553339,0.398286,0.112901
0.533567,0.42172,0.115624
0.519692,0.438164,0.117536
0.533063,0.370243,0.122318
0.520829,0.364256,0.115803
0.537023,0.331001,0.107559
0.540053,0.288269,0.107793
0.541517,0.257669,0.107963
0.569201,0.256969,0.0999335
0.588628,0.256478,0.0942992
0.565704,0.275581,0.108946
0.549987,0.287317,0.118976
0.546574,0.287365,0.123696
0.554942,0.260675,0.131847
0.532243,0.286294,0.126346
0.532118,0.275137,0.113867
0.537366,0.263667,0.0964629
0.544856,0.238738,0.0863128
0.549341,0.220644,0.0794263
0.534716,0.204663,0.0621858
0.521712,0.232142,0.0637443
0.520202,0.27656,0.0654662
0.535425,0.300692,0.0717424
0.550853,0.260933,0.080056
0.533329,0.27806,0.0776267
0.514207,0.365437,0.0931667
0.500643,0.426871,0.104316
0.482129,0.395084,0.0879802
0.469138,0.372779,0.0765176
0.499886,0.336552,0.0898009
0.501263,0.382351,0.0780316
0.502009,0.413762,0.0697548
0.493169,0.38312,0.056742
0.486819,0.363283,0.0474935
0.489555,0.413483,0.0424109
0.491658,0.446552,0.0383527
0.494404,0.466469,0.0424348
0.496587,0.482627,0.0459967
0.480349,0.550176,0.0523881
0.467815,0.598174,0.0562661
0.467224,0.544619,0.0968461
0.466809,0.507039,0.125321
0.466775,0.443503,0.121363
0.466752,0.398919,0.118585
0.456396,0.377781,0.114563
0.466901,0.371971,0.103538
0.484391,0.360707,0.0847833
0.514434,0.309496,0.0990475
0.53603,0.271933,0.108944
0.524528,0.323787,0.113015
0.516236,0.362637,0.114794
0.509148,0.418002,0.111073
0.491481,0.496643,0.115147
0.470198,0.614028,0.103977
0.454288,0.697817,0.096398
0.480691,0.67463,0.0929207
0.509079,0.669902,0.0989169
0.515791,0.610413,0.10132
0.523039,0.574513,0.101957
0.528897,0.547058,0.102487
0.521583,0.508589,0.0947599
0.516488,0.480781,0.0894813
0.51328,0.457804,0.0778373
0.511286,0.439881,0.0700727
0.504846,0.434335,0.0539161
0.497956,0.433783,0.0424131
0.50552,0.419092,0.0385446
0.52389,0.398283,0.0329823
0.534167,0.366495,0.0343091
0.564228,0.315658,0.034857
0.58946,0.296254,0.0369746
0.630014,0.316546,0.0410168
0.658471,0.330853,0.044078
0.669554,0.320122,0.0460659
0.677478,0.312387,0.0477706
0.69196,0.308574,0.0422774
0.701755,0.299087,0.038502
0.701914,0.307064,0.0463193
0.702099,0.313154,0.0516542
0.734571,0.30058,0.0598192
0.757247,0.291302,0.0655052
0.735686,0.276345,0.0538012
0.720556,0.265849,0.0455885
0.740661,0.257637,0.0517438
0.683685,0.276531,0.0983899
0.643447,0.318304,0.0981469
0.59871,0.372421,0.0853818
0.597967,0.374464,0.0714786
0.569519,0.382988,0.059269
0.55114,0.400404,0.0503133
0.563632,0.418107,0.039191
0.573462,0.430744,0.0318385
0.598131,0.412158,0.0309947
0.612021,0.400259,0.0279529
0.632711,0.385024,0.0241803
0.647229,0.373506,0.0224931
0.631237,0.362789,0.01714
0.638175,0.35595,0.0155519
0.64512,0.340056,0.013555
0.652459,0.327993,0.0106615
0.656874,0.31937,0.0087712
0.668858,0.317863,0.00953375
0.676752,0.317599,0.00994393
0.667133,0.321063,0.0110581
0.663934,0.30781,0.0108277
0.68073,0.270176,0.0104047
0.693287,0.243823,0.0102391
0.69647,0.238234,0.0108548
0.689781,0.21404,0.0116981
0.697708,0.235545,0.0120798
0.709617,0.226691,0.0109939
0.717716,0.220347,0.0101714
0.723399,0.215895,0.00959427
0.716404,0.225215,0.0083033
0.717732,0.226939,0.00797525
0.718113,0.228969,0.00775262
0.723457,0.258619,0.00697553
0.727355,0.279051,0.00640736
0.731616,0.291949,0.00621762
0.734239,0.299886,0.00609181
0.730818,0.301878,0.0065838
0.728418,0.303277,0.00692903
0.730541,0.326916,0.00719487
0.732362,0.34314,0.00740641
0.744881,0.388388,0.00690132
0.74224,0.355879,0.00617266
0.740241,0.33225,0.00567933
0.742646,0.342687,0.00586277
0.744297,0.350069,0.00598512
0.73657,0.3569,0.00567154
0.731294,0.361817,0.00543584
0.73267,0.347956,0.00522628
0.733525,0.337574,0.00507856
0.741742,0.342824,0.00466054
0.747176,0.345532,0.00438567
0.746243,0.35291,0.00861478
0.730356,0.36711,0.0105899
0.749562,0.400815,0.0117786
0.746538,0.36467,0.0104707
0.744673,0.339259,0.00956453
0.766213,0.311124,0.0112839
0.78118,0.291882,0.0124916
0.766296,0.31338,0.0106299
0.755631,0.328103,0.00933261
0.74307,0.355806,0.00926341
0.734402,0.375141,0.00908718
0.743994,0.375795,0.00897329
0.749843,0.375545,0.00889864
0.74173,0.378209,0.00805084
0.736038,0.380078,0.00745594
0.73646,0.361199,0.00745593
0.741834,0.386027,0.00921302
0.746339,0.402436,0.0105244
0.748231,0.432478,0.00918797
0.749706,0.453056,0.00822586
0.758357,0.433966,0.00758173
0.763986,0.420937,0.00713029
0.7819,0.429728,0.00611002
0.785951,0.416964,0.00613436
0.762138,0.39948,0.00683801
0.74528,0.387805,0.00731771
0.752345,0.39419,0.00899483
0.759842,0.386927,0.00876448
0.754983,0.376824,0.0111587
0.755383,0.399331,0.0136308
0.755442,0.416094,0.0153646
0.755484,0.418677,0.0193137
0.755109,0.419971,0.0221051
0.769067,0.404065,0.0199644
0.699662,0.36128,0.0252105
0.640805,0.404806,0.0380857
0.598954,0.434895,0.04708
0.551743,0.467428,0.043506
0.517639,0.492282,0.0492913
0.510099,0.473575,0.0512986
0.514964,0.458846,0.051897
0.504414,0.447824,0.0543377
0.485587,0.481988,0.0482094
0.471972,0.506464,0.0440271
0.49139,0.49562,0.0396679
0.505309,0.485882,0.036343
0.497305,0.465608,0.0384565
0.51759,0.420251,0.040925
0.521706,0.378115,0.0408945
0.524117,0.348649,0.0362919
0.555979,0.349602,0.0364242
0.578742,0.350298,0.0364562
0.581082,0.350959,0.0335213
0.595417,0.34942,0.0327948
0.607244,0.352098,0.031371
0.615542,0.353977,0.030372
0.624419,0.379042,0.0264953
0.646414,0.371594,0.0232851
0.651988,0.37366,0.0229925
0.671131,0.385965,0.0267437
0.683682,0.393975,0.0292793
0.674718,0.384328,0.0290221
0.668832,0.377519,0.0289339
0.688453,0.372154,0.0288318
0.686914,0.383862,0.0309868
0.682027,0.369887,0.0305031
0.678524,0.359405,0.0302518
0.680666,0.370458,0.0360874
0.682463,0.378011,0.0401269
0.679474,0.3834,0.0394637
0.69261,0.394152,0.0388868
0.701072,0.416899,0.039039
0.715896,0.397942,0.038538
0.7256,0.384658,0.0381865
0.706193,0.375756,0.036185
0.692685,0.370151,0.0348383
0.684477,0.369106,0.0365785
0.678569,0.367861,0.037626
0.697273,0.352306,0.0349015
0.710507,0.341379,0.0330878
0.724431,0.345184,0.0341663
0.734238,0.347426,0.0349086
0.735784,0.331467,0.03136
0.720368,0.312817,0.0354667
0.710322,0.299705,0.0383973
0.70835,0.321001,0.0362649
0.727239,0.36918,0.0324576
0.712568,0.33609,0.0346401
0.701612,0.313295,0.0362717
0.715503,0.337378,0.0345405
0.725103,0.353939,0.0332577
0.738187,0.370109,0.0314233
0.752592,0.36208,0.0276312
0.754292,0.326643,0.0263071
0.755486,0.301776,0.025378
0.756176,0.289978,0.0234852
0.76115,0.294154,0.0287835
0.68167,0.408331,0.0531119
0.625899,0.488449,0.0701832
0.581062,0.549331,0.070404
0.543253,0.572633,0.0673436
0.507653,0.59228,0.0659728
0.493949,0.628178,0.0629512
0.474436,0.666162,0.0732099
0.463282,0.64765,0.0862722
0.452917,0.624494,0.0852757
0.461998,0.65077,0.0806035
0.470795,0.666044,0.0767244
0.49347,0.659062,0.0640244
0.50572,0.585294,0.0602111
0.514499,0.534093,0.0576283
0.51457,0.463516,0.0583959
0.490171,0.488197,0.0927076
0.494923,0.507041,0.105104
0.494377,0.5053,0.115524
0.480103,0.535561,0.139936
0.46961,0.555553,0.157175
0.474941,0.568963,0.147969
0.460432,0.58615,0.137129
0.456709,0.611894,0.127665
0.454096,0.629959,0.121023
0.463871,0.664453,0.104454
0.461273,0.680037,0.101644
0.458825,0.690918,0.0999991
0.488952,0.709021,0.0901822
0.495264,0.728834,0.0950361
0.480653,0.710442,0.0958965
0.483995,0.697842,0.0867108
0.471623,0.661731,0.0795351
0.472912,0.635927,0.0698788
0.472548,0.648978,0.0555159
0.484655,0.623545,0.0475384
0.487098,0.616823,0.038485
0.478657,0.642858,0.0417833
0.476893,0.678007,0.0411083
0.478635,0.684504,0.0377709
0.479139,0.679163,0.0465285
0.467664,0.675887,0.0538124
0.479093,0.665354,0.0574874
0.481742,0.697669,0.0593471
0.47856,0.740236,0.0693497
0.463266,0.730091,0.0726435
0.440024,0.707686,0.0695685
0.449396,0.684695,0.0611849
0.439324,0.684164,0.0669214
0.452493,0.702642,0.0656623
0.449077,0.707465,0.0570163
0.455896,0.675177,0.0496186
0.46013,0.652782,0.0444699
0.468325,0.616807,0.0378929
0.497071,0.593152,0.0310761
0.522687,0.577759,0.0273636
0.532144,0.556602,0.0224209
0.538045,0.541941,0.0191247
0.531239,0.558069,0.0171767
0.560149,0.572677,0.0135043
0.570647,0.532937,0.0110958
0.585373,0.494823,0.00939176
0.590628,0.468377,0.0151285
0.591631,0.46495,0.0167507
0.608174,0.432857,0.145429
