AU02,AU04cand,Smile_v2
0.338843,0.217869,0.705502
0.338843,0.217869,0.705502
0.286109,0.17552,0.82833
0.285721,0.152806,0.877808
0.273624,0.131097,0.914809
0.263522,0.11505,0.937657
0.257102,0.11612,0.919906
0.2411,0.109678,0.891248
0.257369,0.126036,0.845984
0.245585,0.188253,0.821101
0.227706,0.208698,0.846085
0.227854,0.272131,0.861866
0.230256,0.279729,0.855171
0.218697,0.297254,0.871132
0.212149,0.285595,0.835771
0.212705,0.246127,0.688664
0.211826,0.239382,0.553285
0.196308,0.240716,0.395163
0.169414,0.252245,0.272669
0.133433,0.281088,0.186114
0.119867,0.217883,0.123774
0.127751,0.217936,0.0815707
0.118014,0.212293,0.0530138
0.12932,0.228104,0.031571
0.127062,0.20079,0.0196697
0.129139,0.166102,0.0165439
0.139518,0.155782,0.0168399
0.153589,0.183324,0.0410295
0.155018,0.194243,0.0937725
0.151458,0.205142,0.150707
0.148629,0.199424,0.252726
0.158823,0.187327,0.316218
0.162609,0.213034,0.379515
0.16729,0.227091,0.572018
0.167061,0.248326,0.707844
0.162981,0.262645,0.803468
0.166208,0.262721,0.870576
0.160673,0.258005,0.91707
0.16974,0.222858,0.948744
0.17371,0.231022,0.970364
0.173957,0.23647,0.983739
0.191535,0.242868,0.993424
0.20271,0.25771,0.999668
0.196514,0.254732,0.999741
0.201163,0.290928,0.999757
0.205805,0.303716,0.999714
0.210147,0.298212,0.999693
0.207068,0.280134,0.999698
0.198193,0.270829,0.99975
0.214888,0.276599,0.999785
0.191134,0.260939,0.999833
0.173951,0.249882,0.999864
0.184779,0.236274,0.999897
0.173741,0.218174,0.999919
0.165738,0.204357,0.999936
0.162625,0.224454,0.999945
0.160403,0.238984,0.999951
0.162836,0.197735,0.999951
0.163458,0.199393,0.999945
0.159424,0.188701,0.999944
0.155084,0.199879,0.999911
0.153308,0.193284,0.999915
0.157747,0.189064,0.999906
0.14872,0.188745,0.999911
0.158887,0.201606,0.999909
0.168486,0.214701,0.999906
0.176492,0.195739,0.999881
0.180729,0.217526,0.999882
0.178662,0.217495,0.999883
0.174783,0.201639,0.999876
0.175943,0.225093,0.999885
0.17672,0.241968,0.999889
0.177082,0.256718,0.999888
0.173895,0.235788,0.999916
0.162295,0.234023,0.999925
0.152813,0.20865,0.999932
0.162624,0.227292,0.999921
0.159391,0.241941,0.999906
0.161077,0.242603,0.999781
0.163603,0.231615,0.999676
0.153841,0.230757,0.999548
0.150799,0.224325,0.999364
0.148664,0.236272,0.999334
0.148546,0.25329,0.999058
0.147451,0.265458,0.99884
0.147988,0.281782,0.998708
0.150427,0.280315,0.998716
0.149893,0.289285,0.998646
0.151947,0.285948,0.998815
0.152082,0.274692,0.998976
0.14743,0.273571,0.999076
0.147864,0.276799,0.999196
0.145629,0.255279,0.999212
0.141486,0.234335,0.999289
0.138615,0.219621,0.999344
0.140372,0.208173,0.99935
0.141531,0.200484,0.999352
0.134802,0.201628,0.999381
0.131276,0.193272,0.999395
0.132647,0.20926,0.999436
0.14391,0.196171,0.999497
0.15932,0.177502,0.999562
0.161321,0.186707,0.99963
0.162799,0.193329,0.999676
0.168913,0.196414,0.999682
0.284798,0.178825,0.998719
0.410542,0.163857,0.998887
0.45457,0.144033,0.998222
0.472734,0.144018,0.997644
0.501872,0.132733,0.997847
0.482673,0.117362,0.99683
0.479136,0.103407,0.995928
0.437561,0.106818,0.995891
0.413465,0.104732,0.995723
0.39641,0.103313,0.995607
0.357091,0.0973262,0.99483
0.328215,0.0891264,0.995423
0.335895,0.0824,0.994407
0.314995,0.0986052,0.995547
0.275734,0.0954979,0.996732
0.251862,0.100997,0.997602
0.238625,0.099102,0.998211
0.230475,0.0902346,0.998733
0.22461,0.0841419,0.999103
0.205261,0.145479,0.999311
0.215231,0.189009,0.999526
0.247614,0.194843,0.999634
0.239102,0.184917,0.999768
0.246593,0.159942,0.999837
0.295707,0.130566,0.999869
0.293285,0.122685,0.999892
0.28132,0.119413,0.999908
0.272924,0.117323,0.999916
0.306383,0.0967496,0.999922
0.33665,0.0790279,0.999939
0.361034,0.0700134,0.999951
0.367255,0.0588321,0.999959
0.375041,0.0582122,0.999925
0.383945,0.083404,0.999915
0.381328,0.0747264,0.999904
0.361516,0.0685061,0.999824
0.352986,0.0594638,0.999241
0.313996,0.0818207,0.998082
0.312155,0.0948227,0.997888
0.285292,0.115148,0.996602
0.299335,0.125017,0.994286
0.318369,0.121722,0.994357
0.351962,0.144505,0.991057
0.371615,0.155415,0.991365
0.393243,0.149808,0.982849
0.382314,0.155932,0.980824
0.404962,0.119801,0.982419
0.431965,0.102305,0.984195
0.43364,0.0850088,0.987854
0.469823,0.0880532,0.988715
0.46887,0.0884307,0.988168
0.45525,0.0917221,0.987838
0.462877,0.0893227,0.986417
0.463261,0.0885075,0.976427
0.436653,0.0796043,0.975491
0.423832,0.0903679,0.974712
0.415222,0.100886,0.974491
0.398732,0.1135,0.976763
0.395255,0.134993,0.981087
0.356281,0.149996,0.985306
0.356324,0.14694,0.986714
0.354183,0.143591,0.988003
0.330587,0.139015,0.989736
0.324331,0.142908,0.990709
0.320713,0.145893,0.991224
0.330721,0.127969,0.988874
0.337707,0.11534,0.987212
0.30863,0.0999527,0.983865
0.323548,0.0990445,0.980396
0.336315,0.0945548,0.979727
0.343232,0.0908272,0.982462
0.34689,0.081976,0.981927
0.351351,0.0735677,0.98069
0.361803,0.0683291,0.98121
0.36533,0.0757807,0.982671
0.347127,0.11473,0.986381
0.314044,0.140488,0.987604
0.291822,0.144556,0.989492
0.276469,0.134428,0.990964
0.255504,0.138901,0.992251
0.229405,0.120799,0.993222
0.216206,0.13494,0.993659
0.199291,0.132602,0.994351
0.187201,0.130936,0.994796
0.183905,0.125662,0.995523
0.166948,0.13337,0.996004
0.168331,0.123752,0.996315
0.169301,0.117414,0.996505
0.173753,0.140383,0.996471
0.175902,0.154762,0.996636
0.17774,0.165468,0.996747
0.172536,0.173205,0.996836
0.162758,0.178975,0.996053
0.155897,0.186154,0.995047
0.16236,0.179428,0.993432
0.159719,0.18407,0.991901
0.180348,0.162689,0.990498
0.169436,0.182964,0.990771
0.17817,0.171667,0.989991
0.170373,0.172824,0.991517
0.185211,0.191349,0.990978
0.19073,0.202012,0.991525
0.203671,0.205695,0.992212
0.189904,0.2079,0.992118
0.173566,0.205507,0.992696
0.159783,0.220825,0.992731
0.163413,0.20494,0.993215
0.184466,0.183888,0.991859
0.188607,0.170269,0.993031
0.1843,0.158633,0.994112
0.179421,0.160644,0.995353
0.174875,0.218693,0.995999
0.176505,0.257008,0.996886
0.155462,0.308025,0.997403
0.154842,0.332077,0.996627
0.151942,0.346456,0.995872
0.160928,0.345529,0.994924
0.170527,0.379093,0.995805
0.163593,0.390732,0.996257
0.158948,0.398951,0.996565
0.155725,0.377008,0.996249
0.166194,0.351964,0.99592
0.173394,0.334464,0.995676
0.180376,0.30328,0.995606
0.178525,0.293031,0.99543
0.184915,0.275654,0.996002
0.18653,0.279534,0.996452
0.178668,0.292294,0.996882
0.178632,0.294621,0.997025
0.178607,0.296253,0.997126
0.178589,0.305121,0.997591
0.187095,0.299339,0.998044
0.184178,0.292242,0.998523
0.180825,0.314086,0.998839
0.188811,0.290087,0.999178
0.185309,0.279343,0.999402
0.182925,0.271348,0.999559
0.213243,0.271191,0.999657
0.228024,0.24679,0.999754
0.247281,0.257947,0.99981
0.22906,0.258023,0.999848
0.22998,0.2351,0.999879
0.214381,0.237527,0.999898
0.225051,0.224099,0.999918
0.204318,0.2294,0.999917
