AU02,AU04cand,Smile_v2
0.495868,0.093545,0.147425
0.495868,0.093545,0.147425
0.490218,0.0822063,0.153774
0.464782,0.0732168,0.171117
0.483382,0.0610803,0.129015
0.484812,0.0548764,0.128932
0.466886,0.0499775,0.137916
0.449879,0.0475391,0.118614
0.438474,0.045904,0.10567
0.424371,0.0437239,0.0997837
0.413964,0.0417705,0.0952822
0.423163,0.0391726,0.0845948
0.429728,0.0370618,0.0888774
0.425964,0.0372926,0.0844069
0.446632,0.0444099,0.0746465
0.452507,0.0459119,0.104204
0.453335,0.0536699,0.109682
0.466758,0.0698548,0.0929318
0.450788,0.0862824,0.0898323
0.441036,0.0859569,0.0884323
0.435462,0.082181,0.0824945
0.423457,0.0832103,0.0885961
0.426457,0.0789928,0.0810026
0.411048,0.0718153,0.0890528
0.407154,0.0658273,0.0904195
0.403409,0.0652677,0.0891986
0.388198,0.0693571,0.0901104
0.380965,0.0802514,0.0873377
0.380433,0.0883222,0.0795494
0.392716,0.0930002,0.0688703
0.365756,0.109238,0.0742527
0.366099,0.126751,0.108437
0.402821,0.124413,0.1252
0.41514,0.118042,0.133333
0.423564,0.113593,0.139171
0.391431,0.116373,0.15774
0.361634,0.111778,0.156508
0.340615,0.10182,0.163712
0.320679,0.094204,0.156468
0.319015,0.0863624,0.140015
0.344264,0.0761688,0.126667
0.348737,0.0778306,0.122517
0.395238,0.0744095,0.17116
0.390191,0.0852457,0.167845
0.346029,0.0870584,0.159237
0.316143,0.0881565,0.152779
0.301739,0.091242,0.143897
0.277669,0.0866716,0.150041
0.259656,0.0917467,0.169996
0.252996,0.0857672,0.175511
0.241241,0.0853778,0.176009
0.237168,0.0774965,0.168522
0.233024,0.0721113,0.161782
0.242643,0.0642128,0.167584
0.22645,0.0613849,0.163566
0.240475,0.0628441,0.166777
0.25521,0.0625215,0.174754
0.244374,0.0738897,0.175001
0.25204,0.0832535,0.184758
0.262313,0.0887241,0.196131
0.273513,0.0851068,0.223509
0.282532,0.0835743,0.271069
0.283783,0.0829582,0.298065
0.300832,0.0826927,0.333188
0.307146,0.0799534,0.366321
0.310842,0.0777476,0.405213
0.318366,0.0738661,0.416404
0.320462,0.071129,0.421125
0.322762,0.0664036,0.41601
0.328036,0.0667691,0.402821
0.331627,0.0672383,0.393007
0.329033,0.0637904,0.361864
0.321012,0.0554344,0.340298
0.317446,0.0490732,0.321228
0.315127,0.0446813,0.307608
0.314769,0.0437055,0.28843
0.341027,0.0439855,0.24445
0.363371,0.0420119,0.208729
0.384091,0.0401604,0.18647
0.401058,0.03939,0.166719
0.391385,0.0363696,0.166798
0.379667,0.0340516,0.164932
0.385591,0.0339138,0.159164
0.409985,0.0312329,0.157022
0.427102,0.0293517,0.155519
0.469541,0.0394291,0.144923
0.450313,0.0435605,0.15694
0.430364,0.0589211,0.183249
0.394639,0.0886262,0.183811
0.397423,0.117859,0.227195
0.411426,0.128795,0.261765
0.421399,0.103273,0.243722
0.417838,0.0874545,0.281126
0.410943,0.0788013,0.279829
0.421337,0.069935,0.290273
0.409978,0.0575842,0.301095
0.413558,0.0466968,0.298603
0.407369,0.0421947,0.273125
0.431576,0.0341268,0.21784
0.449023,0.0299208,0.1675
0.458397,0.0318136,0.121422
0.461166,0.0357671,0.10195
0.463404,0.0356474,0.0777543
0.466353,0.0337802,0.0569252
0.452749,0.0334697,0.0458072
0.443718,0.0334197,0.0379128
0.43074,0.0289569,0.0260364
0.435853,0.0277639,0.0202602
0.450058,0.025373,0.01654
0.426984,0.0254892,0.0200339
0.40452,0.0358315,0.0241252
0.388868,0.0535014,0.0291067
0.404541,0.0600002,0.0314935
0.43962,0.062511,0.0276864
0.439289,0.109983,0.0236529
0.449211,0.133762,0.0202215
0.405583,0.137343,0.0286887
0.333945,0.144121,0.0427903
0.341736,0.221621,0.0387569
0.414166,0.257641,0.035126
0.444864,0.237043,0.0353836
0.481637,0.197031,0.0792687
0.499053,0.156528,0.0813073
0.466148,0.140293,0.0975824
0.443794,0.127576,0.109039
0.458278,0.114673,0.155144
0.497838,0.0934921,0.159333
0.529311,0.0869244,0.171408
0.539551,0.0890325,0.192271
0.509284,0.109911,0.27531
0.488633,0.125881,0.333497
0.502897,0.163161,0.351562
0.500433,0.162667,0.38305
0.445407,0.215744,0.353112
0.418219,0.220509,0.329476
0.403337,0.232958,0.296681
0.388278,0.238584,0.276144
0.364944,0.239087,0.239448
0.359019,0.231712,0.208295
0.372392,0.230642,0.205351
0.37289,0.241607,0.201504
0.36224,0.265199,0.190213
0.366558,0.287932,0.179086
0.355936,0.343675,0.163783
0.343074,0.367627,0.147597
0.318669,0.381057,0.141727
0.305463,0.370606,0.141397
0.305449,0.344221,0.148641
0.308953,0.328362,0.149831
0.317281,0.314161,0.161536
0.319574,0.278782,0.165376
0.33544,0.254769,0.161832
0.344973,0.217652,0.177399
0.341949,0.193239,0.194452
0.337435,0.175539,0.198083
0.341055,0.165005,0.207142
0.363795,0.154498,0.203025
0.365531,0.149263,0.188811
0.372986,0.144828,0.186272
0.371687,0.134994,0.180709
0.369616,0.139104,0.183459
0.370298,0.152991,0.182962
0.379698,0.156445,0.173815
0.380242,0.155844,0.172109
0.376888,0.167205,0.176794
0.37689,0.176861,0.178079
0.377573,0.182592,0.170403
0.386073,0.200058,0.168248
0.390584,0.203795,0.165541
0.401549,0.206884,0.163534
0.408011,0.206719,0.163254
0.399778,0.223208,0.158791
0.414054,0.216242,0.155664
0.428063,0.215732,0.160946
0.438004,0.215033,0.164489
0.438559,0.229419,0.153211
0.438911,0.237448,0.145535
0.446554,0.259258,0.135087
0.451954,0.27481,0.127784
0.455523,0.285715,0.122666
0.458064,0.293426,0.119036
0.460215,0.298347,0.116615
0.461136,0.302343,0.114923
0.461672,0.305022,0.113515
0.462048,0.306902,0.112527
0.462496,0.307789,0.112233
0.450116,0.281537,0.112868
0.447556,0.312764,0.112957
0.454645,0.316777,0.11146
0.454542,0.304352,0.110528
0.469702,0.30699,0.109602
0.47907,0.305658,0.110937
0.481836,0.304587,0.10887
0.49774,0.306641,0.107413
0.5089,0.308083,0.106391
0.502768,0.309135,0.106746
0.492485,0.286832,0.105747
0.495241,0.282177,0.104646
0.496918,0.281994,0.104573
0.498241,0.282306,0.104518
0.493652,0.274363,0.105171
0.48666,0.256819,0.112028
0.464093,0.237335,0.113194
0.463085,0.213949,0.115888
0.471264,0.203148,0.117065
0.476138,0.250078,0.118769
0.482281,0.283238,0.123209
0.491374,0.28971,0.129747
0.497755,0.294176,0.134316
0.503502,0.300747,0.131561
0.514029,0.303434,0.132575
0.505024,0.30158,0.132615
0.49795,0.299413,0.134519
0.497623,0.287782,0.133547
0.499675,0.2748,0.132886
0.499882,0.261165,0.13014
0.498685,0.25188,0.12837
0.498967,0.245028,0.127599
0.501703,0.243308,0.124893
0.503587,0.248763,0.124812
0.490762,0.280243,0.120412
0.480971,0.305001,0.116188
0.470329,0.324975,0.11337
0.47287,0.340144,0.114445
0.469502,0.357235,0.120708
0.474791,0.385437,0.131462
0.478539,0.405218,0.139001
0.479864,0.406222,0.138005
0.480719,0.406838,0.137369
0.485128,0.407575,0.138127
0.488625,0.407293,0.138782
0.478423,0.373413,0.138839
0.477721,0.421954,0.126228
0.476934,0.448694,0.118379
0.476529,0.467275,0.112712
0.473485,0.429179,0.117643
0.454848,0.382746,0.123274
0.443076,0.355093,0.127613
0.434816,0.335688,0.130658
0.426371,0.335455,0.125019
0.431869,0.327319,0.125897
0.447519,0.318057,0.126834
0.460856,0.292393,0.127133
0.462598,0.259965,0.129475
0.465089,0.237457,0.131239
0.455487,0.225469,0.129095
0.446688,0.238373,0.128847
0.43413,0.23757,0.130065
0.427857,0.22673,0.162849
0.44003,0.193704,0.27576
0.43174,0.188479,0.373756
0.423053,0.160254,0.488162
0.428308,0.154103,0.55954
0.429678,0.158147,0.583417
0.449642,0.15889,0.511243
0.460174,0.191092,0.416717
0.451136,0.184874,0.346279
0.4399,0.174027,0.305825
0.448444,0.167051,0.249732
0.464117,0.180564,0.19334
0.49971,0.198044,0.151575
0.528568,0.187853,0.117604
0.543409,0.23537,0.0892156
0.569129,0.272969,0.0692201
0.585357,0.255294,0.0685739
0.58416,0.251304,0.0644342
0.554603,0.233142,0.0596763
0.539086,0.224974,0.0515693
0.501064,0.238122,0.0439139
0.449972,0.249695,0.0375886
0.395651,0.238776,0.0302929
0.335845,0.228294,0.025992
0.328298,0.234972,0.0257228
0.323831,0.252258,0.0217811
0.30804,0.259959,0.0189443
0.302404,0.255754,0.0180235
0.300563,0.251594,0.0186314
0.283892,0.236765,0.0241153
0.28439,0.22016,0.0275545
0.266397,0.205314,0.0358293
0.260632,0.188381,0.0408719
0.259751,0.179572,0.0414866
0.268295,0.183771,0.0387057
0.270446,0.184091,0.0379644
0.249473,0.166556,0.0359186
0.239688,0.150183,0.0309303
0.231515,0.137159,0.0270734
0.221144,0.130059,0.024685
0.208458,0.124958,0.0241541
0.197568,0.117808,0.0368489
0.189744,0.112996,0.0457814
0.161331,0.119192,0.0477955
0.167756,0.109107,0.0519619
0.18253,0.105085,0.0551305
0.196097,0.137629,0.0528375
0.192777,0.153746,0.0565413
0.165096,0.184957,0.0912991
0.14328,0.197284,0.150735
0.129389,0.217146,0.196023
0.115906,0.226099,0.203927
0.106446,0.243011,0.194417
0.0966601,0.244829,0.180856
0.0890221,0.246513,0.171263
0.084638,0.247897,0.150033
0.0814882,0.236142,0.13579
0.0771066,0.221373,0.127135
0.0747667,0.210436,0.120132
0.0757371,0.208918,0.110434
0.0801894,0.180627,0.105289
0.0859625,0.157677,0.103484
0.0925523,0.14292,0.102266
0.0998253,0.132177,0.106751
0.103659,0.126896,0.111356
0.102505,0.125105,0.108132
0.106772,0.124654,0.1097
0.10984,0.125452,0.110002
0.106916,0.12966,0.111972
0.103521,0.144218,0.106854
0.0946811,0.152366,0.121148
0.0909437,0.165767,0.168834
0.0869783,0.186897,0.234638
0.0841223,0.201744,0.280664
0.0796163,0.188417,0.306316
0.0778339,0.196483,0.291602
0.0700895,0.198203,0.296173
0.0760794,0.197303,0.330082
0.0791602,0.193277,0.348982
0.0826281,0.187226,0.364083
0.0801678,0.188952,0.378752
0.0783679,0.195542,0.388155
0.0796804,0.200857,0.386324
0.0780626,0.20669,0.480976
0.0782702,0.217551,0.571401
0.0834567,0.224308,0.633388
0.0834716,0.227463,0.697495
0.0831515,0.229737,0.741591
0.0804248,0.23898,0.772903
0.075936,0.241564,0.794192
0.0742025,0.214081,0.794952
0.079333,0.189119,0.795892
0.0841289,0.174471,0.785051
0.0862984,0.164089,0.763948
0.087784,0.156628,0.748451
0.0874101,0.157315,0.736698
0.0936048,0.158094,0.724326
0.0954129,0.15901,0.715618
0.100563,0.159195,0.703042
0.106789,0.169171,0.715058
0.104775,0.171496,0.741171
0.103177,0.173287,0.759483
0.10202,0.178094,0.759355
0.105052,0.17475,0.770411
0.100833,0.170334,0.782725
0.109334,0.161548,0.806157
0.118923,0.157482,0.82773
0.123187,0.157674,0.847005
0.12353,0.159315,0.855255
0.121158,0.167753,0.8436
0.119678,0.173833,0.834922
0.112292,0.176265,0.837826
0.10711,0.180177,0.830883
0.105901,0.185447,0.815156
0.111584,0.177892,0.799805
0.113972,0.173535,0.764048
0.119345,0.161429,0.758716
0.125728,0.157039,0.743953
0.13028,0.153916,0.733752
0.115777,0.151352,0.675907
0.113216,0.142671,0.586621
0.111603,0.136633,0.523708
0.107932,0.133272,0.471492
0.105282,0.128873,0.433557
0.104509,0.127243,0.405851
0.104003,0.117234,0.331259
0.0997299,0.119652,0.269753
0.0941191,0.118998,0.243553
0.0939901,0.120572,0.23287
0.0956832,0.119514,0.221199
0.0991896,0.119896,0.222512
0.10165,0.122751,0.209958
0.104719,0.123269,0.198683
0.106873,0.122739,0.193682
0.091846,0.129858,0.175615
0.080032,0.139133,0.167277
0.0731217,0.146517,0.162491
0.0683461,0.149873,0.156119
0.0610768,0.160674,0.159792
0.0546698,0.171057,0.168598
0.0501004,0.175552,0.183098
0.0468941,0.178287,0.198375
0.0446075,0.18211,0.200874
0.0442724,0.185707,0.183585
0.0445148,0.18486,0.176328
0.0485297,0.188568,0.171033
0.0500409,0.189159,0.158027
0.0511014,0.188193,0.144555
0.0506863,0.176205,0.139396
0.0478931,0.167905,0.136118
0.045933,0.163573,0.130174
0.0420189,0.157752,0.122723
0.0392724,0.152534,0.123614
0.0373084,0.148321,0.125787
0.0359303,0.147243,0.126681
0.0373917,0.145298,0.13299
0.038454,0.145357,0.137257
0.0430075,0.146379,0.150455
0.0500475,0.149146,0.145335
0.055061,0.154398,0.142517
0.0560403,0.166089,0.136875
0.0568009,0.174374,0.133007
0.0547959,0.171064,0.138148
0.053389,0.177908,0.161913
0.049863,0.184722,0.182873
0.0511235,0.183284,0.225165
0.0481998,0.183182,0.330818
0.0625399,0.186458,0.532377
0.0597984,0.176968,0.672841
0.0845315,0.196099,0.777707
0.10196,0.20929,0.8514
0.131961,0.192443,0.903439
0.122622,0.185237,0.939738
0.160496,0.196678,0.964679
0.187146,0.204647,0.982056
0.203197,0.222413,0.993446
0.209493,0.228414,0.999241
0.219781,0.231425,0.99961
0.227367,0.233878,0.999909
0.238265,0.224529,0.999933
0.229411,0.208296,0.99994
0.220145,0.211228,0.999946
0.22214,0.212114,0.999945
0.222255,0.224607,0.999946
0.217258,0.226777,0.999947
0.213825,0.227952,0.999947
0.192523,0.240549,0.999943
0.193893,0.238682,0.999951
0.20374,0.255116,0.999958
0.200311,0.259103,0.999958
0.186958,0.314497,0.999952
0.176392,0.297723,0.999953
0.162411,0.281263,0.999949
0.142445,0.279688,0.999944
0.127313,0.308323,0.999934
0.10654,0.322883,0.999916
0.0937832,0.331958,0.9999
0.0830851,0.323724,0.999903
0.0956309,0.343392,0.999915
0.109806,0.322898,0.99992
0.12516,0.290523,0.999926
0.152473,0.233047,0.999911
0.165476,0.199927,0.999917
