AU02,AU04cand,Smile_v2
0.442149,0.140397,0.00578696
0.442149,0.140397,0.00578696
0.466632,0.125102,0.0272824
0.49767,0.128935,0.0679727
0.511875,0.141838,0.0626711
0.503653,0.14139,0.0658902
0.515917,0.121209,0.0753375
0.546232,0.0995719,0.0810415
0.533134,0.082353,0.0752279
0.530572,0.0764166,0.0787464
0.530852,0.0718554,0.0868636
0.504392,0.0698571,0.0789627
0.485348,0.0687533,0.0729992
0.452503,0.0673254,0.0675762
0.429529,0.0660567,0.064459
0.404963,0.0726208,0.0576487
0.389786,0.0637085,0.0522392
0.378512,0.0576901,0.0484573
0.371556,0.0535443,0.046079
0.381724,0.049589,0.039014
0.388822,0.0468101,0.0339108
0.394574,0.0448253,0.0307234
0.398611,0.0434325,0.0284869
0.401994,0.042467,0.0269333
0.404368,0.0417894,0.0258431
0.406291,0.0411045,0.0252071
0.323789,0.043515,0.0246829
0.354753,0.0484774,0.0415568
0.400598,0.0477874,0.0491023
0.431057,0.0456092,0.0405824
0.452431,0.0440808,0.034604
0.401422,0.053707,0.0247719
0.365628,0.0604617,0.0178726
0.330357,0.0751253,0.0125711
0.305607,0.0854148,0.00885093
0.28824,0.092635,0.0062405
0.278478,0.0976296,0.00441137
0.26271,0.0953327,0.00268617
0.250947,0.0938417,0.0015999
0.24273,0.0928452,0.00124182
0.236963,0.0921459,0.000990562
0.234828,0.0913456,0.000977404
0.234599,0.0889704,0.000972942
0.239809,0.0905041,0.000941423
0.243465,0.0915803,0.000919307
0.301883,0.0832101,0.00533617
0.342875,0.0773368,0.00843549
0.379439,0.0806549,0.00734902
0.405096,0.0829833,0.00658664
0.4231,0.0846172,0.00605167
0.419232,0.0767906,0.00460734
0.478716,0.0658189,0.0039041
0.496302,0.0626586,0.00354478
0.507226,0.0611664,0.00314389
0.498389,0.0638307,0.00289621
0.49438,0.0699276,0.00244989
0.491567,0.0742057,0.00213671
0.489372,0.0769972,0.00201129
0.487832,0.078956,0.00192328
0.47025,0.0887278,0.00159378
0.406346,0.0867978,0.00146652
0.369859,0.0830205,0.00129841
0.348762,0.0724711,0.0012854
0.346689,0.0679773,0.00123024
0.385062,0.0569893,0.00157021
0.419494,0.0495522,0.0016511
0.43604,0.0422051,0.00219765
0.478114,0.0410071,0.00239636
0.494945,0.0378651,0.00297446
0.492,0.0387157,0.00253907
0.478746,0.0444382,0.00222543
0.485653,0.0497739,0.00213052
0.49039,0.0537429,0.00206078
0.46669,0.0538905,0.00231757
0.45019,0.0549914,0.00231141
0.444738,0.0623046,0.00255572
0.404322,0.0663757,0.00324774
0.423315,0.0601554,0.00352911
0.442088,0.0553991,0.00443489
0.455702,0.0519661,0.00509504
0.461814,0.054869,0.00527062
0.507514,0.0556687,0.00559584
0.512926,0.0502822,0.0062219
0.511148,0.0524756,0.0059387
0.531443,0.0541854,0.00565691
0.48457,0.0549903,0.0053611
0.417203,0.0545861,0.00485075
0.381228,0.0648309,0.00444944
0.396458,0.0632663,0.00550718
0.43507,0.0641334,0.00657395
0.481316,0.0596628,0.00635033
0.507477,0.0688543,0.00511826
0.520258,0.0639652,0.00430054
0.529411,0.0603637,0.0037474
0.554249,0.0588621,0.0032697
0.553132,0.0672561,0.00286957
0.563532,0.0676612,0.0025159
0.57554,0.0641244,0.00227611
0.584059,0.0681855,0.00223341
0.573997,0.0729582,0.00211491
0.566385,0.0764496,0.00206013
0.529456,0.0766282,0.0020069
0.499919,0.0799925,0.00192941
0.479192,0.0823533,0.00187504
0.530104,0.0792502,0.00296502
0.584189,0.0663933,0.0033925
0.597728,0.063701,0.00287222
0.607081,0.0646382,0.00327146
0.611069,0.064188,0.00343171
0.621925,0.0631904,0.00339404
0.621926,0.0586771,0.00326149
0.621576,0.0562137,0.00308958
0.62144,0.054401,0.00297006
0.604843,0.0529894,0.00281906
0.600173,0.0508556,0.00272106
0.59765,0.0516978,0.00247599
0.580076,0.0528771,0.00218187
0.567744,0.0536258,0.00195337
0.566781,0.0588901,0.00192003
0.568423,0.0782093,0.00526883
0.54187,0.0755115,0.00615791
0.523274,0.0735996,0.0067841
0.563539,0.0635295,0.00571881
0.57323,0.0633198,0.00474449
0.578503,0.0574822,0.00404988
0.573282,0.0578202,0.00353979
0.584058,0.0512916,0.00367807
0.59162,0.0467104,0.00377511
0.586551,0.0433374,0.00341556
0.567688,0.0395168,0.00288681
0.55526,0.0373095,0.00255816
0.549078,0.0327917,0.00251247
0.574931,0.0417068,0.00824152
0.606317,0.0418676,0.00891156
0.641072,0.0417371,0.00849228
0.646675,0.0427642,0.00823664
0.631163,0.0490904,0.0082516
0.617739,0.0621768,0.00869764
0.606075,0.0662871,0.00942693
0.59833,0.0692004,0.00994386
0.594166,0.0742148,0.0111108
0.600056,0.0831151,0.0122804
0.581691,0.0949358,0.0128591
0.574783,0.109708,0.0139247
0.569569,0.120085,0.0146982
0.557576,0.119954,0.0166738
0.544634,0.116555,0.0214675
0.529279,0.113785,0.0242382
0.530002,0.108382,0.0442341
0.527971,0.0941361,0.149576
0.513815,0.0717481,0.337521
0.539167,0.0575355,0.507684
0.549965,0.0475183,0.624302
0.557358,0.0435392,0.715044
0.516849,0.0377158,0.789281
0.511529,0.0381521,0.845819
0.431781,0.0400319,0.883342
0.396315,0.039173,0.907199
0.395216,0.0717919,0.924976
0.394518,0.0949832,0.934808
0.363931,0.0951732,0.931575
0.341439,0.0952588,0.928198
0.332224,0.0825631,0.916439
0.401919,0.0640399,0.918965
0.422952,0.0541872,0.915777
0.43705,0.0471488,0.91341
0.428836,0.0523693,0.814371
0.405983,0.0519142,0.772623
0.451448,0.0613137,0.750183
0.482082,0.0496066,0.736184
0.527308,0.0413384,0.758873
0.551427,0.0487237,0.730386
0.591017,0.0482486,0.733291
0.605168,0.0665522,0.660199
0.615943,0.0793074,0.609045
0.636198,0.0689474,0.598154
0.650998,0.0613825,0.593333
0.661861,0.0561952,0.589149
0.621987,0.0553591,0.492933
0.594043,0.0553021,0.425368
0.589006,0.056398,0.384908
0.583154,0.0604722,0.329256
0.593618,0.0644664,0.289311
0.601291,0.0667377,0.263447
