AU02,AU04cand,Smile_v2
0.528926,0.111716,0.00603428
0.528926,0.111716,0.00603428
0.504442,0.114422,0.00657167
0.496185,0.144821,0.00907301
0.490129,0.179225,0.0113643
0.492073,0.194877,0.0131957
0.497345,0.19209,0.0148021
0.494257,0.219696,0.0165494
0.490901,0.248454,0.0198291
0.484811,0.24846,0.0228916
0.471313,0.241437,0.0227118
0.449148,0.245178,0.0226419
0.444228,0.299094,0.0222438
0.440702,0.33627,0.0219137
0.424301,0.337419,0.0224134
0.431686,0.340705,0.0257987
0.43168,0.327305,0.0291633
0.43186,0.317076,0.0315048
0.430754,0.319236,0.0323822
0.430088,0.321318,0.0329737
0.429877,0.323017,0.0334598
0.430097,0.323958,0.0337993
0.429957,0.323133,0.0340473
0.429859,0.314192,0.037473
0.430195,0.308628,0.039855
0.426071,0.286743,0.0373783
0.433479,0.300747,0.0390439
0.438677,0.310573,0.0402126
0.443631,0.323175,0.0376055
0.433144,0.323698,0.0368628
0.43721,0.328661,0.0384907
0.448948,0.322958,0.0387153
0.464801,0.323317,0.038424
0.458154,0.345035,0.0360264
0.458568,0.339377,0.0364817
0.458968,0.335925,0.0369186
0.439914,0.327852,0.0367043
0.443046,0.347499,0.0388275
0.445207,0.361112,0.0404172
0.459821,0.365378,0.038745
0.463398,0.347846,0.0425089
0.464382,0.351116,0.0495199
0.466121,0.338867,0.0481176
0.474203,0.321034,0.049165
0.480996,0.312785,0.050032
0.484493,0.305295,0.0501377
0.497654,0.290554,0.0489046
0.493717,0.288263,0.0499729
0.483338,0.271476,0.0445062
0.469341,0.280021,0.0392052
0.468589,0.283361,0.0329823
0.46429,0.296649,0.0293411
0.451081,0.333964,0.0339172
0.451784,0.343601,0.0365689
0.447163,0.362171,0.0418039
0.443957,0.375252,0.0454919
0.398255,0.303141,0.0677744
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.392562,0.138073,0.0259517
0.402275,0.143559,0.0220912
0.405382,0.145314,0.0208565
0.42474,0.190161,0.0192247
0.425057,0.17993,0.0190959
0.429447,0.208681,0.0199843
0.453762,0.210683,0.0190512
0.459249,0.215609,0.0178441
0.462928,0.228422,0.018343
0.450198,0.23373,0.0206536
0.455854,0.236184,0.0217606
0.440635,0.25896,0.0223844
0.447728,0.273767,0.0220184
0.443414,0.261157,0.0233348
0.440645,0.24934,0.0231533
0.433514,0.26598,0.024587
0.433,0.25611,0.0239022
0.435472,0.246201,0.0252497
0.428321,0.272173,0.0254191
0.43136,0.276663,0.0282815
0.426742,0.296204,0.0298026
0.431668,0.30788,0.0301259
0.43588,0.304354,0.031783
0.442901,0.309976,0.0335254
0.461791,0.34333,0.0370006
0.458691,0.363833,0.0437787
0.457638,0.378379,0.0501924
0.446671,0.385947,0.0528679
0.451926,0.387318,0.0511271
0.464279,0.385894,0.0498584
0.465514,0.38402,0.0486753
0.46616,0.38257,0.0467967
0.462769,0.381078,0.0449863
0.461549,0.381453,0.0441914
0.467904,0.375594,0.0427497
0.458879,0.366961,0.0434335
0.452509,0.359406,0.0414191
0.449602,0.353453,0.0426415
0.462427,0.338263,0.0415259
0.458476,0.330178,0.0387973
0.454655,0.31249,0.0422256
0.451973,0.304487,0.0437989
0.451471,0.299015,0.0440834
0.453621,0.297575,0.0408128
0.454909,0.287457,0.0397192
0.456217,0.284055,0.0369639
0.454596,0.275001,0.0348513
0.464846,0.276422,0.0340108
0.46779,0.27676,0.0337786
0.470222,0.276925,0.033672
0.468158,0.280369,0.0335254
0.471787,0.274897,0.0343667
0.480644,0.268736,0.0351543
0.474091,0.26148,0.0413992
0.468224,0.258241,0.044545
0.470454,0.255936,0.0454458
0.463207,0.254716,0.0471651
0.451443,0.274017,0.0467619
0.449646,0.289559,0.0463464
0.452193,0.300039,0.0467816
0.454091,0.303107,0.04578
0.436235,0.318093,0.0486421
0.432407,0.334135,0.0523707
0.433897,0.349888,0.0548108
0.443864,0.361549,0.0559872
0.454483,0.364262,0.0569062
0.465999,0.371229,0.0567555
0.470456,0.381152,0.0551482
0.465784,0.387825,0.0552863
0.462395,0.396384,0.0514343
0.457478,0.403361,0.05237
0.449501,0.410634,0.0508048
0.443647,0.416165,0.0505763
0.440698,0.414384,0.0479137
0.448527,0.406352,0.048217
0.451371,0.404037,0.0477245
0.44691,0.412198,0.0483547
0.441351,0.420252,0.0476767
0.43894,0.425895,0.0472567
0.447403,0.428862,0.0483414
0.449607,0.433499,0.0499914
0.447493,0.432221,0.0591106
0.446009,0.431306,0.0654829
0.448739,0.411599,0.0718164
0.455438,0.413951,0.0855375
0.456405,0.416089,0.0918114
0.454728,0.420147,0.0948597
0.452355,0.417022,0.0927289
0.450653,0.404896,0.0917434
0.449165,0.401174,0.0914669
0.45077,0.407358,0.0898196
0.454545,0.417611,0.0856468
0.457194,0.424806,0.0827187
0.458943,0.430412,0.0806123
0.460023,0.433882,0.0788639
0.460891,0.436301,0.0777347
0.461574,0.437915,0.0769808
0.462089,0.439219,0.0765763
0.462451,0.440422,0.0762776
0.461436,0.452249,0.0821326
0.46065,0.460292,0.0862823
0.460025,0.465769,0.0892749
0.459586,0.474451,0.0923418
0.460548,0.492353,0.0837858
0.452337,0.488766,0.0956929
0.458,0.485311,0.092681
0.453088,0.491733,0.0989117
0.453449,0.489401,0.100816
0.452433,0.496445,0.0908287
0.447949,0.497945,0.0838964
0.44988,0.502207,0.0805863
0.451235,0.505198,0.0782636
0.461071,0.504453,0.0875991
0.467937,0.503588,0.0944597
0.47682,0.492763,0.0935131
0.482722,0.485195,0.0931778
0.466811,0.506337,0.0828742
0.480923,0.494159,0.0739779
0.494671,0.488252,0.0735503
0.498081,0.462827,0.069512
0.499058,0.452913,0.0643204
0.495935,0.444784,0.0629363
0.494756,0.418101,0.0635663
0.497736,0.412065,0.0688203
0.499718,0.409938,0.07032
0.504916,0.407525,0.0737161
0.507882,0.406902,0.0752039
0.502882,0.409108,0.0763785
0.503071,0.409948,0.077622
0.503388,0.412818,0.0785496
0.501108,0.416025,0.07894
0.492002,0.41782,0.0798862
0.490653,0.422343,0.0822567
0.485788,0.425536,0.083999
0.481105,0.425038,0.083786
0.480248,0.423354,0.0847949
0.474605,0.446683,0.0929895
0.472099,0.460382,0.088508
0.474038,0.492776,0.0800595
0.470321,0.505105,0.0770633
0.474134,0.523646,0.074081
0.471952,0.496389,0.0693507
0.486775,0.483385,0.0651047
0.494749,0.45419,0.0647123
0.505458,0.445974,0.0662986
0.496397,0.473943,0.0737787
0.480032,0.485649,0.0744596
0.481204,0.480448,0.0704343
0.486995,0.480141,0.0669751
0.48105,0.471372,0.0675414
0.491927,0.469399,0.0749562
0.490821,0.483804,0.0891719
0.492106,0.49637,0.0974588
0.486734,0.51051,0.105102
0.487896,0.529744,0.109984
0.492996,0.548318,0.115851
0.490522,0.562618,0.117574
0.494766,0.534792,0.130763
0.492519,0.500755,0.128017
0.476004,0.51971,0.14068
0.463974,0.532882,0.149363
0.453252,0.556229,0.153049
0.446923,0.580021,0.167202
0.442666,0.594721,0.168647
0.44461,0.60142,0.152561
0.447133,0.613189,0.160863
0.449087,0.572273,0.155612
0.441389,0.550572,0.154378
0.452636,0.538768,0.153331
0.459699,0.528346,0.151211
0.457039,0.527127,0.147204
0.464132,0.523469,0.156676
0.476689,0.526833,0.168584
0.474075,0.530894,0.182726
0.483519,0.53215,0.18176
0.468529,0.537798,0.181682
0.456742,0.543294,0.178689
0.448728,0.54698,0.176508
0.459128,0.561925,0.164391
0.469002,0.57275,0.158665
0.471073,0.578876,0.157127
0.471,0.56196,0.159525
0.465651,0.552018,0.162433
0.472383,0.543953,0.164639
0.475507,0.536597,0.171224
0.460552,0.529898,0.17371
0.46152,0.533965,0.182694
0.467276,0.545332,0.190162
0.464491,0.535841,0.210532
0.46881,0.527413,0.187541
0.471987,0.526801,0.1809
0.48187,0.51071,0.171691
0.488951,0.499358,0.165189
0.488549,0.479945,0.166667
0.485765,0.466975,0.171461
0.472901,0.496971,0.171986
0.477507,0.513742,0.192318
0.474246,0.524489,0.206565
0.47341,0.53205,0.21269
0.47137,0.544823,0.218
0.476286,0.561028,0.207915
0.479515,0.553615,0.194364
0.485589,0.541802,0.188535
0.496345,0.536402,0.185236
0.491272,0.547939,0.18196
0.486774,0.538225,0.178185
0.484482,0.506307,0.16367
0.494483,0.503838,0.165344
0.501463,0.50212,0.166619
0.50259,0.502245,0.156182
0.498119,0.50442,0.157961
0.50006,0.496373,0.156944
0.50385,0.487611,0.149396
0.502518,0.479367,0.134692
0.507028,0.469777,0.128725
0.501344,0.477051,0.126187
0.504935,0.478734,0.127178
0.513471,0.482584,0.125617
0.510575,0.499616,0.137301
0.504845,0.518885,0.153992
0.499702,0.527477,0.160848
0.495946,0.520714,0.151988
0.491968,0.517794,0.148342
0.489286,0.515803,0.146055
0.493604,0.514815,0.146742
0.486737,0.519915,0.14431
0.485506,0.522274,0.142267
0.486997,0.526896,0.146468
0.492108,0.517761,0.22395
