AU02,AU04cand,Smile_v2
0.293388,0.074553,0.00160306
0.293388,0.074553,0.00160306
0.280205,0.0709209,0.0013542
0.295159,0.0611819,0.00134028
0.30789,0.0656272,0.00175216
0.311376,0.0694553,0.00175262
0.316283,0.0645101,0.00215127
0.286764,0.0712595,0.00214144
0.283682,0.0679199,0.00236115
0.281586,0.0764537,0.00235156
0.280029,0.0823829,0.00235156
0.273859,0.0931602,0.00199219
0.26471,0.115352,0.00171095
0.250195,0.131208,0.00147591
0.250055,0.130457,0.00144585
0.266569,0.145242,0.00136659
0.2857,0.168248,0.00151155
0.274655,0.169433,0.00178528
0.258811,0.18969,0.00190247
0.245154,0.184083,0.00185491
0.231763,0.169255,0.00167564
0.233938,0.15945,0.00159882
0.220378,0.157272,0.00137444
0.217431,0.137272,0.00129288
0.215069,0.123575,0.00123145
0.210395,0.105154,0.001483
0.205625,0.0876383,0.00156948
0.204283,0.0831964,0.0015887
0.203561,0.0795237,0.00160416
0.192973,0.0644771,0.0016247
0.198348,0.0754292,0.00155377
0.201788,0.0830915,0.00150289
0.204643,0.0883198,0.00147214
0.206463,0.0925231,0.0014484
0.206471,0.127106,0.00129221
0.197664,0.133203,0.00115672
0.214369,0.154959,0.00106287
0.222247,0.172777,0.000937973
0.23666,0.158928,0.000861445
0.238182,0.171132,0.000864762
0.246499,0.173964,0.000950747
0.247258,0.163941,0.00113689
0.238905,0.139319,0.00107352
0.233043,0.122041,0.00102906
0.22262,0.112387,0.00101069
0.213024,0.0994335,0.00100219
0.217054,0.100261,0.000998743
0.2238,0.100153,0.000989552
0.228277,0.100839,0.000982782
0.224059,0.0990854,0.000902174
0.222148,0.0997294,0.000886527
0.212069,0.103465,0.000884423
0.2116,0.0955302,0.000827802
0.211271,0.089962,0.000788072
0.212493,0.0837325,0.000672746
0.210886,0.0889175,0.000612838
0.194195,0.0848119,0.000615585
0.197605,0.0852304,0.000869429
0.199998,0.085524,0.00104755
0.201897,0.0898409,0.00118744
0.196846,0.0863863,0.00124066
0.196098,0.0901781,0.00120959
0.19412,0.0900967,0.00125224
0.200348,0.0965185,0.00124696
0.226261,0.0901972,0.0010405
0.234363,0.0849671,0.000923139
0.246835,0.0768375,0.000823689
0.241184,0.0736614,0.000681007
0.239756,0.070439,0.000596312
0.24891,0.0691959,0.000597235
0.241554,0.0701288,0.000596855
0.245204,0.0734694,0.000711442
0.247802,0.0759021,0.000790033
0.25956,0.0709936,0.000785336
0.2583,0.0718192,0.000802898
0.25771,0.0724137,0.000814408
0.265997,0.072032,0.000803714
0.279833,0.0750736,0.000772834
0.289469,0.0843644,0.000696073
0.283242,0.0884555,0.000615102
0.278008,0.0936117,0.0006394
0.274078,0.0971468,0.000653183
0.273858,0.0975812,0.000651181
0.269603,0.100174,0.000605814
0.265604,0.101068,0.000557476
0.250105,0.111948,0.000541998
0.246588,0.109534,0.00055839
0.237553,0.108901,0.00059413
0.227405,0.129153,0.000573709
0.219382,0.130233,0.000538238
0.202364,0.144438,0.000532398
0.190423,0.154406,0.0005283
0.18324,0.153524,0.000501484
0.192273,0.129996,0.000457143
0.19484,0.116952,0.000415349
0.197008,0.107503,0.000385488
0.19704,0.102161,0.00039585
0.193438,0.0894511,0.000461083
0.194829,0.0836275,0.000576427
0.195842,0.0885576,0.000537674
0.193075,0.0808576,0.000531876
0.19748,0.079305,0.000535069
0.200535,0.0784452,0.000538012
0.242894,0.074643,0.000520586
0.258764,0.0846537,0.000492086
0.269901,0.0916782,0.000472088
0.239671,0.0729787,0.000458311
0.262997,0.0786426,0.000475606
0.271638,0.078598,0.00056795
0.291665,0.0707965,0.000828492
0.290595,0.0696375,0.000858446
0.2922,0.0585967,0.000764684
0.293326,0.0508494,0.00069889
0.308173,0.0530856,0.000696219
0.291069,0.0432985,0.000817679
0.281606,0.0360614,0.00371357
0.279876,0.0346205,0.00522653
0.263413,0.0413881,0.0038625
0.252082,0.0462501,0.00290298
0.231032,0.047136,0.00207346
0.229396,0.040556,0.00153354
0.280219,0.040463,0.00111019
0.263838,0.0402607,0.000836111
0.256979,0.0425442,0.000616779
0.273285,0.0503578,0.000467995
0.265613,0.0583951,0.000293217
0.255041,0.0534154,0.000227131
0.248027,0.0496804,0.00025094
0.238028,0.0595491,0.000331718
0.232649,0.0571723,0.000341633
0.243739,0.054557,0.000439532
0.253822,0.0599631,0.000388171
0.262405,0.0637605,0.000351465
0.280973,0.0781122,0.000386935
0.260412,0.0704402,0.000479996
0.245265,0.0588908,0.000462741
0.24367,0.0683165,0.000505757
0.304749,0.0914387,0.000935281
0.332523,0.111524,0.00150771
0.360861,0.116668,0.00183566
0.377766,0.117944,0.00255303
0.38698,0.112232,0.00264539
0.401061,0.110624,0.00348197
0.404228,0.105521,0.00384163
0.412483,0.110829,0.00376543
0.434814,0.117681,0.00364871
0.447688,0.120395,0.00357343
0.451113,0.123293,0.00350177
0.439994,0.12809,0.00363389
0.445898,0.122961,0.00402304
0.400609,0.11249,0.0044873
0.352401,0.104215,0.00449057
0.322161,0.0971738,0.00507827
0.320166,0.0871498,0.00552476
0.29577,0.0773763,0.00571465
0.273097,0.0752709,0.00568824
0.295341,0.074723,0.00597974
0.31106,0.074296,0.0061845
0.313609,0.0773829,0.00546055
0.309916,0.078926,0.00581264
0.318912,0.0838828,0.00644636
0.319355,0.0785842,0.00631807
0.324634,0.0756299,0.00606772
0.327787,0.073707,0.00589126
0.312889,0.0689515,0.0057178
0.312738,0.0653364,0.00593334
0.315337,0.0636951,0.0061313
0.317161,0.0635535,0.0065683
0.318698,0.0672316,0.00650532
0.325001,0.070249,0.00669184
0.32913,0.0722599,0.00681136
0.319517,0.0710185,0.00677184
0.317703,0.0698031,0.00642334
0.316429,0.0689503,0.0061788
0.309703,0.0682871,0.00564945
0.30342,0.0653414,0.00586638
0.293824,0.0572965,0.00526168
0.28709,0.0516221,0.00482873
0.293789,0.0454731,0.00444658
0.290727,0.0476006,0.00463735
0.297463,0.0530496,0.00470873
0.292403,0.0624723,0.00448172
0.288705,0.0690935,0.00433183
0.315306,0.0663563,0.00383355
0.329078,0.061479,0.00334648
0.329893,0.0602874,0.00287276
0.352191,0.0539612,0.00269275
0.32341,0.0483704,0.0025978
0.30923,0.0461705,0.00241058
0.310925,0.0415048,0.00242815
0.296625,0.0389963,0.00271313
0.31481,0.0380334,0.00280855
0.314877,0.0389203,0.00291386
0.300116,0.0472513,0.00320482
0.30006,0.049851,0.00348661
0.293931,0.0502227,0.00310328
0.277582,0.0460753,0.00323096
0.267395,0.0474287,0.0032809
0.260063,0.0483302,0.0033195
0.262204,0.046283,0.00326761
0.251454,0.0395586,0.00302973
0.241832,0.0335161,0.00283095
0.258297,0.031363,0.00295613
0.265177,0.0327183,0.00276663
0.269711,0.0346445,0.00281236
0.276884,0.034882,0.00288817
0.25813,0.0372849,0.00285701
0.258933,0.0376888,0.00263217
0.270921,0.03921,0.00250832
0.26515,0.0389255,0.00236836
0.270353,0.039464,0.00238562
0.271502,0.0449014,0.00214894
0.271647,0.0486551,0.00197517
0.24397,0.0416758,0.00164389
0.229626,0.0353881,0.00150224
0.204218,0.0368376,0.00142932
0.18201,0.0400593,0.0027211
0.162214,0.0413905,0.00537188
0.159417,0.0505485,0.0193698
0.140087,0.0576842,0.019796
0.140229,0.0630648,0.0173979
0.161982,0.0547893,0.0157385
0.170899,0.045593,0.0139321
0.174156,0.0418093,0.0119586
0.199143,0.0433659,0.0098026
0.195539,0.0432696,0.00816119
0.196964,0.0428761,0.00646232
0.20696,0.0515429,0.00491307
0.218721,0.0559501,0.00337347
0.227489,0.0531502,0.00242777
0.210388,0.0474258,0.00179122
0.220612,0.0453981,0.00144069
0.219085,0.0436961,0.00112714
0.207968,0.0446715,0.000971047
0.199507,0.0452351,0.000883756
0.203079,0.0404127,0.000960328
0.213092,0.0373979,0.000787333
0.203359,0.0365768,0.000661319
0.195113,0.0362827,0.000514354
0.208367,0.0336033,0.000417884
0.199289,0.0321358,0.00036594
0.192257,0.0310585,0.000326694
0.197735,0.0376432,0.000280068
0.204411,0.0448955,0.000470402
0.20148,0.055681,0.000417137
0.205513,0.0579091,0.000398517
0.217008,0.0547199,0.000467489
0.225551,0.0610728,0.000840156
0.216351,0.0752987,0.00109729
0.234731,0.0989879,0.00215998
0.234216,0.0988831,0.00216362
0.247818,0.10641,0.00328609
0.245645,0.0918919,0.00408439
0.244046,0.0858314,0.00396868
0.245683,0.0936756,0.00362454
0.254265,0.0988136,0.00354253
0.252413,0.0969013,0.00404255
0.247306,0.094284,0.00326851
0.247971,0.0923731,0.00279467
0.254049,0.0893537,0.00236288
0.254911,0.0900907,0.00206006
0.251303,0.0944012,0.00165838
0.249102,0.0979928,0.00137623
0.245019,0.111516,0.00127682
0.230656,0.115709,0.00109805
0.229243,0.12181,0.000945172
0.215778,0.0998797,0.000851931
0.208978,0.084393,0.00076018
0.204097,0.0735199,0.000693798
0.199218,0.069757,0.00067496
0.203522,0.0716968,0.000614401
0.204113,0.0748615,0.000630322
0.214682,0.0770874,0.000737028
0.200593,0.075605,0.000704473
0.213886,0.0744601,0.00071542
0.224226,0.0771733,0.000706182
0.231849,0.0798405,0.000698825
0.233317,0.082096,0.000656649
0.239424,0.0804041,0.000672335
0.242477,0.0705657,0.000619868
0.24186,0.0626633,0.000574004
0.238962,0.0634498,0.000442431
0.253136,0.0635889,0.000355107
0.263706,0.0637654,0.000296875
0.246345,0.0596361,0.000267459
0.246819,0.0583845,0.000292509
0.245882,0.0580488,0.000270338
0.245335,0.0578022,0.000255901
0.23338,0.054668,0.000265632
0.230105,0.0574675,0.000282249
0.227881,0.0594569,0.000294211
0.217508,0.0548305,0.000335578
0.213559,0.0468879,0.000524148
0.204442,0.0424693,0.000702584
0.188587,0.037394,0.000851526
0.18725,0.0341179,0.00162216
0.178732,0.0338802,0.00263929
0.172754,0.0337133,0.00335301
0.166352,0.0303003,0.00389124
0.174406,0.029257,0.0037692
0.163556,0.0276296,0.00458169
0.173971,0.0322571,0.00409571
0.173553,0.0342149,0.00331479
0.183598,0.038493,0.00273007
0.19094,0.0415557,0.00231908
0.19326,0.0414101,0.00187697
0.182414,0.0462061,0.0014019
0.172265,0.0478263,0.00105045
0.17918,0.0548719,0.000833184
0.187473,0.0641018,0.000689967
0.187423,0.0605891,0.000563268
0.181796,0.0542517,0.000508074
0.183145,0.0565003,0.000481865
0.177452,0.0609182,0.000443384
0.177264,0.0611214,0.000444508
0.175937,0.0556083,0.000439706
0.18172,0.0607156,0.000431202
0.184582,0.0602248,0.000418144
0.181109,0.0576016,0.000402057
0.183639,0.0563806,0.000380667
0.185598,0.0558137,0.000365663
0.178234,0.0535888,0.000370814
0.181805,0.0469152,0.000328251
0.189572,0.0423942,0.000303261
0.201259,0.0388021,0.000298826
0.204419,0.0359643,0.000300133
0.216607,0.0400722,0.000306331
0.217581,0.0423984,0.000295844
0.214603,0.0444099,0.000324598
0.212366,0.0473747,0.00031858
0.217143,0.0468129,0.000297856
0.220753,0.0464747,0.000282857
0.221759,0.0442853,0.000249067
0.222318,0.0550276,0.000238476
0.222527,0.0625801,0.000230642
0.219012,0.0691853,0.000205701
