AU02,AU04cand,Smile_v2
0.0371901,0.108779,0.994097
0.0371901,0.108779,0.994097
0.0296567,0.111547,0.995606
0.0261146,0.136953,0.99636
0.0300956,0.152731,0.996779
0.0352982,0.185653,0.997461
0.0332235,0.238331,0.997811
0.0292422,0.257989,0.99771
0.0330007,0.268953,0.997149
0.0279408,0.218267,0.997434
0.0306998,0.181802,0.997784
0.0300971,0.142997,0.997855
0.0272824,0.13591,0.991925
0.0253073,0.124374,0.947335
0.0237744,0.116237,0.916047
0.0200866,0.103353,0.654592
0.0214539,0.0944312,0.467355
0.019948,0.0880708,0.336898
0.0187077,0.111921,0.235171
0.0193271,0.120985,0.165111
0.0170394,0.137807,0.120351
0.0142382,0.160507,0.0909935
0.0136154,0.173653,0.070252
0.0131784,0.186418,0.0554162
0.0116024,0.183693,0.0477515
0.00930057,0.161061,0.0348161
0.0101139,0.143975,0.0657341
0.00695002,0.161505,0.079449
0.0047299,0.151364,0.0740945
0.00313529,0.147855,0.065721
0.00208983,0.160073,0.0623708
0.00266233,0.164464,0.0629335
0.00175795,0.141375,0.0550585
0.00747018,0.113697,0.0523367
0.00516838,0.115793,0.0434335
0.0086674,0.147473,0.0589505
0.0148573,0.196237,0.0527204
0.0142335,0.257968,0.0465847
0.0163346,0.277024,0.0397547
0.0368494,0.301007,0.0404633
0.0893257,0.406108,0.0810416
0.114688,0.451503,0.0656774
0.13506,0.47779,0.0583575
0.15044,0.476559,0.0605473
0.165225,0.447638,0.0561552
0.16022,0.432024,0.0520739
0.145173,0.410767,0.0571465
0.142378,0.369349,0.0580727
-1,-1,-1
0.0495868,0.115566,0.152775
0.248707,0.150799,0.146527
0.142887,0.316773,0.0975579
0.107776,0.41289,0.0712191
0.0794335,0.492643,0.0525387
0.0651242,0.501413,0.0415578
0.0506485,0.505917,0.033028
0.0359063,0.498601,0.0287282
0.0273061,0.512341,0.024027
0.0239955,0.473308,0.0221961
0.0189356,0.458631,0.0177778
0.0149112,0.481249,0.0142264
0.0141244,0.441773,0.0136948
0.0132416,0.424255,0.0115611
0.00903454,0.41338,0.00986947
0.00727829,0.433732,0.00976703
0.00492351,0.443281,0.00908613
0.00468747,0.471559,0.00737426
0.00575448,0.524827,0.00632258
0.0102378,0.541974,0.00535243
0.0121879,0.554837,0.00510141
0.0122135,0.558304,0.00455165
0.0109987,0.569975,0.00408517
0.0139545,0.571554,0.00413688
0.023755,0.542279,0.00469939
0.0255178,0.541915,0.00426314
0.0293302,0.494718,0.00416654
0.0306993,0.495982,0.00387063
0.0290846,0.491578,0.00325805
0.03038,0.521008,0.00294607
0.0313258,0.541628,0.00271637
0.0878783,0.474569,0.0269836
0.0653992,0.387081,0.0193678
0.0469765,0.416716,0.0142928
0.0363676,0.449754,0.0111747
0.0341477,0.459256,0.00882146
0.0375939,0.372376,0.00715479
0.0438571,0.303827,0.00620782
0.0483254,0.25585,0.00555496
0.0475792,0.317931,0.00512764
0.0470557,0.343673,0.01314
0.0438024,0.402108,0.0234822
0.0433198,0.411341,0.0299923
0.0367077,0.474943,0.0307193
0.0358027,0.475876,0.0284514
0.0350207,0.492085,0.0283698
0.0317862,0.452877,0.0263187
0.0332145,0.435135,0.0236482
0.035486,0.406723,0.0185761
0.0333821,0.377468,0.0154608
0.0331752,0.401144,0.0115631
0.0279892,0.3981,0.00874996
0.0256196,0.395886,0.00713041
0.0266793,0.428338,0.00618594
0.0222351,0.399338,0.00562844
0.0229248,0.414744,0.00597923
0.0234822,0.427097,0.00628309
0.0288406,0.445448,0.00514928
0.026217,0.538133,0.00472485
0.0206781,0.57481,0.0042774
0.0231016,0.514634,0.00411525
0.0249491,0.480285,0.0037634
0.0224006,0.422744,0.00354941
0.0205389,0.372432,0.00293871
0.0219182,0.35255,0.0029127
0.0240452,0.35458,0.00279501
0.0255378,0.356004,0.00271242
0.0200913,0.299447,0.00269664
0.0202613,0.362701,0.00245646
0.0293764,0.315724,0.00286677
0.0355887,0.28521,0.00315152
0.0412174,0.257649,0.00300486
0.0440078,0.265118,0.00342653
0.0408885,0.334809,0.00359857
0.0398955,0.337454,0.00339381
0.0391619,0.424526,0.00472422
0.0335697,0.471277,0.00407768
0.0310987,0.539853,0.00389744
0.030524,0.568537,0.00382127
0.0336716,0.570655,0.00417225
0.0396884,0.592969,0.00499686
0.0349881,0.625749,0.005277
0.0368041,0.640206,0.00445879
0.0356866,0.624669,0.00453876
0.0348657,0.596808,0.00486546
0.031751,0.556815,0.00514909
0.0297123,0.521406,0.00561593
0.0320531,0.522339,0.0047809
0.0323896,0.531109,0.00453824
0.0312461,0.561306,0.00421959
0.0265253,0.610605,0.00388967
0.0247393,0.639448,0.00396008
0.0233391,0.655978,0.0042987
0.0300463,0.696878,0.00452505
0.0372915,0.72854,0.00437261
0.0386408,0.775134,0.00432163
0.0383183,0.813032,0.00430769
0.035443,0.82719,0.00433765
0.0423477,0.851306,0.00549097
0.0421521,0.839539,0.00712094
0.0459331,0.829692,0.00771557
0.0460108,0.825637,0.00808506
0.0435266,0.82572,0.0085312
0.0479098,0.831492,0.00861091
0.0547201,0.828902,0.00900156
0.0532623,0.830959,0.00983231
0.0548149,0.818496,0.0114967
0.0559778,0.814177,0.0113363
0.057806,0.802882,0.0114949
0.0579664,0.795894,0.0110606
0.0541607,0.793115,0.0112768
0.0541024,0.807556,0.0116997
0.0515963,0.818948,0.0109516
0.0547315,0.762127,0.0187627
0.0745924,0.754,0.0224715
0.0785576,0.754896,0.0232258
0.0787278,0.766118,0.0228083
0.081386,0.765436,0.0223933
0.0806758,0.761686,0.0222055
0.0840222,0.771522,0.0230675
0.0788645,0.790394,0.0243771
0.0739024,0.78721,0.0418526
0.0755715,0.780525,0.0584359
0.0804038,0.769155,0.125695
0.0731254,0.782601,0.214379
0.0695814,0.7979,0.246808
0.0608211,0.804528,0.278398
0.069833,0.791738,0.311021
0.0635365,0.791455,0.367435
0.062816,0.787148,0.354308
0.0777634,0.800995,0.350016
0.0819419,0.786043,0.331312
0.0898044,0.794041,0.312538
0.0914033,0.803755,0.295628
0.0864723,0.813444,0.300469
0.0804368,0.836828,0.286178
0.0751159,0.85975,0.27437
0.0760189,0.866484,0.268938
0.0757505,0.876368,0.263666
0.0817988,0.877631,0.25982
0.085602,0.878019,0.256979
0.0871851,0.873127,0.239914
0.0932265,0.851278,0.239588
0.0963066,0.840042,0.222328
0.0961128,0.837556,0.216135
0.0935116,0.839065,0.211768
0.0929925,0.834994,0.202545
0.0924812,0.832423,0.195982
0.0870818,0.842048,0.189999
0.0818399,0.84981,0.182959
0.093394,0.863609,0.183004
0.0837672,0.87249,0.184801
0.0819425,0.876412,0.200583
0.0794295,0.86534,0.198538
0.0713928,0.86285,0.20395
0.0709043,0.860236,0.182126
0.0692555,0.839289,0.173672
0.0655597,0.828218,0.153723
0.0707296,0.825036,0.14719
0.0680472,0.831365,0.130198
0.0860339,0.84536,0.12901
0.0991696,0.855208,0.128138
0.0879302,0.865656,0.115501
0.0813495,0.883036,0.109859
0.0756462,0.887569,0.11416
0.077844,0.883787,0.113364
0.0946554,0.87323,0.11181
0.102717,0.88143,0.11058
0.105615,0.872941,0.104192
0.119257,0.870987,0.0946658
0.11047,0.850443,0.0828746
0.0979577,0.846043,0.0741308
0.0935735,0.843407,0.0689872
0.0917298,0.859829,0.0653404
0.084126,0.850747,0.0715704
0.0874922,0.84185,0.0682117
0.0792585,0.844072,0.0640437
0.0723217,0.833274,0.0551727
0.0675276,0.832364,0.052332
0.0612942,0.822068,0.0507743
0.0726669,0.816446,0.048975
0.070676,0.821017,0.0468881
0.0653606,0.798953,0.0453414
0.071749,0.78261,0.0433938
0.0751461,0.776936,0.0397093
0.0760033,0.753399,0.0391576
0.0756293,0.763595,0.0388384
0.0779424,0.770016,0.0383753
0.0821042,0.759935,0.0381135
0.0825593,0.750846,0.0373172
0.0824378,0.740203,0.0364105
0.0813771,0.735944,0.0361887
0.0934367,0.722842,0.0342589
0.0901807,0.700915,0.0327496
0.0828553,0.681373,0.0303212
0.0790211,0.657161,0.0273778
0.0725592,0.652252,0.0246408
0.0717596,0.661049,0.022383
0.0774718,0.626778,0.0210965
0.0790148,0.63833,0.0217492
0.0826363,0.652055,0.0224904
0.0826755,0.66754,0.0224748
0.0759888,0.677419,0.0221216
0.0716274,0.684719,0.021879
0.072522,0.71093,0.0220921
0.0705743,0.740085,0.0220102
0.0655097,0.760893,0.0214785
0.0593069,0.776707,0.0232852
0.0649256,0.786622,0.0257668
0.0803661,0.770454,0.0287817
0.0911272,0.758949,0.0308893
0.0847888,0.762594,0.0332182
0.0830635,0.775567,0.035522
0.0755061,0.774055,0.036558
0.0764396,0.769672,0.0362881
0.0797068,0.782264,0.0355304
0.0719548,0.782215,0.0335226
0.0665886,0.782136,0.0320509
0.0637986,0.799475,0.0316061
0.0703957,0.809425,0.0316111
0.0686782,0.825651,0.0323088
0.0691464,0.827745,0.0318466
0.0668628,0.829467,0.0311754
0.0641747,0.839831,0.0302796
0.0621047,0.847181,0.0296795
0.0605788,0.852051,0.0294666
0.0559938,0.860046,0.0291427
0.0629314,0.835989,0.0330919
0.0664935,0.820856,0.0374456
0.0687358,0.8059,0.0393975
0.0679543,0.802069,0.0391873
0.0724466,0.798313,0.039879
0.0718642,0.804848,0.0390302
0.0727617,0.803202,0.0354392
0.0746608,0.80013,0.0326454
0.0721853,0.801492,0.0309758
0.0781747,0.809386,0.0313628
0.0820835,0.815784,0.0315135
0.0848631,0.821417,0.0345366
0.0830055,0.828604,0.0324421
0.0792367,0.846024,0.027284
0.0802533,0.79311,0.0218873
0.332412,0.553714,0.0182107
0.527086,0.385686,0.0174459
0.670001,0.267833,0.0165723
0.766586,0.185916,0.0153671
0.840487,0.126414,0.0137444
0.887266,0.0860616,0.0124803
0.917553,0.0577167,0.0121323
0.942723,0.0399387,0.012475
0.943957,0.0268791,0.012728
0.681953,0.258836,0.046365
0.49083,0.427447,0.0699662
0.379052,0.522534,0.0792368
0.294087,0.609734,0.105298
0.229499,0.667127,0.125101
0.201765,0.680269,0.130172
0.162141,0.68217,0.147729
0.122986,0.70636,0.147538
0.105556,0.724896,0.146967
0.0836471,0.746704,0.143101
0.0771482,0.757385,0.136112
0.0738572,0.779372,0.130155
0.0785029,0.799469,0.123996
0.0794077,0.81055,0.115024
0.0776508,0.814754,0.105349
0.0797118,0.825114,0.0992516
0.0728602,0.840894,0.0940081
0.0810768,0.857604,0.0978026
0.0890872,0.858998,0.0953244
0.0886552,0.847759,0.0962224
0.0857766,0.826259,0.0867342
0.0837199,0.820666,0.0820543
0.0820563,0.816625,0.0788337
0.0809624,0.782205,0.076333
0.0701134,0.743312,0.107589
0.0687372,0.724289,0.117301
0.0731062,0.717704,0.0923872
0.0631108,0.721959,0.074172
0.0560236,0.700875,0.0914554
0.0537729,0.691259,0.124139
0.0484589,0.709102,0.130072
0.0421913,0.765997,0.113548
0.0339852,0.782548,0.0949396
0.0409207,0.764932,0.0833058
0.0435425,0.773344,0.0684833
0.0451985,0.785997,0.060158
0.0449442,0.805704,0.0609096
0.0451332,0.808511,0.065874
0.0401883,0.821027,0.0590556
0.036645,0.829669,0.053674
0.0393463,0.790575,0.0496658
0.0463928,0.789027,0.0440877
0.0514476,0.788617,0.0403766
0.0470109,0.798089,0.0363606
0.0452406,0.837299,0.0329157
0.0439983,0.867168,0.0325058
0.0469714,0.884507,0.0301472
0.0490577,0.880351,0.0333761
0.0506686,0.898002,0.0332979
0.0594151,0.899498,0.0329689
0.0654057,0.901835,0.0327592
0.0593074,0.907181,0.0318354
0.061375,0.917963,0.0329088
0.0592382,0.930804,0.0306792
0.0577021,0.939966,0.0311976
0.0578935,0.939612,0.0312904
0.0642645,0.936821,0.0304038
0.068735,0.935344,0.0296366
0.0667945,0.93019,0.0296874
0.0664818,0.929696,0.0302346
0.0662624,0.928719,0.032627
0.065133,0.9195,0.0417449
0.0654261,0.908791,0.0449563
0.0644727,0.901524,0.0504981
0.0625343,0.895071,0.0566057
0.0624067,0.90045,0.0582202
0.067211,0.898095,0.0536017
0.0718515,0.893386,0.0536318
0.0765241,0.891928,0.049585
0.0823049,0.895169,0.0490372
0.0774757,0.899432,0.0486636
0.0753932,0.905384,0.0442965
0.0738951,0.903953,0.0456144
0.0716113,0.89705,0.0485254
0.0814698,0.886484,0.0522141
0.0756571,0.884081,0.0502444
0.0688926,0.876799,0.0437029
0.0679173,0.888744,0.036764
0.0710043,0.895824,0.032153
0.0756357,0.898924,0.0399004
0.0842202,0.894685,0.0461848
0.110517,0.878594,0.0435976
0.106121,0.886994,0.0397045
0.101804,0.888404,0.03684
0.10606,0.885539,0.0360776
0.114491,0.878041,0.0343028
0.109057,0.874378,0.0311592
0.112749,0.873726,0.0304771
0.107614,0.875485,0.028356
0.0975904,0.885797,0.0257501
0.0904097,0.850452,0.0253784
0.0835138,0.820935,0.0244232
0.0793362,0.780327,0.0256192
0.0777109,0.763857,0.0264861
0.0725418,0.751089,0.0264403
0.0713065,0.757035,0.0251486
0.0682316,0.784749,0.0242973
0.0709309,0.809551,0.0231068
0.0730455,0.826892,0.0223188
0.074713,0.826979,0.0221928
0.0708056,0.837579,0.0211533
0.0693699,0.837008,0.0196796
0.0709012,0.841932,0.0182094
0.0655921,0.849983,0.0157391
0.0734012,0.810547,0.0158078
0.0775381,0.810631,0.0153726
0.0805144,0.829389,0.0145402
0.0786479,0.837324,0.0142317
0.0760687,0.851059,0.0141711
0.0869526,0.855646,0.0143536
0.0896593,0.854824,0.0143772
0.0927913,0.85981,0.0149344
0.101262,0.860003,0.0150519
0.10739,0.859995,0.015176
0.106282,0.863571,0.0143578
0.0953863,0.870386,0.0139869
0.0928181,0.872306,0.0142779
0.0962037,0.864555,0.015253
0.0935387,0.859811,0.0143625
0.0913012,0.859189,0.0134688
0.102572,0.861263,0.0130398
0.102827,0.865675,0.012372
0.106631,0.861052,0.0120189
0.1093,0.85119,0.0129307
0.11132,0.850451,0.0136283
0.109224,0.848939,0.0135993
0.107605,0.847944,0.0135634
0.11267,0.85208,0.0134597
0.112562,0.844719,0.0135068
0.109948,0.847525,0.0127931
0.107746,0.849425,0.0122867
0.10896,0.851189,0.0126907
0.110972,0.815441,0.0126585
0.103497,0.799427,0.012822
0.0919055,0.792066,0.0127963
0.0940368,0.777698,0.0124613
0.0980711,0.764599,0.0127042
0.0981795,0.75694,0.0125719
0.0958271,0.742963,0.0126925
0.0929805,0.740987,0.0125134
0.0985992,0.748097,0.0123333
0.102468,0.753072,0.0121853
0.102608,0.755623,0.011716
0.099155,0.762143,0.0114286
0.0969157,0.767399,0.0112848
0.0950505,0.771354,0.0111935
0.0873213,0.748713,0.0113942
0.08451,0.739147,0.0113212
0.0826107,0.732692,0.0112638
0.0775066,0.741775,0.0115952
0.0762433,0.739779,0.0120028
0.0753569,0.738378,0.0122889
0.083694,0.74797,0.0126009
0.0858462,0.751304,0.0122401
0.0873564,0.753621,0.0119853
0.0896856,0.74865,0.0120265
0.0953117,0.73302,0.0162785
0.0928393,0.753527,0.0160045
0.0936431,0.782001,0.0144496
0.093048,0.797642,0.0127283
0.102712,0.806695,0.0117177
0.104416,0.798879,0.0113503
0.107893,0.791675,0.0116389
0.100288,0.79332,0.0116812
0.0924127,0.799147,0.0116159
0.0970049,0.774288,0.01178
0.0988477,0.769519,0.011802
0.0965164,0.779534,0.011954
0.0922683,0.787314,0.0123144
0.0893241,0.792887,0.0125852
0.0806174,0.806815,0.0125487
0.0835404,0.820928,0.0125801
0.0880568,0.824098,0.0127829
0.0953279,0.827156,0.0125786
0.101773,0.852776,0.0127891
0.0894998,0.834363,0.0121371
0.0834631,0.81623,0.0128806
0.0831455,0.811185,0.0135561
0.093151,0.816038,0.014337
0.0938251,0.811863,0.0149242
0.0919431,0.814667,0.015089
0.0878265,0.812068,0.0154856
0.0861338,0.807768,0.0154233
0.0810277,0.804146,0.0142747
0.077408,0.799904,0.0145888
0.0677295,0.797361,0.0136438
0.0672114,0.80203,0.0130917
0.0756231,0.795287,0.0131865
0.0736156,0.80844,0.0126438
0.0800068,0.821156,0.0129721
0.0731407,0.810895,0.0115974
0.0810899,0.805255,0.0124636
0.0853618,0.809249,0.0128133
0.0846615,0.811022,0.013313
0.0841701,0.80822,0.0142406
0.0878538,0.794843,0.0137937
0.0940631,0.779148,0.0136653
0.0918161,0.788805,0.0149978
0.0841131,0.806052,0.0154782
0.0810261,0.815047,0.016163
0.0779212,0.821409,0.0166541
0.0893382,0.824499,0.0173686
0.0948475,0.821458,0.0178421
0.0975543,0.783653,0.0187892
0.0931068,0.754708,0.0177752
0.0962226,0.742947,0.0167771
0.09576,0.744919,0.0172711
0.091811,0.764019,0.0159053
0.0892237,0.779256,0.0151292
0.088604,0.791123,0.014381
0.0869366,0.800114,0.013834
0.0891705,0.802107,0.0135564
0.0844647,0.807865,0.0134309
0.0862768,0.80628,0.0135732
0.0890014,0.803532,0.0136437
0.0881909,0.806175,0.0131085
0.0940425,0.804755,0.0133826
0.0944506,0.802407,0.0133939
0.0883902,0.770636,0.0131201
0.0853702,0.761969,0.013928
0.0820184,0.749678,0.0139704
0.0884419,0.737193,0.0147734
