AU02,AU04cand,Smile_v2
0.561983,0.295597,0.00133752
0.561983,0.295597,0.00133752
0.561983,0.295597,0.00133752
0.561983,0.266339,0.00175634
0.563469,0.240945,0.00147702
0.59096,0.206565,0.00138057
0.608433,0.198007,0.00137402
0.608117,0.175597,0.0014337
0.610477,0.155369,0.00135264
0.612082,0.141612,0.00129751
0.61364,0.130711,0.00125897
0.593154,0.113666,0.0012989
0.577509,0.114947,0.00609399
0.566531,0.116507,0.00944927
0.561329,0.122536,0.0132503
0.553174,0.134332,0.0150687
0.555067,0.133682,0.0157268
0.552918,0.209516,0.013791
0.551336,0.262878,0.0124361
0.559112,0.27481,0.0117779
0.539181,0.295615,0.00875742
0.52582,0.310485,0.006636
0.532983,0.275099,0.00529004
0.549434,0.229509,0.00427585
0.560904,0.197382,0.00352268
0.569062,0.174634,0.00301869
0.610109,0.146004,0.00304579
0.639022,0.12372,0.00313414
0.659311,0.108083,0.00319614
0.644094,0.139062,0.00440284
0.634152,0.16044,0.00532364
0.63733,0.16978,0.00643885
0.656854,0.162313,0.00684663
0.670223,0.157673,0.00713479
0.654217,0.138342,0.00745811
0.642985,0.124777,0.00768498
0.634075,0.115632,0.00783367
0.648133,0.103152,0.0093112
0.657998,0.0943944,0.010348
0.675919,0.0881994,0.0101667
0.685957,0.0890779,0.00845378
0.692706,0.0898582,0.00723826
0.696927,0.0908497,0.00639595
0.687196,0.0864673,0.00523778
0.681102,0.0838574,0.00442158
0.676826,0.0820261,0.00384885
0.681442,0.0793141,0.00307106
0.671399,0.0729636,0.00248984
0.664352,0.0685075,0.002082
0.690848,0.0728023,0.00175133
0.709513,0.0756648,0.00156519
0.721341,0.0721677,0.00127226
0.729641,0.0697138,0.0010667
0.735833,0.0681389,0.000938878
0.683056,0.0815373,0.00082674
0.646022,0.090939,0.000748052
0.619815,0.0975776,0.000703717
0.615755,0.128419,0.000620068
0.612907,0.150061,0.000561371
0.611259,0.152285,0.000576717
0.588524,0.12793,0.00134847
0.608149,0.115261,0.00283234
0.62192,0.10637,0.00387358
0.631583,0.100132,0.00460423
0.638748,0.120315,0.00344523
0.623466,0.12387,0.00265344
0.612742,0.126364,0.00209784
0.607352,0.135154,0.0016956
0.603569,0.141321,0.00141335
0.580569,0.148218,0.00118309
0.581555,0.146424,0.000985881
0.581219,0.145042,0.000820365
0.580983,0.144073,0.000704221
0.570662,0.157597,0.000677096
0.563457,0.166364,0.000706465
0.558989,0.172823,0.000726451
0.564739,0.168735,0.000673978
0.568701,0.165641,0.00063756
0.571481,0.16347,0.000612006
0.580366,0.146883,0.000629675
0.593739,0.132312,0.000645983
0.60947,0.11425,0.0011357
0.614162,0.109841,0.00136288
0.617748,0.106336,0.00152073
0.646921,0.104424,0.00138774
0.681355,0.100966,0.00128841
0.70526,0.0987882,0.00122064
0.722035,0.098228,0.00109765
0.733805,0.0978348,0.00101134
0.741881,0.0979931,0.000949777
0.710516,0.10328,0.00105765
0.688323,0.107216,0.0011195
0.672934,0.109739,0.00116627
0.643095,0.116317,0.00106957
0.621385,0.120917,0.00100877
0.605747,0.124206,0.000966274
0.589697,0.117645,0.000916902
0.578434,0.113013,0.000884441
0.579416,0.096812,0.00147211
0.580106,0.0854435,0.00188448
0.581655,0.0964367,0.00156072
0.56624,0.0923482,0.0013753
0.555423,0.0894793,0.00124519
0.569964,0.0886325,0.00117755
0.580167,0.0880383,0.00113009
0.5594,0.104925,0.00103106
0.544975,0.117031,0.00096213
0.5412,0.128706,0.000879186
0.538293,0.137274,0.000803315
0.536254,0.143286,0.000750076
0.574173,0.155417,0.000820135
0.59999,0.158169,0.000795335
0.618105,0.1601,0.000777933
0.608613,0.169915,0.000707701
0.618454,0.167106,0.000652686
0.626168,0.164634,0.000615984
0.61254,0.136067,0.000766886
0.602794,0.11593,0.000873775
0.595955,0.101799,0.000948779
0.581001,0.0892977,0.00101515
0.569369,0.0802802,0.00105912
0.561244,0.0741292,0.00109208
0.537771,0.0625807,0.00567324
0.532079,0.057166,0.00796262
0.527608,0.0536472,0.00956924
0.560012,0.0531224,0.0070914
0.564262,0.0587047,0.00540925
0.585014,0.0577718,0.00417267
0.603385,0.0612103,0.00334389
0.616569,0.063698,0.00276194
0.625821,0.0654436,0.00235358
0.642468,0.0690232,0.00213326
0.650855,0.0720953,0.00183221
0.6501,0.0729303,0.00163653
0.636876,0.073697,0.00137648
0.626568,0.0741788,0.00129834
0.631311,0.0718814,0.00123779
0.64174,0.0726625,0.00128882
0.648949,0.0730921,0.00132351
0.654007,0.0733935,0.00134785
0.652478,0.0736638,0.00141971
0.642227,0.0749424,0.00142295
0.635143,0.0758294,0.00142564
0.635434,0.0795155,0.00160476
0.633466,0.069377,0.00192096
0.632086,0.0622628,0.00214285
0.630786,0.0573427,0.00229866
0.629654,0.0538251,0.00240533
0.642823,0.0527967,0.00264982
0.652063,0.0520751,0.00282138
0.643462,0.0510828,0.00518259
0.637683,0.050353,0.00684078
0.633628,0.049841,0.00800433
0.647138,0.054067,0.00659768
0.656691,0.0574006,0.00560521
0.67355,0.066124,0.00491026
0.685379,0.0722452,0.00442261
0.69368,0.0765405,0.00408042
0.68006,0.0882543,0.00366878
0.670503,0.096474,0.00337993
0.670585,0.105447,0.0027491
0.670642,0.111743,0.00230645
0.670682,0.116161,0.00199584
0.656269,0.109047,0.00187321
0.646156,0.104056,0.00178717
0.638766,0.100368,0.00172674
0.646273,0.101516,0.00424459
0.640117,0.107875,0.00737235
0.632541,0.112592,0.0100084
0.627224,0.115901,0.0118581
0.649966,0.121973,0.00943103
0.639268,0.124457,0.00750936
0.631761,0.1262,0.00616092
0.634513,0.121244,0.00541243
0.636445,0.117767,0.00488721
0.594642,0.108061,0.00442137
0.604291,0.101609,0.004092
0.602508,0.100803,0.00384992
0.601366,0.100222,0.00366742
0.565023,0.107086,0.00343477
0.548904,0.105319,0.00321357
0.538365,0.104131,0.00306468
0.53097,0.103297,0.00296021
0.54587,0.0959066,0.00346549
0.556325,0.090721,0.00382006
0.564911,0.0872924,0.00407167
0.560911,0.0774055,0.00352756
0.558362,0.0703554,0.00314493
0.556573,0.0654083,0.00287644
0.566501,0.0598363,0.00272379
0.573174,0.0561137,0.00262149
0.577856,0.0535015,0.0025497
0.593835,0.0491911,0.00275925
0.599383,0.0494664,0.00270424
0.598198,0.0501765,0.00991052
0.597367,0.0506748,0.0149672
0.589424,0.0566091,0.0163265
0.58512,0.064556,0.0123196
0.5821,0.0701323,0.00950791
0.579687,0.0741,0.00753401
0.56657,0.0669155,0.0069133
0.557365,0.0618742,0.00647774
0.550539,0.0584084,0.00616459
0.534471,0.0680784,0.0238467
0.523344,0.0748489,0.0360446
0.515535,0.0795998,0.044604
0.501391,0.0850067,0.0935209
0.523163,0.0842506,0.0971715
0.538441,0.08372,0.0997332
0.53266,0.0795113,0.124521
0.528934,0.0768465,0.141893
0.54409,0.0698647,0.276279
0.554726,0.0649655,0.370578
0.562519,0.0611749,0.43623
0.578143,0.0573788,0.525038
0.58149,0.0587986,0.599926
0.584096,0.0597304,0.651236
0.585006,0.0605128,0.688132
0.585644,0.0610618,0.714022
0.580223,0.0546476,0.748438
0.576419,0.0501467,0.772589
0.573235,0.0471364,0.785998
0.604005,0.0471738,0.810351
0.625596,0.0472001,0.827439
0.639183,0.0439014,0.833445
0.627359,0.0526262,0.80337
0.619061,0.0587484,0.782267
0.613239,0.0630443,0.767459
0.597729,0.0656362,0.746345
0.58703,0.0676549,0.731039
0.58333,0.0709364,0.761259
0.631508,0.0642434,0.764238
0.650397,0.063134,0.802806
0.663652,0.0540072,0.82278
0.672989,0.0476998,0.836934
0.661125,0.0495467,0.846596
0.662955,0.0498346,0.852626
0.664239,0.0500366,0.856857
0.685781,0.0460727,0.873488
0.700897,0.0432913,0.885157
0.711393,0.0412856,0.892161
0.683016,0.0409802,0.893105
0.663508,0.0406602,0.8927
0.649819,0.0406773,0.89262
0.669409,0.0420515,0.903239
0.704016,0.0413597,0.899137
0.728007,0.0409034,0.89628
0.744841,0.0405833,0.894275
0.734486,0.0656598,0.848241
0.704371,0.0573577,0.819781
0.68324,0.0515321,0.799811
0.669404,0.0474199,0.785928
0.671119,0.0553863,0.768333
0.672323,0.0609764,0.755987
0.706596,0.0733273,0.713521
0.730057,0.0820364,0.684059
0.74652,0.0881476,0.663385
0.732685,0.101425,0.589638
0.723601,0.110013,0.539171
0.717888,0.116789,0.503646
0.741806,0.115784,0.47136
0.758589,0.11508,0.448705
0.770035,0.114271,0.433036
0.723484,0.123264,0.457394
0.689827,0.12933,0.475456
0.673826,0.140604,0.474922
0.713372,0.121732,0.48397
0.730433,0.115614,0.452978
0.761445,0.108317,0.414956
0.783206,0.103197,0.388276
0.797668,0.0997703,0.369768
0.806546,0.0947438,0.308117
0.801352,0.0945211,0.258871
0.803095,0.0963317,0.212473
0.786547,0.0953752,0.189481
0.774715,0.0945009,0.173731
0.764942,0.0946626,0.162405
