AU02,AU04cand,Smile_v2
0.599174,0.177231,0.385347
0.599174,0.177231,0.385347
0.59729,0.165228,0.441423
0.596405,0.159584,0.467789
0.600371,0.149411,0.484917
0.602765,0.143269,0.495257
0.604286,0.139366,0.501828
0.605285,0.136804,0.506142
0.605955,0.135085,0.509035
0.605141,0.168813,0.58986
0.588129,0.182372,0.598314
0.576191,0.191887,0.604247
0.578006,0.176466,0.627202
0.579279,0.165645,0.643309
0.580063,0.158227,0.654549
0.580612,0.153021,0.662436
0.580998,0.149368,0.667971
0.57873,0.133056,0.599263
0.577139,0.12161,0.551051
0.576059,0.112568,0.514938
0.575778,0.106505,0.491026
0.575582,0.102251,0.474247
0.57515,0.0999117,0.461897
0.574847,0.0982703,0.453232
0.574634,0.0971186,0.447151
0.569407,0.0914844,0.475264
0.56574,0.0875309,0.494992
0.556893,0.0856223,0.547858
0.550685,0.084283,0.584954
0.546329,0.0833433,0.610985
0.559774,0.140267,0.614346
0.556515,0.222383,0.621491
0.554228,0.280004,0.626504
0.543737,0.287639,0.544366
0.493218,0.27187,0.431786
0.512498,0.280099,0.365742
0.526026,0.285874,0.319399
0.568707,0.287501,0.384957
0.598656,0.288642,0.430959
0.631096,0.219222,0.549901
0.59626,0.193621,0.654249
0.572182,0.174436,0.727332
0.616217,0.200919,0.744396
0.647373,0.220451,0.758849
0.601939,0.205751,0.689978
0.568478,0.194881,0.641249
0.552614,0.197288,0.593616
0.53672,0.250584,0.615705
0.519219,0.314469,0.531733
0.533265,0.283473,0.521063
0.490192,0.351836,0.594956
0.47393,0.388611,0.581333
0.409981,0.414585,0.495045
0.399381,0.427747,0.462491
0.364731,0.497211,0.463882
0.383575,0.571499,0.53365
0.456238,0.555742,0.638921
0.475602,0.448544,0.740067
0.502068,0.362944,0.794903
0.507173,0.313474,0.837674
0.512335,0.276132,0.865314
0.473665,0.284516,0.888118
0.477194,0.364731,0.920041
0.47741,0.341193,0.937676
0.478406,0.322957,0.949416
0.499435,0.388034,0.951855
0.516272,0.452569,0.951943
0.532814,0.478061,0.950016
0.541515,0.418108,0.955759
0.550527,0.411775,0.957314
0.547965,0.414765,0.955938
0.560073,0.398042,0.946594
0.565186,0.319844,0.955892
0.563733,0.287975,0.960723
0.562713,0.265612,0.964113
0.576605,0.248284,0.960695
0.587513,0.238766,0.955527
0.584902,0.238424,0.956955
0.584412,0.23993,0.958484
0.577648,0.233063,0.960596
0.573159,0.228029,0.962149
0.601376,0.244884,0.968414
0.613633,0.217568,0.971305
0.62492,0.187343,0.966645
0.650611,0.15614,0.966075
0.649157,0.138393,0.960937
0.660793,0.122179,0.96169
0.623556,0.202405,0.965363
0.59612,0.217901,0.970906
0.578321,0.221716,0.968406
0.569639,0.270465,0.974033
0.588016,0.310972,0.974374
0.601132,0.340582,0.974642
0.591221,0.402999,0.964279
0.618026,0.432244,0.962571
0.632308,0.435095,0.966184
0.621653,0.437635,0.970479
0.629461,0.498481,0.973582
0.632439,0.503173,0.976862
0.623067,0.496865,0.982235
0.622727,0.483464,0.986206
0.625562,0.414717,0.988239
0.623744,0.38117,0.987698
0.631904,0.361636,0.987874
0.635369,0.347529,0.98885
0.635408,0.341575,0.9891
0.613175,0.326953,0.985943
0.59717,0.310495,0.984243
0.586013,0.300081,0.983016
0.577245,0.332076,0.980981
0.592488,0.295132,0.981214
0.595458,0.306091,0.97759
0.60146,0.327403,0.974952
0.605415,0.342207,0.973094
0.603149,0.358836,0.969167
