AU02,AU04cand,Smile_v2
0.214876,0.65854,0.183405
0.214876,0.65854,0.183405
0.214876,0.65854,0.183405
0.214876,0.65854,0.183405
0.201508,0.676433,0.152196
0.201837,0.684405,0.150507
0.214154,0.667417,0.160029
0.226169,0.714753,0.143015
0.234227,0.746496,0.131605
0.230821,0.780428,0.117561
0.228603,0.805021,0.107245
0.216892,0.826818,0.104875
0.208675,0.850107,0.102041
0.223218,0.864291,0.0993875
0.233754,0.873802,0.0982975
0.240927,0.880549,0.0970825
0.245629,0.885887,0.0959406
0.248819,0.887991,0.095792
0.251057,0.889468,0.0956877
0.252884,0.890147,0.0957964
0.254167,0.890623,0.0958727
0.255361,0.890826,0.0957853
0.256198,0.890737,0.0957579
0.256198,0.890737,0.0957579
0.256198,0.890737,0.0957579
0.256198,0.890737,0.0957579
0.256198,0.890737,0.0957579
0.242235,0.882147,0.0818465
0.232437,0.876119,0.0720849
0.225562,0.87189,0.065235
0.220738,0.868922,0.0604285
0.217352,0.866839,0.0570558
0.214977,0.865378,0.0546891
0.21331,0.864352,0.0530284
0.21214,0.863633,0.051863
0.21132,0.863128,0.0510453
0.210744,0.862773,0.0504715
0.210744,0.862773,0.0504715
0.201858,0.858447,0.0475596
0.195623,0.855412,0.0455162
0.191248,0.853281,0.0440824
0.194525,0.866979,0.0438498
0.196824,0.87659,0.0436866
0.198438,0.883335,0.0435721
0.19957,0.888067,0.0434917
0.200364,0.891388,0.0434354
0.200922,0.893719,0.0433958
0.201313,0.895354,0.043368
0.201844,0.896626,0.0434328
0.184446,0.89438,0.0420541
0.187471,0.874692,0.0398715
0.189409,0.869254,0.0397244
0.1895,0.863797,0.0448814
0.193371,0.862274,0.0561611
0.177048,0.859447,0.0638624
0.165593,0.857464,0.0692664
0.156286,0.83972,0.0685453
0.14214,0.82111,0.0595965
0.127135,0.807725,0.055511
0.117121,0.798423,0.0526855
0.118538,0.640788,0.0513124
0.119533,0.529919,0.0503082
0.131692,0.467993,0.0554813
0.140114,0.424473,0.0588896
0.146575,0.461747,0.0536127
0.151108,0.487903,0.0499099
0.154326,0.50673,0.0474423
0.164421,0.519276,0.0499941
0.171651,0.528088,0.0517212
0.165301,0.514399,0.0460859
0.160587,0.509182,0.042115
0.15728,0.513651,0.0408151
0.154628,0.516328,0.0397284
0.166731,0.508833,0.0412479
0.175223,0.501613,0.0425362
0.167219,0.545723,0.0401545
0.161603,0.576675,0.0384833
0.152364,0.656653,0.0398188
0.158574,0.697068,0.0389869
0.163263,0.726002,0.0386013
0.155129,0.697957,0.0368876
0.141805,0.679783,0.0309871
0.154035,0.683077,0.0315969
0.162212,0.68566,0.0319587
0.157795,0.741964,0.0262127
0.1551,0.780049,0.0222759
0.154478,0.730304,0.0218869
0.154189,0.693712,0.021538
0.180275,0.692628,0.0159891
0.19858,0.691868,0.0120955
0.20287,0.710169,0.0107107
0.222602,0.73556,0.00866359
0.235824,0.752912,0.00708966
0.229869,0.771717,0.00579088
0.220907,0.789009,0.00471854
0.246353,0.807631,0.00604959
0.252747,0.789916,0.006218
0.266119,0.702772,0.00656852
0.274731,0.640925,0.00696947
0.278235,0.6098,0.00854945
0.287298,0.583579,0.00917434
0.248752,0.599234,0.0115752
0.221705,0.610219,0.0132599
0.243786,0.616866,0.0133212
0.258158,0.655149,0.0141642
0.267324,0.681825,0.0146954
0.280434,0.726881,0.0174038
0.289375,0.76066,0.0192977
0.296919,0.771756,0.0197528
0.302286,0.779186,0.0200347
0.305869,0.806744,0.0206216
0.313477,0.800359,0.0215186
0.290889,0.805424,0.0172967
0.276402,0.805248,0.0150265
0.266273,0.798004,0.0139767
0.264243,0.808686,0.0124605
0.258827,0.782364,0.0142449
0.255027,0.763895,0.0154971
0.25867,0.735397,0.0173203
0.257418,0.781647,0.01838
0.25654,0.813457,0.0191127
0.232965,0.817543,0.0155399
0.21723,0.820134,0.0131733
0.216271,0.799117,0.0118452
0.215598,0.784547,0.0108968
0.218786,0.751122,0.00950507
0.221134,0.728625,0.00844407
0.220243,0.740669,0.00795791
0.219434,0.749581,0.00759016
0.207552,0.77279,0.00845669
0.199214,0.789077,0.00906473
0.197833,0.793287,0.0106743
0.198133,0.80611,0.0101207
0.19805,0.804958,0.0116579
0.192914,0.823555,0.0114409
0.1892,0.837263,0.0113102
0.206904,0.864105,0.0122651
0.2194,0.882134,0.0129276
0.20532,0.852967,0.0158381
0.181808,0.816875,0.0156108
0.188158,0.812571,0.0124854
0.192503,0.809776,0.0102614
0.180283,0.813121,0.0102364
0.181864,0.82698,0.0102419
0.197083,0.763308,0.0101764
0.200145,0.714252,0.0109951
0.197899,0.671003,0.011928
0.189975,0.636596,0.0111874
0.185077,0.630393,0.0107027
0.174427,0.639424,0.00934398
0.166293,0.645152,0.00847639
0.180896,0.700272,0.0112371
0.191583,0.738787,0.0131313
0.189903,0.761297,0.015534
0.18832,0.7792,0.0172231
0.193776,0.784535,0.0180985
0.191368,0.774628,0.0173787
0.19494,0.76881,0.015808
0.197446,0.764243,0.0147027
0.196886,0.766236,0.0134695
0.196494,0.767634,0.0126042
0.188014,0.769216,0.012177
0.182064,0.770327,0.0118771
0.192109,0.760888,0.0124883
0.196619,0.754662,0.0130667
0.199599,0.750506,0.0134808
0.201875,0.728579,0.0138051
0.203325,0.713163,0.0140648
0.190379,0.734222,0.0118967
0.192792,0.733391,0.0100165
0.18687,0.740755,0.00997979
0.182934,0.745862,0.009946
0.187789,0.769132,0.00899592
0.176829,0.798826,0.00799537
0.174288,0.805242,0.00850236
0.180122,0.82874,0.00861943
0.184216,0.845791,0.00870171
0.187088,0.857755,0.00875945
0.189508,0.857463,0.00820308
0.183259,0.79878,0.00811089
0.162593,0.781078,0.00739694
0.143014,0.767593,0.00970993
0.129055,0.75756,0.0113598
0.131088,0.79057,0.0103112
0.132368,0.81415,0.00954022
0.14447,0.824988,0.0110672
0.152962,0.832593,0.0121386
0.162729,0.85293,0.0121031
0.169582,0.867425,0.0120974
0.189844,0.825481,0.0152718
0.181691,0.814114,0.0133035
0.172309,0.795172,0.0120586
0.15557,0.799582,0.0101347
0.149841,0.830296,0.00891719
0.163592,0.822982,0.00800694
0.176718,0.820413,0.00729146
0.188468,0.826695,0.00946636
0.196603,0.830668,0.0110153
0.18454,0.768541,0.0088603
0.176903,0.750232,0.00715719
0.154435,0.776548,0.00785894
0.132432,0.781415,0.00859734
0.129981,0.724111,0.010293
0.131885,0.709887,0.00988734
0.132706,0.700741,0.00960433
0.134442,0.663559,0.00899424
0.135587,0.697017,0.00797032
0.132582,0.682348,0.00724264
0.12591,0.662836,0.0060235
0.125,0.66973,0.00501262
0.124875,0.673418,0.00425192
0.113547,0.676696,0.00372584
0.105231,0.680738,0.00332349
0.134828,0.67978,0.0031547
0.155596,0.679107,0.00303626
0.143475,0.634389,0.00343472
0.127354,0.587769,0.0035386
0.116152,0.55616,0.00361176
0.12494,0.591293,0.00366609
0.130997,0.614146,0.0041043
0.146671,0.640655,0.00707781
0.163078,0.661382,0.009553
0.189823,0.714247,0.00985492
0.207561,0.751431,0.0100648
0.222547,0.782781,0.0116504
0.233834,0.806086,0.0127495
0.23182,0.838654,0.0136072
0.230407,0.861507,0.0142091
0.20355,0.848859,0.0115676
0.184704,0.848534,0.010248
0.17115,0.848002,0.00924485
0.166569,0.839296,0.0082161
0.162914,0.832078,0.00753575
0.162888,0.800438,0.00743824
0.162796,0.778084,0.00732818
0.157654,0.775698,0.00944407
0.15434,0.773566,0.0109265
0.155822,0.741023,0.00963676
0.157597,0.71897,0.00882047
0.153765,0.745345,0.00923143
0.151076,0.763851,0.00951981
0.163006,0.785966,0.0123208
0.178993,0.802035,0.0144463
0.190138,0.754953,0.0144971
0.189072,0.713494,0.0136966
0.180855,0.76549,0.0134231
0.157319,0.790661,0.0116351
0.139423,0.813069,0.0110468
0.125596,0.797745,0.00915491
0.116041,0.785773,0.00779844
0.108067,0.790339,0.011224
0.102067,0.793285,0.0135527
0.106522,0.808872,0.0130081
0.0956851,0.822024,0.0118976
0.126419,0.73787,0.0110258
0.148206,0.676461,0.0104039
0.188126,0.711521,0.029839
0.198403,0.742652,0.0319665
0.205652,0.765396,0.0335022
0.218354,0.775519,0.0348749
0.224766,0.77247,0.0362252
0.229265,0.775038,0.0378132
0.230895,0.785877,0.0333431
0.23879,0.769813,0.0308758
0.241959,0.758421,0.0291082
0.242912,0.746692,0.0318286
0.253039,0.706473,0.0295366
0.256851,0.717404,0.0250759
0.264603,0.732155,0.021408
0.278708,0.763128,0.0179825
0.288679,0.785145,0.015564
0.28679,0.776491,0.015173
0.284232,0.782025,0.0153335
0.282253,0.786593,0.0154273
0.279632,0.791384,0.0156105
0.27783,0.794853,0.0156243
0.272463,0.743992,0.0147055
0.268807,0.707163,0.014153
0.249593,0.691874,0.0148776
0.235853,0.680553,0.0154105
0.222404,0.660968,0.0185237
0.213224,0.647919,0.0206698
0.210627,0.655871,0.024486
0.208805,0.661451,0.0271639
0.201216,0.680791,0.0280587
0.190813,0.689118,0.0294544
0.183624,0.696529,0.0304637
0.187465,0.714163,0.0318654
0.190637,0.726225,0.0328172
0.186517,0.763601,0.0289771
0.185005,0.767357,0.027926
0.186483,0.748976,0.03174
0.18741,0.735574,0.0343491
0.189329,0.738933,0.0365532
0.193399,0.738505,0.0382953
0.191324,0.727201,0.0379671
0.194946,0.726335,0.0371474
0.19723,0.721305,0.0361245
0.198832,0.717775,0.0354068
0.207757,0.681452,0.035429
0.193673,0.695538,0.0333985
0.183716,0.70603,0.031842
0.190693,0.69909,0.0339742
0.195551,0.693852,0.0354597
0.198887,0.692835,0.0414121
0.201375,0.692445,0.0456332
0.205513,0.690793,0.0431373
0.208416,0.689752,0.0413982
0.207914,0.686001,0.0458903
0.207342,0.684324,0.049031
0.208798,0.667489,0.0473001
0.209819,0.655676,0.0460855
0.19363,0.642504,0.038722
0.18227,0.633261,0.0335551
0.186992,0.61672,0.0291102
0.194114,0.604743,0.0260835
0.199038,0.596373,0.0241181
0.203762,0.596617,0.022305
0.207151,0.596876,0.0208674
0.203182,0.603636,0.0181155
0.20036,0.608801,0.0163
0.188225,0.603743,0.0145008
0.192881,0.613325,0.0140519
0.191071,0.628704,0.0144333
0.189433,0.639784,0.0147204
0.178019,0.641662,0.0140977
0.17001,0.642981,0.0136607
0.161814,0.658535,0.0146372
0.16114,0.670929,0.0151686
0.160851,0.679436,0.0155919
0.149224,0.695617,0.0195459
0.146437,0.707994,0.0229373
0.135228,0.766086,0.0210686
0.12751,0.806598,0.0197372
0.134787,0.766555,0.0208511
0.138919,0.719186,0.0220115
0.131663,0.744286,0.0256012
0.1368,0.752271,0.0254738
0.149143,0.760117,0.0251144
0.155265,0.775576,0.0209849
0.131966,0.722999,0.0206078
0.148474,0.716469,0.0248894
0.152698,0.693665,0.0273395
0.164548,0.662308,0.0269151
0.172495,0.642286,0.0265581
0.171762,0.624005,0.0245055
0.171541,0.609489,0.0229849
0.188864,0.582971,0.0247932
0.200762,0.564297,0.0260701
0.195221,0.56901,0.0270792
0.192142,0.574143,0.0277112
0.192834,0.587429,0.0260513
0.19354,0.597237,0.0249062
0.215357,0.582476,0.0240494
0.230666,0.572119,0.0234482
0.230168,0.563818,0.0247641
0.218395,0.54686,0.0239822
0.209619,0.53544,0.0233525
0.212346,0.539869,0.0259308
0.214664,0.542452,0.02774
0.216291,0.55573,0.0278914
0.217322,0.564741,0.0280547
0.220584,0.566996,0.0316607
0.222249,0.569218,0.0341944
0.220878,0.580662,0.0372649
0.220247,0.588726,0.0393707
0.223943,0.589634,0.0393951
0.226536,0.59027,0.0394123
0.18494,0.552231,0.0316559
0.16083,0.494308,0.0262832
0.148989,0.512077,0.0259872
0.131794,0.519659,0.02411
0.119655,0.525097,0.0226916
0.123831,0.555753,0.022429
0.126835,0.576979,0.0222074
0.120057,0.577153,0.0255904
0.11519,0.577423,0.0280077
0.116853,0.575422,0.0307686
0.119269,0.575121,0.0329283
0.123356,0.606959,0.035372
0.126077,0.627599,0.0369871
0.139668,0.656691,0.038985
0.149205,0.677104,0.040387
0.144105,0.657155,0.0422691
0.155759,0.67036,0.0424426
0.164193,0.680053,0.0424619
0.177728,0.671992,0.0397426
0.187079,0.6664,0.0378037
0.189832,0.671668,0.0326573
0.191691,0.674462,0.0290191
0.204419,0.69243,0.0281246
0.21302,0.70462,0.0274733
0.226671,0.69619,0.0231395
0.230234,0.690092,0.0189428
0.229755,0.66811,0.0173514
0.229419,0.652686,0.0162346
0.195959,0.561582,0.0144816
0.17248,0.497653,0.0132515
0.157384,0.491346,0.0136876
0.179795,0.483192,0.0147674
0.19519,0.477007,0.0154771
0.193299,0.471427,0.0164163
0.191752,0.468004,0.0171875
0.183234,0.457622,0.0158502
0.17733,0.450827,0.0148736
0.178265,0.447747,0.0144665
0.179876,0.447922,0.0142111
0.178467,0.448045,0.0140622
0.177443,0.447008,0.0139232
0.175768,0.456639,0.0144159
0.186018,0.477364,0.0151001
0.193577,0.491942,0.0155675
0.196343,0.522542,0.0162099
0.198504,0.544247,0.016716
0.182249,0.55691,0.0152921
0.170696,0.565748,0.0142849
0.16259,0.571615,0.0122028
0.156975,0.575732,0.0107409
0.154304,0.575298,0.0105973
0.15243,0.574697,0.0104788
0.153323,0.560594,0.0108818
0.15395,0.550697,0.0111646
0.143038,0.609915,0.0115101
0.135382,0.651468,0.0117525
0.134332,0.663679,0.0157119
0.133595,0.672249,0.0184902
0.141964,0.685093,0.0312884
0.144028,0.715095,0.0383654
0.14544,0.736243,0.0433058
0.145161,0.728283,0.0429335
0.144892,0.723082,0.0426579
0.143433,0.692147,0.0435341
0.151626,0.662528,0.041554
