AU02,AU04cand,Smile_v2
0.582645,0.0508675,0.0268187
0.582645,0.0508675,0.0268187
0.592061,0.0853271,0.288649
0.581845,0.116772,0.208582
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.512397,0.159381,0.00359531
0.512397,0.142634,0.00323983
0.49733,0.138215,0.0026318
0.490246,0.13005,0.00205283
0.490781,0.142187,0.00190201
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.524793,0.178897,0.000506191
0.527222,0.186079,0.000759963
0.505398,0.188119,0.000588169
0.508154,0.191379,0.000869395
0.514135,0.177139,0.000908865
0.523344,0.165411,0.00140371
0.535924,0.167536,0.00150099
0.533706,0.145052,0.00120819
0.514219,0.122895,0.00108867
0.531431,0.118109,0.000944586
0.535798,0.123053,0.000774974
0.532478,0.119185,0.000674226
0.53059,0.108785,0.000637839
0.520086,0.103732,0.000696013
0.508796,0.0953832,0.000765081
0.514691,0.0864959,0.000645206
0.518643,0.079998,0.000567022
0.526788,0.0790878,0.000759028
0.525401,0.0814533,0.000920434
0.523546,0.0828154,0.00103551
0.508502,0.0874782,0.00233407
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.417355,0.169781,0.0019346
-1,-1,-1
0.442149,0.110644,0.00648069
0.471288,0.0970049,0.00371599
-1,-1,-1
-1,-1,-1
0.586777,0.0851549,0.0018214
0.586777,0.0851549,0.0018214
0.562293,0.101335,0.00270819
0.588205,0.124515,0.00281619
0.541647,0.144106,0.00257084
0.584928,0.149523,0.00370772
0.574768,0.136872,0.00321926
0.55762,0.114876,0.00294767
0.547407,0.120053,0.00906526
0.551884,0.128355,0.012437
0.533097,0.11729,0.01176
0.531339,0.118886,0.0122334
0.528043,0.132504,0.0130831
0.51727,0.122375,0.013408
0.508678,0.138556,0.015816
0.508391,0.152958,0.0257296
0.519373,0.153533,0.0212025
0.53499,0.14246,0.0164843
0.530679,0.125804,0.0219395
0.527323,0.113978,0.0257904
0.537018,0.113705,0.0206836
0.515563,0.102192,0.0186606
0.509468,0.107243,0.0192618
0.500333,0.111649,0.0192914
0.485112,0.110069,0.0203769
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.561983,0.204206,0.0247892
0.561983,0.204206,0.0247892
0.518667,0.192069,0.0175317
0.530842,0.166312,0.0119181
0.516785,0.138881,0.00833286
0.511099,0.1329,0.0069784
0.502105,0.12492,0.00549194
0.498818,0.132105,0.00481779
0.512043,0.147538,0.00621055
0.528653,0.152388,0.00836455
0.52971,0.145475,0.00960713
0.530451,0.150653,0.00853483
0.534355,0.164474,0.00874561
0.550323,0.153642,0.0082989
0.549349,0.150841,0.00786498
0.55113,0.139971,0.00730388
0.551257,0.129837,0.0061651
0.539849,0.126911,0.00592897
0.535211,0.128473,0.00565146
0.529197,0.130489,0.00534478
0.536696,0.121507,0.00485231
0.515301,0.11877,0.00453109
0.504022,0.116224,0.00456441
0.493165,0.115378,0.00435069
0.502416,0.119699,0.00442982
0.503757,0.119441,0.00437626
0.51235,0.107976,0.00383715
0.518711,0.107053,0.00417837
0.520525,0.110947,0.00392962
0.509178,0.110515,0.00364216
0.500885,0.110521,0.00344856
0.504723,0.113391,0.00346232
0.508575,0.109085,0.0033165
0.520238,0.110573,0.00320754
0.516519,0.102826,0.00288463
0.506441,0.100428,0.00244714
0.505495,0.094144,0.0023726
0.501023,0.0925678,0.00212708
0.506844,0.0944597,0.00201335
0.517643,0.101113,0.00177298
0.515066,0.105356,0.00226766
0.529502,0.104823,0.00227866
0.528171,0.111888,0.00244864
0.519364,0.11494,0.0023576
0.549056,0.115587,0.00304875
0.530762,0.12691,0.00380395
0.51901,0.140508,0.00348863
0.504527,0.140292,0.00352322
0.499185,0.140152,0.00377846
0.493983,0.143263,0.00419344
0.507129,0.141805,0.004177
0.503182,0.141188,0.00435656
0.502012,0.14162,0.00401211
0.496335,0.13869,0.00390761
0.492591,0.131517,0.0039284
0.49745,0.121654,0.00418817
0.494476,0.120163,0.00425256
0.501459,0.120665,0.00437295
0.499864,0.126644,0.00388417
0.500052,0.122012,0.00365437
