AU02,AU04cand,Smile_v2
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.413223,0.523966,0.989498
0.323376,0.418509,0.983226
0.366209,0.485865,0.987335
0.353806,0.523844,0.99089
0.387046,0.486143,0.992907
0.405711,0.47552,0.994189
0.417574,0.468769,0.995005
0.439768,0.474752,0.99558
0.441794,0.466341,0.996024
0.42921,0.477908,0.996609
0.420633,0.485513,0.997077
0.412166,0.513672,0.997472
0.418791,0.495489,0.997385
0.41402,0.504335,0.997361
0.389371,0.480724,0.997805
0.372111,0.463838,0.998115
0.37777,0.443785,0.997466
0.399109,0.461241,0.996461
0.400486,0.446029,0.996047
0.379009,0.452914,0.995653
0.39821,0.488208,0.983536
0.40037,0.409882,0.723418
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.210744,0.573711,0.911843
0.137895,0.475075,0.948517
0.120247,0.462126,0.960869
0.118458,0.433131,0.963571
0.0892462,0.435147,0.968334
0.0968081,0.37944,0.960558
0.135247,0.397009,0.951934
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.413223,0.622731,0.955161
0.40351,0.653557,0.956486
0.419237,0.62403,0.95419
0.415242,0.665805,0.952211
0.430855,0.680921,0.947065
0.430481,0.68124,0.93985
0.412755,0.707497,0.948052
0.397188,0.725392,0.953564
0.377749,0.722451,0.959629
0.378492,0.720047,0.960947
0.386313,0.67908,0.968117
0.391948,0.649866,0.973128
0.373956,0.60105,0.976605
0.347625,0.657098,0.982251
0.328708,0.678909,0.986856
0.31696,0.695623,0.990613
0.299039,0.718845,0.992771
0.296729,0.736495,0.994627
0.295365,0.749307,0.995862
0.285118,0.748924,0.997031
0.296748,0.736155,0.997623
0.304909,0.727194,0.998039
0.31126,0.721748,0.998333
0.316121,0.715277,0.998447
0.32207,0.709601,0.998763
0.331286,0.68472,0.998893
0.339315,0.696402,0.999126
0.347195,0.716457,0.9993
0.359071,0.714311,0.999467
0.368931,0.665886,0.999409
0.379106,0.629004,0.999368
0.358321,0.5607,0.999295
0.366584,0.533004,0.997839
0.354611,0.539162,0.997078
0.346136,0.513206,0.996782
0.340042,0.495596,0.996577
0.335729,0.482867,0.996254
0.380866,0.460514,0.996102
0.412354,0.445761,0.996022
0.434413,0.434221,0.995684
0.428202,0.43615,0.995356
0.419575,0.465323,0.99578
0.39255,0.539208,0.995983
0.377909,0.566512,0.995812
0.387945,0.551911,0.995509
0.388641,0.542519,0.994754
0.389129,0.535915,0.99423
0.367766,0.525335,0.993963
0.365468,0.518385,0.993125
0.346085,0.499668,0.993875
0.333109,0.489508,0.993931
0.32415,0.48161,0.993952
0.310835,0.521574,0.994077
0.301382,0.522428,0.99455
0.284006,0.534044,0.994809
0.273266,0.549789,0.994823
0.268268,0.615201,0.995146
0.270427,0.692568,0.995504
0.253803,0.757888,0.995985
0.248999,0.780454,0.996282
0.259591,0.821831,0.996188
0.263216,0.845107,0.996656
0.291367,0.803696,0.995158
0.311121,0.670521,0.985886
0.321468,0.593721,0.869394
0.337577,0.563203,0.887725
0.36404,0.520894,0.901357
0.383732,0.540833,0.896917
0.401872,0.56524,0.674044
0.385222,0.563142,0.487062
0.394713,0.574932,0.364594
0.411639,0.514423,0.267485
0.44436,0.489961,0.220253
0.464782,0.521805,0.192358
0.441141,0.576089,0.160108
0.440797,0.598635,0.137049
0.427421,0.639963,0.109239
0.386264,0.668429,0.0809979
0.352196,0.690215,0.0660633
0.307556,0.75327,0.0565676
0.276877,0.773323,0.0446495
0.255056,0.78939,0.0366095
0.234042,0.815161,0.0653088
0.204137,0.834387,0.206436
0.180447,0.862328,0.427725
0.164615,0.87896,0.588519
0.146257,0.895877,0.67279
0.134294,0.871237,0.755335
0.151433,0.866402,0.821823
0.156468,0.866809,0.878008
0.181544,0.882169,0.918586
0.191524,0.855345,0.944236
0.199943,0.819509,0.966833
0.18852,0.828777,0.979631
0.206002,0.814264,0.985084
0.230927,0.75586,0.988322
0.265138,0.703485,0.991689
0.296761,0.682503,0.993075
0.319485,0.671642,0.993181
0.336921,0.662556,0.992874
0.353608,0.666572,0.992574
0.371885,0.675172,0.993012
0.39229,0.65793,0.993081
0.407122,0.634503,0.993377
