AU02,AU04cand,Smile_v2
0.623967,0.0738282,0.00623104
0.623967,0.0738282,0.00623104
0.59195,0.0723855,0.00564327
0.573642,0.0668763,0.00609949
0.559054,0.0627187,0.00610112
0.557247,0.058273,0.00661566
0.52112,0.0568123,0.00712527
0.532761,0.0529672,0.0073071
0.54571,0.0543083,0.00784271
0.513897,0.0513501,0.00726059
0.46676,0.0500145,0.00699621
0.434954,0.0489727,0.00691591
0.409451,0.0493927,0.00681262
0.39163,0.0497965,0.00672361
0.376696,0.0497758,0.00656032
0.364763,0.049135,0.00661765
0.424622,0.0532183,0.00584394
0.466902,0.0593345,0.00545434
0.468498,0.0598553,0.00506896
0.428904,0.0609413,0.00534853
0.401819,0.0616769,0.00554095
0.352311,0.0668272,0.00574941
0.317682,0.0704086,0.00589737
0.302268,0.0673779,0.00603621
0.291525,0.0652609,0.00613673
0.287832,0.0665015,0.00611109
0.261714,0.0693177,0.00580714
0.24335,0.0712022,0.00558954
0.268084,0.0717042,0.00547233
0.281575,0.0633027,0.00581424
0.258038,0.0571309,0.00638985
0.260175,0.0502847,0.00558465
0.259136,0.0465683,0.00508883
0.259419,0.0496614,0.00533886
0.259617,0.0518318,0.00551431
0.248222,0.0495749,0.0047553
0.253544,0.0504082,0.00484574
0.23443,0.059747,0.0042057
0.219952,0.0663268,0.00375564
0.231519,0.0701139,0.00386306
0.320561,0.0678402,0.0045122
0.406646,0.0947839,0.00755767
0.521709,0.081233,0.00759435
0.621452,0.0685062,0.00919519
0.697789,0.0666435,0.00761352
0.746608,0.0688163,0.0066559
0.793191,0.0698945,0.00733511
0.8075,0.0723883,0.00896464
0.804846,0.0792977,0.00866232
0.809976,0.0855371,0.00888277
0.822685,0.0868944,0.0115679
0.843599,0.0767432,0.0124539
0.847809,0.0705025,0.0117699
0.85275,0.0694723,0.0129149
0.849688,0.07428,0.0174596
0.841338,0.082719,0.0212081
0.835112,0.0931726,0.0272986
0.827487,0.0905359,0.0424718
0.833927,0.085982,0.0728186
0.836957,0.0876663,0.10038
0.840021,0.0758168,0.103405
0.844343,0.0676199,0.107878
0.838748,0.0633663,0.107479
0.842364,0.0592042,0.125254
0.842546,0.0590488,0.124536
0.83905,0.054102,0.106012
0.846751,0.0496528,0.0817249
0.844649,0.0470629,0.0611747
0.840305,0.0452681,0.0469536
0.819522,0.0443752,0.0346254
0.797286,0.0498137,0.0263355
0.790495,0.0552399,0.0194435
0.784717,0.0536343,0.0185988
0.791867,0.0576789,0.016698
0.786802,0.0524255,0.019052
0.783359,0.0488748,0.0212249
0.769224,0.043656,0.0203795
0.763335,0.0413497,0.0215145
0.755467,0.0399032,0.0211033
0.73269,0.0401717,0.0269286
0.722005,0.0411953,0.0349314
0.716788,0.0381385,0.0393332
0.713165,0.0361489,0.0423094
0.716638,0.0349538,0.0395847
0.71937,0.0399773,0.0346805
0.711131,0.0403156,0.0314777
0.710759,0.0408216,0.0305511
0.710387,0.0411372,0.0298536
0.688657,0.0399449,0.0290996
0.681539,0.0395773,0.0227396
0.637048,0.0375386,0.0180273
0.604485,0.0381727,0.0159192
0.568942,0.0368274,0.0141511
0.545087,0.0357709,0.0152532
0.528347,0.0348667,0.0161105
0.504202,0.0375378,0.0183291
0.501075,0.0410553,0.0218928
0.49888,0.0435236,0.0243935
0.505581,0.0422887,0.0238202
0.4961,0.04076,0.0256752
0.490586,0.0402393,0.028935
0.480407,0.0430601,0.0323987
0.525675,0.0470091,0.0330014
0.557403,0.0477769,0.0325032
0.561896,0.0418476,0.027369
0.523527,0.0402457,0.02296
0.487314,0.0397474,0.0206921
0.464441,0.0389222,0.018743
0.444363,0.0387543,0.017673
0.431948,0.0371863,0.0177035
0.420697,0.0378654,0.0167607
0.409178,0.0385169,0.0164041
0.404666,0.0383131,0.0161597
0.400231,0.0395395,0.0159046
0.397633,0.0386125,0.0164214
0.391945,0.0388974,0.0184533
0.380594,0.0373239,0.0197822
0.375095,0.0375834,0.0218639
0.373885,0.0399532,0.0228948
0.384423,0.0366239,0.0222891
0.388084,0.034335,0.0208515
0.386954,0.0329225,0.0204023
0.393631,0.0331782,0.0197892
0.438973,0.0333607,0.018381
0.44794,0.0346572,0.0177636
0.450572,0.035619,0.0181584
0.45137,0.0372176,0.0175247
0.441701,0.043158,0.016532
0.40057,0.0484431,0.0165075
0.410728,0.0509835,0.0156352
0.40908,0.0527348,0.0144966
0.448654,0.0544427,0.0138882
0.430506,0.0533526,0.0133007
0.453407,0.0498061,0.0112486
0.471408,0.0457597,0.0119121
0.484149,0.042918,0.0123524
0.489318,0.0408138,0.0134852
0.484354,0.0393822,0.0131629
0.48567,0.0392115,0.0131151
0.481647,0.0383423,0.0124238
0.479081,0.0374112,0.0124028
0.472297,0.0361088,0.0123351
0.468859,0.0352602,0.0122925
0.462842,0.0345958,0.0119599
0.467469,0.0342447,0.012428
0.460561,0.0353284,0.0133199
0.455824,0.0360913,0.0139226
0.450218,0.0366401,0.0138494
0.437289,0.0341009,0.0177212
0.435943,0.0322434,0.0208984
0.434998,0.0309494,0.0231148
0.433176,0.0302479,0.0239203
0.430628,0.0299531,0.023283
0.428914,0.0297505,0.0228459
0.421107,0.0296295,0.0232028
0.409576,0.031485,0.0235311
0.401484,0.0327871,0.0237614
0.399688,0.0312828,0.0217608
0.389799,0.0328474,0.0189853
0.378832,0.0357507,0.0173046
0.371136,0.037788,0.0161254
0.37085,0.0369488,0.017236
0.369416,0.03879,0.0169031
0.430609,0.0418095,0.0190166
0.472463,0.0435114,0.0185034
0.502016,0.0446484,0.0181405
0.524023,0.0436204,0.0191626
0.539354,0.0429691,0.0199429
0.541484,0.0442403,0.0213789
0.532934,0.0430656,0.0217439
0.523127,0.0434988,0.0237543
0.524983,0.0425551,0.0234884
0.573289,0.0424757,0.0218545
0.601578,0.0450447,0.0209612
0.621464,0.0468595,0.0203916
0.643035,0.0447611,0.0210171
0.642902,0.0450335,0.0211014
0.59965,0.0409617,0.0192172
0.601292,0.0431611,0.0254954
0.567195,0.042058,0.0269436
