AU02,AU04cand,Smile_v2
0.219008,0.0250104,0.109531
0.219008,0.0250104,0.109531
0.207708,0.0554003,0.12953
0.234937,0.0645067,0.139582
0.260403,0.0666922,0.255278
0.246381,0.0664836,0.404873
0.234779,0.0677709,0.399497
0.216685,0.0614001,0.487657
0.190409,0.0713506,0.553289
0.196655,0.0703089,0.583987
0.218556,0.0746676,0.514318
0.239001,0.0734016,0.444376
0.24722,0.0596676,0.405466
0.247176,0.0576506,0.325549
0.238002,0.0539162,0.32902
0.247569,0.0535392,0.250188
0.254355,0.0522468,0.205916
0.259411,0.0515424,0.172277
0.264632,0.0546727,0.13104
0.257443,0.0577882,0.121891
0.244268,0.0604958,0.125473
0.224721,0.056459,0.0984718
0.255616,0.073645,0.0879852
0.277443,0.0854873,0.0821491
0.271436,0.0774349,0.06996
0.270589,0.0687452,0.0525994
0.254762,0.0698985,0.0419287
0.248733,0.0909078,0.0376303
0.258429,0.0950703,0.0303996
0.25918,0.07863,0.136918
0.25485,0.0750364,0.210964
0.238142,0.0687153,0.307418
0.226402,0.0651944,0.375521
0.220703,0.0582384,0.378775
0.218597,0.0511935,0.353218
0.21701,0.0463362,0.335606
0.225222,0.0387607,0.308664
0.22703,0.0345565,0.261399
0.225355,0.0331074,0.250006
0.226903,0.0301091,0.221055
0.230674,0.0275605,0.195748
0.2223,0.0274738,0.165448
0.227812,0.0270462,0.143993
0.240492,0.032618,0.118575
0.241736,0.035778,0.101847
0.245148,0.0454789,0.0774594
0.275211,0.0511987,0.0572053
0.273568,0.0610806,0.0494604
0.266142,0.0570063,0.0465075
0.25578,0.0676516,0.043773
0.244628,0.0922618,0.0471579
0.233324,0.0859896,0.0437688
0.200944,0.0909719,0.0432319
0.158925,0.121952,0.0621105
0.129661,0.143715,0.0753491
0.171251,0.123853,0.0780259
0.209782,0.0986745,0.105118
0.185437,0.0782925,0.0801878
0.155843,0.069026,0.0643787
0.135225,0.062135,0.0533194
0.167833,0.0534009,0.0497797
0.225098,0.0470925,0.0443219
0.257093,0.0456437,0.0400035
0.294059,0.0421207,0.037844
0.307304,0.0387992,0.0339042
0.307181,0.0398647,0.0414093
