AU02,AU04cand,Smile_v2
0.570248,0.0278168,0.000121939
0.570248,0.0278168,0.000121939
0.587198,0.0318305,0.000120307
0.595168,0.0337176,0.00011954
0.584725,0.035101,9.67256e-005
0.578421,0.035936,8.29541e-005
0.564998,0.0353084,7.08194e-005
0.556185,0.0348963,6.28527e-005
0.559275,0.0366885,5.83635e-005
0.561376,0.0379075,5.53103e-005
0.562753,0.0388418,5.26026e-005
0.563719,0.0394973,5.07026e-005
0.564067,0.039879,4.94011e-005
0.564311,0.0401469,4.84879e-005
0.564849,0.0403265,4.84009e-005
0.565227,0.0404525,4.83399e-005
0.565749,0.0405725,4.83894e-005
0.566116,0.0406568,4.84241e-005
0.566116,0.0406568,4.84241e-005
0.566116,0.0406568,4.84241e-005
0.566116,0.0406568,4.84241e-005
0.478529,0.030295,0.000425126
0.41707,0.0230241,0.000689459
0.391714,0.0185678,0.000795006
0.373922,0.0154409,0.000869068
0.362707,0.0141067,0.00086481
0.354837,0.0131705,0.000861822
0.356931,0.0151998,0.000833984
0.364747,0.021116,0.000730265
0.399427,0.0315002,0.000666804
0.438995,0.0373588,0.000575216
0.469295,0.0417696,0.000500045
0.505788,0.0465543,0.000422001
0.530882,0.049893,0.000369551
0.54849,0.0522357,0.000332746
0.502418,0.0436113,0.000521228
0.466281,0.0387178,0.000527116
0.439434,0.0349306,0.000577511
0.429297,0.034584,0.000569968
0.414992,0.0339583,0.000582357
0.421015,0.0331198,0.000529751
0.425242,0.0325315,0.000492837
0.427767,0.0320698,0.000467666
0.434616,0.0305132,0.000456871
0.438152,0.0307776,0.00043844
0.442324,0.0312595,0.000419352
0.445362,0.0315642,0.000409615
0.44753,0.031786,0.000401465
0.448794,0.031871,0.000397059
0.457481,0.0285721,0.000372609
0.464369,0.0257255,0.000331128
0.484434,0.033008,0.00035797
0.498514,0.0381182,0.000376806
0.494284,0.0373597,0.000385882
0.518009,0.0409474,0.000525892
0.533388,0.0387092,0.000929717
0.531485,0.0372669,0.00117355
0.522534,0.0351106,0.00119182
0.540371,0.0362346,0.00100066
0.457464,0.0283677,0.00148973
0.424639,0.0243081,0.00153113
0.375777,0.0195833,0.00208691
0.371955,0.0172343,0.00211666
0.395065,0.0169738,0.00191432
0.404163,0.0186551,0.00187186
0.416931,0.0199191,0.00202081
0.426257,0.0208023,0.00212647
0.408904,0.0193871,0.00193927
0.430302,0.0212724,0.00162868
0.449342,0.0288729,0.00127791
0.470853,0.0298533,0.00108556
0.454948,0.0270822,0.000940288
0.45433,0.0304687,0.00119219
0.482357,0.0351618,0.0244915
0.498399,0.0307654,0.244696
0.524705,0.0330355,0.470411
0.540625,0.039039,0.632037
0.547417,0.0462558,0.745485
0.556268,0.0510573,0.828785
0.548479,0.0575876,0.887695
0.546565,0.0598361,0.929459
0.54614,0.0624322,0.958326
0.551858,0.0582539,0.979208
0.557564,0.0570487,0.992658
0.560409,0.0606256,0.996022
0.563234,0.061546,0.995358
0.513245,0.0619781,0.988274
0.539245,0.0711235,0.964241
0.577652,0.0668472,0.959844
0.591043,0.0772947,0.953056
0.55844,0.0751637,0.932177
0.549526,0.0891008,0.895607
0.51643,0.0901885,0.881351
0.529945,0.0964017,0.776366
0.526772,0.098906,0.649185
0.542279,0.0974661,0.502249
0.521664,0.102047,0.360922
0.496549,0.103166,0.260225
0.506263,0.111657,0.195223
0.527448,0.111207,0.153919
0.540986,0.123883,0.135954
0.556429,0.131666,0.129936
0.538842,0.139473,0.169057
0.540667,0.135933,0.119868
0.539777,0.153397,0.0840323
0.505634,0.135886,0.0580993
0.442012,0.1342,0.0406815
0.430628,0.133784,0.0283646
0.379943,0.134186,0.020177
0.335087,0.116765,0.0139971
0.301147,0.108262,0.00912902
0.287302,0.101934,0.00553571
0.279701,0.0973527,0.00193989
0.273927,0.0943942,0.00171444
0.269948,0.0917423,0.00163925
0.268112,0.0907456,0.00165763
0.271807,0.0918128,0.00224767
0.273444,0.0925409,0.00266618
0.275806,0.0930256,0.00294164
0.27772,0.0938831,0.00314399
0.279137,0.0943665,0.00329252
0.279837,0.0947167,0.0033969
0.280292,0.0949648,0.00346465
0.280611,0.0951388,0.00351219
0.280835,0.095261,0.00354555
0.280992,0.0953467,0.00356896
0.280992,0.0953467,0.00356896
0.280992,0.0953467,0.00356896
0.280992,0.0953467,0.00356896
0.280992,0.0953467,0.00356896
0.280992,0.0953467,0.00356896
0.280992,0.0953467,0.00356896
0.280992,0.0953467,0.00356896
0.32415,0.144113,0.0456803
0.339202,0.121903,0.0331951
0.372613,0.104913,0.0240608
0.399866,0.0935629,0.0171752
0.438029,0.0933108,0.0121512
