AU02,AU04cand,Smile_v2
0.252066,0.0188103,0.107961
0.252066,0.0188103,0.107961
0.238883,0.0152551,0.122479
0.226176,0.0118831,0.141562
0.299351,0.0177976,0.289977
0.291732,0.0166996,0.28718
0.276127,0.0127493,0.231111
0.3091,0.0290888,0.175882
0.367209,0.0291639,0.123944
0.322953,0.0233626,0.08614
0.339889,0.0292407,0.0597236
0.368274,0.0251889,0.0409988
0.374487,0.0210188,0.0275503
0.375185,0.0196133,0.0178193
0.418119,0.0163762,0.00758985
0.374712,0.0141159,0.00283189
0.349625,0.01323,0.000983583
0.318115,0.0126337,0.000200925
0.279744,0.0131507,7.96583e-005
0.278092,0.0140036,6.11066e-005
0.245108,0.0150168,4.70925e-005
0.229102,0.0153145,3.91845e-005
0.225891,0.0153759,3.35695e-005
0.213593,0.0156617,2.95996e-005
0.263338,0.0130306,3.08831e-005
0.294065,0.0256791,0.000389531
0.325634,0.0226517,0.000363464
0.3545,0.0204306,0.000310966
0.371389,0.0182202,0.000305818
0.394003,0.0183323,0.000278713
0.382826,0.0188615,0.000277329
0.36207,0.0175303,0.000224986
0.353631,0.0168267,0.000195557
0.348004,0.0192747,0.000167769
0.343598,0.0219083,0.00016508
0.322918,0.0239598,0.000131382
0.323346,0.0248654,0.000146878
0.323463,0.0236685,0.000140335
0.319847,0.0338833,0.000142357
0.33475,0.0324781,0.000135228
0.346015,0.0346027,0.000119174
0.354288,0.033498,0.000106624
0.347216,0.034492,0.000102951
0.332098,0.0342436,0.000120912
0.30749,0.034615,0.000115419
0.283121,0.0268717,0.000135413
0.26431,0.0215098,0.000177344
0.251111,0.0178004,0.000207301
0.248306,0.0140027,0.000212289
0.248362,0.0117349,0.000192614
0.224284,0.00982058,0.000220469
0.20231,0.008303,0.000218359
0.175834,0.00889568,0.000202477
0.184207,0.00986054,0.000191955
0.190486,0.0105211,0.000185082
0.201459,0.0124809,0.000164819
0.20158,0.0132873,0.000146796
0.176277,0.0153702,0.000134589
0.163416,0.0179368,0.000131819
0.172089,0.0167902,0.000182831
0.167448,0.0156525,0.00019354
0.170686,0.0149935,0.000202214
0.173288,0.0144816,0.000208713
0.187037,0.0133262,0.000216554
0.196684,0.0125154,0.000222056
0.195653,0.0122907,0.000215515
0.200228,0.0133514,0.000212148
0.213059,0.0136496,0.000206241
0.210491,0.0142042,0.000187014
0.205636,0.0137087,0.000158233
0.205098,0.0140165,0.000144535
0.204538,0.0142287,0.000134908
0.199067,0.0134865,0.000114296
0.198668,0.0132456,0.000105153
0.199658,0.0113298,0.000105116
0.201843,0.0099456,0.000105255
