AU02,AU04cand,Smile_v2
0.516529,0.5084,0.00326653
0.516529,0.5084,0.00326653
0.542896,0.536434,0.00272808
0.540649,0.529867,0.00235497
0.551288,0.515728,0.00188003
0.574507,0.499064,0.00154549
0.573121,0.507588,0.00128976
0.54078,0.556207,0.00106641
0.483094,0.514507,0.00107342
0.480671,0.586624,0.0012926
0.472327,0.621986,0.00126111
0.451239,0.627635,0.00250375
0.452429,0.619123,0.00422511
0.478983,0.604491,0.00507367
0.460509,0.527119,0.00587489
0.472493,0.456962,0.00715554
0.491498,0.461656,0.00665788
0.509524,0.44155,0.00921541
0.535895,0.421778,0.0107847
0.526677,0.366465,0.0106619
0.535625,0.321781,0.0123989
0.541076,0.277821,0.0162604
0.532999,0.233096,0.0133944
0.548175,0.215924,0.0122397
0.547196,0.189769,0.0107713
0.550852,0.211771,0.00952751
0.555663,0.200738,0.00828717
0.564005,0.199636,0.0067709
0.585993,0.253652,0.00670176
0.584423,0.28797,0.00692794
0.575264,0.291231,0.00640652
0.571413,0.273699,0.0065121
0.581735,0.244733,0.00560059
0.588353,0.224004,0.0049365
0.599711,0.2372,0.00548255
0.607534,0.245305,0.00587129
0.555829,0.245656,0.00683832
0.556212,0.242577,0.00752088
0.522999,0.224405,0.0167184
0.500208,0.21179,0.0231655
0.507285,0.20543,0.020683
0.488059,0.200731,0.0260103
0.474201,0.197929,0.0297817
0.503827,0.181514,0.0337522
0.478734,0.195457,0.0332369
0.444625,0.203107,0.0309724
0.422344,0.208649,0.0293636
0.405644,0.232581,0.0395988
0.41519,0.251188,0.0561773
0.401579,0.201871,0.133504
0.395175,0.170667,0.19988
0.367261,0.150738,0.208919
0.370523,0.139708,0.212881
0.371672,0.132387,0.215623
0.424576,0.136139,0.193862
0.473601,0.149481,0.162593
0.480076,0.165391,0.137281
0.52397,0.170031,0.12831
0.517371,0.171235,0.130103
0.539985,0.157259,0.103004
0.550665,0.144326,0.087328
0.548703,0.13468,0.0723816
0.546665,0.124741,0.0736013
0.55539,0.125923,0.0656775
0.560042,0.126473,0.0608056
0.508394,0.122723,0.0769716
0.517388,0.126047,0.100135
0.52256,0.128551,0.116125
0.532332,0.143101,0.118097
0.492721,0.154127,0.146923
0.494267,0.165208,0.170993
0.486761,0.183671,0.20287
0.482763,0.189067,0.24319
0.479664,0.192121,0.237759
0.47749,0.1785,0.278386
