AU02,AU04cand,Smile_v2
0.0661157,0.0528767,0.0156219
0.0661157,0.0528767,0.0156219
0.0661157,0.0492985,0.0141881
0.0482174,0.0585753,0.0143953
0.0888133,0.0629686,0.0162259
0.121717,0.0682996,0.0355141
0.142629,0.0716878,0.047773
0.138024,0.0887647,0.0479885
0.133651,0.108677,0.052364
0.130676,0.12222,0.05534
0.136805,0.104184,0.0680145
0.119527,0.153098,0.0583682
0.144214,0.119485,0.0685502
0.122591,0.121731,0.0537835
0.130287,0.131404,0.0449827
0.10881,0.116617,0.0487743
0.0962786,0.111851,0.0483705
0.0905381,0.106444,0.0401557
0.101779,0.0967062,0.0427592
0.095704,0.0907184,0.0407623
0.103914,0.0955632,0.0389327
0.1103,0.0971809,0.0381855
0.113716,0.100284,0.0371714
0.117251,0.101707,0.0370934
0.119034,0.102472,0.0369923
0.121057,0.121952,0.0425072
0.119864,0.105508,0.057789
0.118953,0.0940165,0.0687482
0.0975633,0.100553,0.0565166
0.0969212,0.115662,0.0422974
0.098642,0.1456,0.0319454
0.0998495,0.161747,0.031884
0.115929,0.203501,0.0462427
0.136098,0.187926,0.048053
0.129941,0.216481,0.0415812
0.10531,0.201332,0.0431671
0.104602,0.219152,0.0350312
0.105374,0.249042,0.0363415
0.106504,0.269598,0.0378305
0.114509,0.24514,0.0373612
0.120053,0.227412,0.0370428
0.121404,0.250637,0.0372901
0.0965241,0.229386,0.0294929
0.0762698,0.19359,0.0291403
0.0728,0.169088,0.0257899
0.0658756,0.181576,0.0256818
0.0656165,0.206919,0.0295031
0.0780917,0.193724,0.0247142
0.0893843,0.189984,0.0238612
0.0882024,0.20108,0.0218813
0.0911812,0.224633,0.0175307
0.109847,0.215531,0.0167925
0.12114,0.209028,0.0202079
0.140563,0.221089,0.0202989
0.143743,0.203493,0.0238775
0.157546,0.209983,0.02229
0.162007,0.209114,0.0228423
0.16477,0.209387,0.0234401
0.172982,0.191468,0.0236625
0.168846,0.170903,0.0312246
0.169642,0.179405,0.0321575
0.15703,0.170443,0.0371381
0.150792,0.185641,0.0412719
0.147353,0.171464,0.0407024
0.123655,0.159683,0.049153
0.115581,0.140372,0.0592875
0.120217,0.127136,0.0614332
0.115854,0.112494,0.0713585
0.102454,0.11616,0.0685399
0.090806,0.113407,0.064074
0.0876,0.116323,0.0614819
0.0844483,0.121361,0.0597456
