AU02,AU04cand,Smile_v2
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.0867769,0.517063,0.118239
0.0867769,0.517063,0.118239
0.101844,0.476894,0.109876
0.123572,0.5287,0.121347
0.0999488,0.446342,0.11398
0.0856889,0.396627,0.109534
0.0779712,0.37225,0.0921425
0.0964772,0.394822,0.0887781
0.0767456,0.394541,0.0904102
0.0620559,0.360825,0.0856895
0.0719688,0.334613,0.0787181
0.0751166,0.321313,0.0851579
0.0808397,0.309824,0.0780691
0.088333,0.291653,0.0740128
0.0868566,0.277085,0.081572
0.0832819,0.262463,0.0859879
0.088353,0.25531,0.0964062
0.0925194,0.248308,0.10019
0.0836678,0.220576,0.112297
0.0774934,0.202086,0.120961
0.0687648,0.171977,0.122949
0.0767132,0.157381,0.111383
0.0821804,0.147224,0.103609
0.0808291,0.138504,0.0972933
0.0839094,0.116127,0.0882356
0.133111,0.173452,0.0869049
0.167415,0.210519,0.0779193
0.162255,0.295808,0.0632894
0.150115,0.401256,0.056767
0.133981,0.450256,0.0542719
0.146887,0.467158,0.0586346
0.144116,0.488241,0.0610304
0.145979,0.46409,0.0546944
0.146164,0.456702,0.0502243
0.15253,0.448481,0.0496402
0.146752,0.381244,0.0506035
0.169355,0.373854,0.0438457
0.168289,0.343697,0.039881
0.158913,0.275356,0.0388744
0.169056,0.213178,0.0362878
0.155165,0.178768,0.0390356
0.133055,0.157474,0.0420309
0.104736,0.187042,0.052953
0.0887097,0.18552,0.0691833
0.0823576,0.236454,0.0775963
0.0908512,0.335186,0.0880394
0.0960397,0.387394,0.100575
0.0900398,0.465995,0.14428
0.0810094,0.505365,0.19859
0.0741952,0.513226,0.250697
0.0788869,0.540853,0.299179
0.0888934,0.507459,0.312326
0.10009,0.58791,0.299112
0.110376,0.566151,0.313269
0.121255,0.528599,0.28717
0.119635,0.528118,0.272921
0.117229,0.577736,0.246435
0.132337,0.603781,0.233005
0.145624,0.653364,0.221175
0.154947,0.688741,0.21247
0.137114,0.695639,0.196916
0.125686,0.699046,0.22328
0.13152,0.676823,0.223469
0.135541,0.663511,0.222917
0.12048,0.638034,0.235259
0.107631,0.640877,0.318172
0.0935734,0.643708,0.334166
0.0832318,0.571534,0.382838
0.117791,0.581461,0.398281
0.136963,0.599586,0.408708
0.156192,0.595254,0.372842
0.164571,0.58495,0.369729
0.189087,0.616531,0.378284
0.193596,0.629001,0.37628
0.18712,0.637963,0.340611
0.197881,0.648387,0.332283
0.205579,0.635611,0.32866
0.210981,0.639553,0.310402
0.198327,0.598501,0.28589
0.195941,0.582971,0.279616
0.189043,0.585735,0.255783
0.184349,0.539128,0.250678
0.180504,0.505318,0.246802
0.169288,0.511116,0.246308
0.170597,0.51273,0.247309
0.149496,0.526628,0.259419
0.148652,0.546042,0.269924
0.14806,0.559353,0.277719
0.145546,0.557291,0.292755
0.137252,0.554175,0.271787
0.136656,0.533048,0.279462
0.145124,0.534661,0.263442
0.157413,0.557521,0.289341
0.168831,0.553904,0.287867
0.181664,0.588781,0.290325
0.186216,0.574099,0.253569
0.195353,0.583477,0.230817
0.195418,0.586869,0.23522
0.190459,0.579995,0.225216
0.19351,0.574826,0.212263
0.200582,0.570251,0.213592
0.19767,0.571896,0.199969
0.195444,0.572421,0.189335
0.198885,0.572651,0.188666
0.194806,0.56293,0.18757
0.19463,0.553052,0.227953
0.194322,0.551648,0.219915
0.172711,0.553933,0.214923
0.175464,0.538173,0.239531
0.160711,0.554635,0.245336
0.164175,0.574978,0.25833
0.159209,0.569853,0.265242
0.158264,0.562826,0.299203
0.175224,0.540086,0.283118
0.191118,0.532693,0.275401
0.183156,0.522785,0.277988
0.177569,0.515656,0.280853
0.176812,0.498654,0.25191
0.164342,0.501934,0.288075
0.149723,0.507223,0.299117
0.147946,0.520531,0.313015
0.149458,0.526515,0.292354
0.151715,0.548065,0.281304
0.14263,0.555829,0.259392
0.132336,0.559826,0.263603
0.125664,0.565377,0.259079
0.178104,0.516687,0.271987
0.214828,0.482866,0.28194
0.234581,0.486232,0.273873
0.237201,0.496377,0.246441
0.207048,0.508877,0.222588
0.185816,0.517761,0.206733
0.159457,0.535435,0.187439
0.143793,0.543774,0.178457
0.127834,0.544161,0.163203
0.129329,0.573144,0.17165
0.124917,0.579207,0.163312
0.123091,0.566968,0.167475
0.121993,0.573932,0.175607
0.121553,0.568667,0.219041
0.157705,0.556883,0.202752
0.172918,0.515921,0.197904
0.1725,0.48208,0.183946
0.161978,0.45078,0.216091
0.185206,0.418808,0.214976
0.196061,0.394307,0.250246
0.203788,0.377573,0.275395
0.199018,0.37699,0.252858
0.194402,0.345739,0.253481
0.187354,0.32343,0.245251
0.176303,0.311773,0.221089
0.17392,0.297774,0.217635
0.157345,0.322698,0.204132
0.157433,0.339728,0.203909
0.16296,0.338278,0.217025
0.166986,0.337297,0.22517
0.172349,0.356848,0.230072
0.170059,0.353403,0.25971
0.164681,0.350804,0.270785
0.172442,0.335217,0.257006
0.172957,0.333119,0.228204
0.178249,0.330674,0.213381
0.16971,0.327958,0.197786
0.165926,0.336475,0.197253
0.159279,0.340737,0.187777
0.133036,0.353882,0.187103
0.117086,0.377345,0.197026
0.104808,0.385447,0.201876
0.0963028,0.391163,0.205546
0.123008,0.387569,0.181361
0.1292,0.418556,0.147949
0.133398,0.440334,0.124337
0.134172,0.455902,0.121676
0.135912,0.436617,0.129333
0.135973,0.431055,0.145103
0.142987,0.407169,0.164844
0.151644,0.400524,0.176702
0.159025,0.401787,0.194389
0.155318,0.370864,0.188383
0.144146,0.338953,0.185764
0.154445,0.377775,0.20634
0.161671,0.405018,0.220777
0.146506,0.405952,0.213621
0.135828,0.407474,0.208314
0.132179,0.402177,0.200111
0.139591,0.41584,0.21439
0.144681,0.425121,0.224458
0.162179,0.418409,0.205981
0.163291,0.421006,0.19307
0.171907,0.419807,0.180576
0.17617,0.404327,0.174025
0.177891,0.405962,0.168926
