AU02,AU04cand,Smile_v2
0.359504,0.0376957,0.0232503
0.359504,0.0376957,0.0232503
0.359504,0.0376957,0.0232503
0.359504,0.0376957,0.0232503
0.359504,0.0376957,0.0232503
0.359504,0.0376957,0.0232503
0.359504,0.0376957,0.0232503
0.359504,0.0376957,0.0232503
0.358218,0.0401071,0.0230751
0.361152,0.0403902,0.0225125
0.368277,0.042949,0.0229282
0.361852,0.0388835,0.0219586
0.340842,0.0392538,0.0206678
0.355294,0.0428425,0.0177502
0.35655,0.0396383,0.0185824
0.366317,0.0420989,0.0251551
0.39348,0.039249,0.0317901
0.402386,0.038634,0.0353033
0.378207,0.0402094,0.0323197
0.372554,0.0372621,0.0275077
0.363364,0.0389599,0.0242265
0.355976,0.0384642,0.0210083
0.351269,0.0380232,0.0187678
0.353468,0.035871,0.0186631
0.376848,0.0312042,0.0183564
0.354916,0.0316759,0.0176784
0.346554,0.0379965,0.0157911
0.349866,0.0421685,0.0147004
0.345455,0.0439534,0.0141641
0.354723,0.0464509,0.0146546
0.356296,0.0442807,0.0157156
0.3714,0.0426571,0.0137229
0.360419,0.0382405,0.0161823
0.355069,0.0377849,0.0162223
0.35069,0.0375614,0.0162547
0.34618,0.0350653,0.0162057
0.361836,0.0377421,0.0157871
0.357333,0.0435299,0.0150647
0.35947,0.047497,0.0139303
0.360603,0.0502481,0.0131116
0.346312,0.0450525,0.0134473
0.359998,0.0424707,0.0135293
0.38292,0.0417098,0.0134723
0.386237,0.0424126,0.0163652
0.403797,0.0480168,0.0179261
0.406037,0.0506942,0.0192067
0.405789,0.0560388,0.0195223
0.395901,0.0645525,0.0186744
0.395162,0.0735848,0.0175831
0.390835,0.0761719,0.0171222
0.398395,0.0794681,0.0155648
0.396655,0.0827308,0.0149576
0.395067,0.0849926,0.0145316
0.39432,0.0865418,0.0141492
0.412395,0.0798984,0.0133212
0.425372,0.0752749,0.0127348
0.411667,0.0751937,0.0144125
0.398535,0.0674306,0.014868
0.413255,0.0690304,0.0148905
0.436388,0.0735713,0.0156447
0.443441,0.0771715,0.0157254
0.447305,0.0735722,0.0156476
0.447477,0.0697721,0.0156103
0.441251,0.0635666,0.0170656
0.446486,0.0617344,0.0161495
0.441274,0.0581816,0.0154799
0.438278,0.0555939,0.01495
0.450249,0.0612767,0.015379
0.445257,0.0677473,0.0157872
0.429963,0.0726655,0.016089
0.423296,0.0639333,0.0155714
0.430079,0.0580688,0.0150492
0.439989,0.0549461,0.0151063
0.447127,0.0509514,0.0148218
0.451842,0.0480816,0.0146787
0.456677,0.0469157,0.014309
0.477841,0.0530526,0.0137543
0.484671,0.0559151,0.0138085
0.488562,0.0583322,0.0135792
0.462428,0.0551387,0.0154755
0.452864,0.051922,0.0153526
0.445823,0.0496623,0.015271
0.428042,0.0487485,0.0141649
0.439682,0.048239,0.0136204
0.437696,0.0437032,0.0140855
0.438803,0.0397027,0.0137612
0.439067,0.0366942,0.0135422
0.44201,0.0345575,0.0140473
0.444113,0.0341522,0.0140158
0.448972,0.0323163,0.013725
0.452124,0.0310665,0.0135637
0.445451,0.0302646,0.0137897
0.436058,0.0300606,0.0135285
0.438924,0.0314273,0.0136493
0.447575,0.0328718,0.0136608
