AU02,AU04cand,Smile_v2
0.272727,0.213014,0.00502343
0.272727,0.213014,0.00502343
0.272727,0.213014,0.00502343
0.272727,0.213014,0.00502343
0.272727,0.213014,0.00502343
0.30772,0.1989,0.00458745
0.329961,0.18993,0.00431036
0.334085,0.193075,0.00674142
0.336851,0.195185,0.00837165
0.334924,0.19226,0.00737377
0.334142,0.190049,0.00670332
0.333594,0.188497,0.00623287
0.333209,0.187408,0.00590274
0.320245,0.192998,0.00712767
0.30734,0.204905,0.0139554
0.297366,0.213631,0.0187579
0.301791,0.217853,0.0211563
0.305191,0.220562,0.022766
0.313923,0.21715,0.019619
0.320161,0.214882,0.0174717
0.324538,0.213291,0.0159649
0.333956,0.226691,0.0169243
0.340565,0.236095,0.0175976
0.350647,0.222469,0.0143282
0.357832,0.212677,0.0118613
0.352719,0.217594,0.0104142
0.347531,0.2307,0.0105664
0.338813,0.227402,0.0106223
0.332512,0.225241,0.0107853
0.343323,0.204672,0.0112002
0.353447,0.195205,0.00976744
0.351483,0.185905,0.00839245
0.353912,0.18121,0.00790142
0.35547,0.178495,0.00766394
0.352755,0.166059,0.00734544
0.356221,0.162286,0.00679762
0.352344,0.161305,0.00625112
0.349769,0.159501,0.00542312
0.347963,0.158236,0.0048421
0.357679,0.16494,0.00438149
0.364423,0.169501,0.00410817
0.366874,0.175641,0.00397294
0.35706,0.16799,0.00547109
0.337479,0.158843,0.00679724
0.323849,0.152729,0.0077322
0.328101,0.161508,0.00663213
0.317306,0.163472,0.00596843
0.321155,0.180156,0.00493779
0.320048,0.186832,0.00420932
0.307516,0.18401,0.00369849
0.311416,0.187272,0.00341682
0.311687,0.201972,0.00316699
0.304592,0.222685,0.0105774
0.292364,0.237114,0.0217905
-1,-1,-1
-1,-1,-1
0.347107,0.105947,0.0585649
0.347107,0.105947,0.0585649
0.347107,0.105947,0.0585649
0.376396,0.179992,0.0381988
0.392604,0.220969,0.0269281
0.405187,0.261571,0.0197858
0.413185,0.287376,0.0152464
0.407958,0.252683,0.0115631
0.404454,0.229418,0.00909312
0.375413,0.203756,0.00686284
0.355546,0.186846,0.004858
0.333988,0.17288,0.00356379
0.332824,0.167157,0.00254636
0.331346,0.16147,0.00229227
0.322693,0.150701,0.00854124
0.320355,0.147244,0.0218372
0.332678,0.159384,0.0916868
0.341619,0.169351,0.14072
0.337738,0.172463,0.100763
0.335786,0.174932,0.0727403
0.334416,0.176664,0.0530769
0.331137,0.160923,0.321731
0.328432,0.149759,0.51025
0.322725,0.148471,0.656294
0.318941,0.147764,0.758588
0.317445,0.138181,0.819089
0.315992,0.131035,0.859792
0.306086,0.12569,0.886604
0.328624,0.117035,0.750092
0.331746,0.109232,0.668954
0.341553,0.106299,0.523361
0.348508,0.104733,0.413024
0.363543,0.109961,0.287781
0.346277,0.10938,0.205722
0.33797,0.113398,0.142905
0.332104,0.116478,0.0991452
0.331796,0.107359,0.0678737
0.334376,0.102625,0.0523746
0.335341,0.0994478,0.0460566
0.331308,0.0981842,0.0418669
0.328258,0.097224,0.041493
0.318501,0.0959227,0.0813265
0.311361,0.0948265,0.110662
0.30462,0.0941492,0.122633
0.29978,0.0935458,0.131184
0.319232,0.0976748,0.218404
0.330233,0.0972032,0.295948
0.337879,0.0968245,0.350175
0.343244,0.0987118,0.397633
0.347156,0.10001,0.430915
0.347362,0.0924175,0.447507
0.347727,0.0871082,0.457989
0.340367,0.0970215,0.458885
0.354316,0.100653,0.429842
0.351411,0.100322,0.303566
0.348711,0.099959,0.212606
0.34689,0.099811,0.148308
0.341804,0.0983374,0.105857
0.338235,0.097241,0.0757969
0.345885,0.0975458,0.0524337
0.343711,0.103066,0.035383
0.325684,0.102651,0.0226194
0.313254,0.101966,0.0138501
0.316675,0.108431,0.0118077
0.319443,0.113051,0.0134396
0.321385,0.116293,0.0145846
0.312593,0.115113,0.015691
0.306534,0.114324,0.0163902
0.302282,0.105939,0.0148868
0.299004,0.100024,0.0138976
0.30708,0.0970672,0.0122939
0.313224,0.0951163,0.0111916
0.30992,0.0998122,0.00934384
0.307233,0.102909,0.00795332
0.328197,0.105559,0.00738947
0.334021,0.104895,0.00945634
0.338403,0.104528,0.0108979
0.318628,0.103705,0.0134616
0.304752,0.103354,0.0153183
0.288669,0.108152,0.0131038
0.284705,0.120656,0.0114861
0.276847,0.125345,0.010339
0.271553,0.12846,0.00956512
0.269107,0.130384,0.00952051
0.26673,0.131719,0.00947728
0.265319,0.13273,0.00937568
0.273214,0.12917,0.00859815
0.279416,0.126688,0.00800763
0.288845,0.122829,0.00690508
0.295645,0.119976,0.00623321
0.295119,0.12304,0.0073159
0.294897,0.125309,0.00807597
0.297279,0.134688,0.00663113
0.292568,0.141478,0.00634782
0.289262,0.134916,0.00570288
0.29075,0.132888,0.00521875
0.291537,0.131588,0.00489947
0.295897,0.124353,0.00483717
0.29881,0.119337,0.00481336
0.299585,0.124977,0.158274
0.301544,0.13047,0.245565
0.320691,0.131432,0.46865
0.326436,0.130956,0.628165
0.330651,0.130616,0.740076
0.320916,0.130581,0.819936
0.331745,0.131295,0.861244
0.330458,0.122336,0.906051
0.329445,0.116232,0.937487
0.350314,0.117303,0.953126
0.364994,0.117789,0.959658
0.35241,0.112058,0.974652
0.343065,0.108121,0.980489
0.336728,0.105385,0.984501
0.320857,0.0942468,0.987125
0.310088,0.086435,0.988928
0.322327,0.0783053,0.992376
0.331172,0.0728744,0.994337
0.310722,0.0781334,0.995503
0.295747,0.0816688,0.996508
0.306819,0.0863852,0.996729
0.315249,0.0898691,0.9966
0.300855,0.0874801,0.99697
0.290754,0.0858036,0.99723
0.283997,0.0848941,0.997417
0.313529,0.101316,0.997581
0.333663,0.112915,0.997644
0.319866,0.123498,0.997651
0.310955,0.130662,0.997662
0.304703,0.135689,0.99767
0.313654,0.143454,0.998024
0.318666,0.148008,0.998369
0.322771,0.151344,0.998598
0.325651,0.153685,0.998759
0.325133,0.203144,0.998493
0.331394,0.198889,0.998131
0.320555,0.18918,0.995529
0.313757,0.182296,0.993704
0.333105,0.257773,0.978094
0.346682,0.310735,0.96714
0.349458,0.276981,0.974839
0.351442,0.253322,0.980239
0.352835,0.231163,0.977808
0.353812,0.215614,0.976102
0.354571,0.203319,0.974916
0.34219,0.183566,0.979439
0.333943,0.1699,0.982681
0.325617,0.161414,0.978886
0.319077,0.153136,0.976638
0.330989,0.137364,0.976602
0.339532,0.128346,0.976131
0.345526,0.122018,0.9758
0.330692,0.111754,0.982837
0.320283,0.104553,0.987776
0.328211,0.103637,0.991383
0.334142,0.103348,0.993759
0.335764,0.104396,0.993856
0.336977,0.1051,0.994099
0.340366,0.0902743,0.995938
0.342267,0.0801596,0.997183
0.3436,0.0730621,0.998057
0.334381,0.0726553,0.998436
0.328463,0.072543,0.998497
0.330658,0.0800615,0.998662
0.331756,0.0852175,0.998773
0.357915,0.0866089,0.998633
0.380152,0.0845983,0.998757
0.394486,0.123483,0.998184
0.393047,0.130985,0.995574
0.392037,0.136249,0.993742
0.374827,0.150923,0.990385
0.363044,0.161087,0.988036
0.363662,0.15526,0.99052
0.363911,0.150951,0.99226
0.370433,0.161973,0.994454
0.374275,0.169771,0.996
0.374322,0.199069,0.996887
0.374391,0.21846,0.997529
0.374771,0.232653,0.998041
0.375037,0.20656,0.998375
0.375702,0.187933,0.998669
0.377437,0.226824,0.998647
0.378398,0.254489,0.998512
0.367648,0.244538,0.998358
0.359921,0.218409,0.998277
0.363384,0.212204,0.997115
0.365888,0.207163,0.996305
0.352412,0.18261,0.994128
0.342957,0.165381,0.9926
0.340129,0.161142,0.991433
0.335607,0.159486,0.991323
0.332397,0.156821,0.991252
0.333952,0.161134,0.988728
0.335374,0.165011,0.986958
0.32114,0.173277,0.937604
0.312164,0.163276,0.89229
0.293171,0.162945,0.846462
0.280285,0.163322,0.814351
0.286475,0.175962,0.779043
0.28817,0.172634,0.7358
0.289433,0.17026,0.705436
0.278895,0.151932,0.752138
0.27139,0.138892,0.784981
0.285164,0.124505,0.821296
0.292731,0.119086,0.834702
0.298005,0.115731,0.84442
0.298265,0.115862,0.890201
0.298447,0.115953,0.922326
0.317174,0.122214,0.942965
0.32912,0.123061,0.958336
0.334963,0.123679,0.971985
0.339394,0.124596,0.979595
0.331079,0.122639,0.985025
0.324693,0.121418,0.988452
0.313939,0.120551,0.985538
0.305123,0.144894,0.973576
0.299047,0.161898,0.964067
0.293514,0.171463,0.973542
0.289081,0.177985,0.980256
0.291084,0.17021,0.985825
0.284947,0.165022,0.989593
0.280641,0.148404,0.992214
0.277949,0.136817,0.99405
0.27733,0.19011,0.995259
0.27708,0.227502,0.996272
0.276941,0.253019,0.99727
0.28192,0.205829,0.997457
0.285451,0.172784,0.997122
0.28666,0.149688,0.99651
0.287361,0.133842,0.996056
0.307114,0.115784,0.996508
0.320974,0.103488,0.996826
0.297697,0.105496,0.997602
0.281326,0.105128,0.998148
0.269839,0.102147,0.998269
0.261778,0.100056,0.998354
0.255975,0.100472,0.998428
0.244287,0.102253,0.998732
0.236122,0.1035,0.998956
0.245625,0.092045,0.999188
0.256819,0.0878836,0.999331
0.268483,0.0899497,0.999053
0.277622,0.0891023,0.997946
0.281497,0.0787612,0.997672
0.284215,0.0715836,0.997487
0.286123,0.0665471,0.997357
0.293809,0.0661698,0.997281
0.299422,0.0658621,0.997221
0.3059,0.111929,0.99788
0.310004,0.144611,0.99834
