AU02,AU04cand,Smile_v2
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.35124,0.0112346,0.00238831
0.35124,0.0112346,0.00238831
0.234472,0.0502083,0.00198665
0.21862,0.0540767,0.00174597
0.165288,0.089277,0.00150686
0.133095,0.110525,0.00136252
0.143576,0.109137,0.00123891
0.150458,0.108226,0.00115776
0.14993,0.0981041,0.00115423
0.144493,0.0794077,0.000864393
0.138888,0.0670607,0.000650043
0.128609,0.0651076,0.00051696
0.121134,0.0583285,0.000521112
0.115008,0.0538981,0.000525196
0.118158,0.0442699,0.00056912
0.122907,0.0364839,0.000553238
0.127933,0.0311188,0.000645997
0.123844,0.0276748,0.00054305
0.12493,0.0233195,0.000574168
0.125838,0.0206053,0.000604323
0.125207,0.0190834,0.000738852
0.11987,0.0216273,0.000633568
0.122545,0.0236938,0.000578137
0.142193,0.0246263,0.000672211
0.155797,0.0262575,0.000593891
0.151306,0.0219759,0.000591628
0.140465,0.0435568,0.00267031
0.133079,0.0586908,0.00413379
0.11763,0.0708347,0.00480325
0.113137,0.0780752,0.0044852
0.0985963,0.0808703,0.00534291
0.101234,0.0611243,0.00408672
0.0914765,0.0515572,0.00316462
0.0891929,0.0403831,0.00242963
0.0901292,0.0333749,0.00179564
0.0911903,0.0286152,0.00134928
0.0921554,0.0245639,0.000975776
0.0928325,0.0217211,0.000713685
0.0936016,0.0196841,0.000540034
0.0888801,0.0228521,0.000487353
0.0858977,0.025141,0.000419008
0.0834375,0.0273721,0.000424994
0.0820419,0.0288135,0.000430353
0.0809156,0.0299545,0.000436547
0.0800517,0.0307303,0.000444436
0.0794456,0.0312747,0.000449971
0.0790203,0.0316567,0.000453856
0.0914155,0.0419848,0.0349311
0.0810728,0.037869,0.0253796
0.0726928,0.0391767,0.0184342
0.0668126,0.0400943,0.0135606
0.0626864,0.0603182,0.00993596
0.0762928,0.0740663,0.00726321
0.0858405,0.0837135,0.00538773
0.0836545,0.0820151,0.00397337
0.0871981,0.0811988,0.00317473
0.0947621,0.0863523,0.00243772
0.102241,0.0674753,0.00100735
0.10804,0.0545581,0.000980299
0.10453,0.0504242,0.00110437
0.100798,0.0518729,0.000984054
0.0981786,0.047084,0.000845703
0.0958632,0.0437363,0.000752365
0.0929691,0.0488082,0.000716938
0.100081,0.0639658,0.000692578
0.104925,0.0745911,0.000669874
0.0954826,0.0854896,0.000544053
0.0887837,0.0937798,0.000453316
0.0929686,0.0914984,0.000554972
0.101203,0.0779554,0.000559064
0.107018,0.0683263,0.000567937
0.106021,0.059177,0.000560182
0.105321,0.0527568,0.000554741
0.112483,0.0424101,0.000574599
0.117252,0.0348211,0.000588603
0.13583,0.0300395,0.000533848
0.139079,0.0253889,0.000473595
0.141359,0.0221255,0.000431315
0.132546,0.0230151,0.000406464
0.108445,0.0274771,0.000396934
0.110573,0.0266737,0.000444844
0.11856,0.0242132,0.000458837
0.124165,0.0224865,0.000468656
0.131685,0.0234737,0.00043318
0.136962,0.0241664,0.000408287
0.141494,0.0257948,0.000524057
0.144968,0.026972,0.000606021
0.127095,0.0341239,0.000543117
0.13008,0.0388846,0.000493691
0.132689,0.042124,0.000458833
0.137777,0.0376011,0.000709625
0.131009,0.0489014,0.000806045
0.135145,0.0470024,0.000763783
0.137937,0.045611,0.000735334
0.144974,0.044612,0.00070583
0.153683,0.0465248,0.000701561
0.159794,0.047867,0.000698565
0.160862,0.0516828,0.000726796
0.16117,0.0543654,0.000746751
0.133461,0.0546126,0.000594003
0.113907,0.0512043,0.000496735
0.100479,0.0483953,0.000430801
0.0984162,0.0577843,0.000379361
0.0969686,0.0643727,0.000343265
0.0881897,0.0580382,0.000353967
0.0819193,0.0535167,0.000360891
0.0813274,0.0504325,0.000326614
0.0810223,0.0481798,0.000301785
0.0757307,0.0500135,0.000329667
0.0715565,0.049269,0.000366866
0.0686274,0.048856,0.00039245
0.0703802,0.0532664,0.000398655
0.0713897,0.0560407,0.000403251
0.0784449,0.0530996,0.000468677
0.0886934,0.0579914,0.000467717
0.0958849,0.0614239,0.000467042
0.107168,0.0551082,0.00057408
0.115085,0.0506765,0.000649189
0.119518,0.0500481,0.000678827
0.122666,0.0496673,0.000699253
0.129952,0.0498621,0.000632315
0.109567,0.086096,0.000537984
0.0952627,0.111522,0.000471791
0.105352,0.124342,0.000410477
0.112284,0.133147,0.000368779
0.110802,0.147093,0.000422974
0.0968843,0.150678,0.000349209
0.0972732,0.148548,0.000337754
0.0963136,0.170758,0.000328004
0.0956401,0.186342,0.000321163
0.0975594,0.171289,0.000374477
0.0996409,0.159677,0.000413269
0.10364,0.174773,0.000379472
0.0995119,0.175968,0.000345941
0.0966151,0.176807,0.000322413
0.0795337,0.164303,0.000321716
0.0679149,0.155716,0.000324374
0.0658149,0.132952,0.000277707
0.0643781,0.11629,0.000245028
0.0735248,0.111746,0.000284703
0.0874858,0.0839881,0.000417297
0.0972824,0.0645101,0.000510339
0.12947,0.0501528,0.000592847
0.152241,0.0403546,0.000651037
0.140293,0.038294,0.00115047
0.132349,0.0372206,0.0015004
0.126776,0.0393102,0.00160286
0.120142,0.0423365,0.00137661
0.115487,0.0444601,0.00121785
0.128429,0.0459921,0.0011389
0.13729,0.0478,0.00108042
0.120659,0.0487129,0.000869418
0.106984,0.0464295,0.00079714
0.0973891,0.0448272,0.000746422
0.116852,0.0373388,0.000607588
0.116546,0.0313144,0.000549958
0.126486,0.0266655,0.000547061
0.133534,0.0233723,0.000553697
0.124517,0.0301807,0.000522571
0.115174,0.0411573,0.000409368
0.108617,0.0488596,0.000329932
0.117371,0.0530913,0.000283321
0.123551,0.0561453,0.000248407
0.130426,0.0578568,0.000224159
0.134516,0.0592378,0.000209748
0.131442,0.062652,0.000264714
0.126453,0.0732763,0.000364843
0.122952,0.0807314,0.000435104
0.129786,0.0853492,0.000523303
0.125768,0.0873576,0.000516097
0.139451,0.0776475,0.000600652
0.11949,0.0765993,0.000694599
0.105483,0.0758639,0.000760523
