AU02,AU04cand,Smile_v2
0.0330578,0.106094,0.0948859
0.0330578,0.106094,0.0948859
0.0481246,0.0998938,0.0975685
0.0421919,0.107055,0.0770344
0.0374234,0.104013,0.0684785
0.0401438,0.120348,0.0660985
0.0405275,0.135221,0.0695806
0.0407794,0.140854,0.0731324
0.038377,0.162301,0.0674057
0.0380124,0.173488,0.067034
0.0390732,0.178777,0.065401
0.0398176,0.182489,0.0642551
0.0451235,0.187079,0.067428
0.0491406,0.18688,0.0694344
0.0545348,0.191939,0.0665587
0.0556343,0.202005,0.0648589
0.0564426,0.208945,0.0635297
0.0570097,0.213931,0.0625615
0.0574812,0.199357,0.0581206
0.0552365,0.191602,0.0636827
0.0536247,0.186249,0.0676182
0.0524937,0.182493,0.0703798
0.0515531,0.179803,0.072201
0.0508931,0.178008,0.0734996
0.0503565,0.176603,0.0745328
0.0500534,0.175415,0.0752464
0.0523795,0.200118,0.0727433
0.0540117,0.217452,0.0709868
0.055157,0.230124,0.0698698
0.0560342,0.238947,0.0688319
0.0566497,0.245139,0.0681036
0.0570816,0.249483,0.0675926
0.0573846,0.252532,0.0672339
0.0575973,0.254671,0.0669823
0.0577465,0.256172,0.0668057
0.0578512,0.257225,0.0666818
0.0654674,0.224365,0.0556916
0.0568487,0.208784,0.0498722
0.0508009,0.201947,0.0476528
0.0516346,0.193585,0.0447598
0.0522197,0.187716,0.0427298
0.0500914,0.178069,0.0428963
0.0524062,0.177253,0.0440984
0.0540304,0.17668,0.0449419
0.0500927,0.183475,0.0457094
0.0473296,0.198614,0.0528385
0.0489783,0.21366,0.0514636
0.0480007,0.217704,0.0527107
0.0473147,0.205767,0.0528385
0.049225,0.186762,0.0483482
0.0505656,0.173427,0.0451974
0.0477716,0.169604,0.0430063
0.0444315,0.187165,0.0409034
0.0420877,0.199488,0.0394278
0.0431288,0.207827,0.0381651
0.0425899,0.228048,0.0419146
0.0459097,0.23522,0.0367955
0.0483126,0.249912,0.0343172
0.0487295,0.259803,0.0327266
0.0489485,0.267055,0.0317442
0.0491021,0.272143,0.0310548
0.0505895,0.278905,0.0314869
0.0491313,0.28282,0.031281
