AU02,AU04cand,Smile_v2
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0.677686,0.0228685,0.179518
0.631548,0.0276068,0.182533
0.616793,0.0291221,0.183497
0.593584,0.0320826,0.145972
0.58074,0.0337209,0.125206
0.567388,0.0343532,0.112454
0.558902,0.0318412,0.0880498
0.55464,0.0357427,0.0799391
0.551782,0.038359,0.0745002
0.56634,0.0360904,0.0855526
0.569089,0.0309384,0.0715162
0.576794,0.0281064,0.0624922
0.584739,0.0277826,0.0538534
0.586873,0.0281975,0.0524019
0.561714,0.0382843,0.0950838
0.570864,0.0475819,0.112977
0.577284,0.0541857,0.125978
0.537325,0.0731603,0.121321
0.509285,0.0864748,0.118053
0.496748,0.0963018,0.111704
0.488134,0.103304,0.107853
0.481943,0.108194,0.105125
0.445791,0.0999652,0.101131
0.416725,0.111457,0.0934853
0.397101,0.119237,0.0868553
0.400331,0.115659,0.0762855
0.400058,0.10298,0.0635326
0.401152,0.0936632,0.0549762
0.40319,0.100771,0.0420025
0.404399,0.105747,0.0330038
0.401439,0.0863691,0.028007
0.399363,0.0727715,0.0245007
0.377245,0.0731237,0.0201018
0.380875,0.070156,0.0160211
0.366921,0.076895,0.015054
0.354076,0.073278,0.0129341
0.350213,0.0896503,0.0107346
0.348773,0.10917,0.00955313
0.350264,0.0937373,0.0100032
0.35131,0.0829085,0.0103189
0.324228,0.0912847,0.0116912
0.31411,0.0986814,0.0111802
0.303827,0.0998309,0.00989591
0.29606,0.100716,0.00902745
0.310128,0.105113,0.0103451
0.336575,0.105864,0.0114825
0.337215,0.10312,0.0126299
0.323664,0.121381,0.0134725
0.328045,0.119016,0.0120457
0.331119,0.14073,0.0119997
0.34297,0.13415,0.0130362
0.353567,0.126997,0.0130231
0.373807,0.125356,0.0126011
0.38801,0.124205,0.012305
0.354266,0.193236,0.0193944
0.33265,0.245012,0.0231913
0.282453,0.409692,0.0264498
0.257789,0.525072,0.0292347
0.224845,0.635697,0.0280727
0.201729,0.721991,0.0255434
0.20683,0.742168,0.0227305
0.215414,0.750047,0.0211431
0.214722,0.681513,0.0179383
0.225662,0.582044,0.0155166
0.243473,0.475448,0.0175845
0.268591,0.3834,0.0181123
0.266935,0.30731,0.0140992
0.259132,0.242509,0.01186
0.245213,0.182523,0.0103778
0.2456,0.140525,0.0100248
0.242709,0.133005,0.00864339
0.240533,0.127912,0.0076635
0.260769,0.154009,0.00902109
0.264483,0.147641,0.010315
0.278256,0.224605,0.00995302
0.287554,0.230601,0.00928552
0.297204,0.32989,0.00815742
0.32447,0.339196,0.00727942
0.331165,0.370254,0.0062216
0.345725,0.384184,0.00503707
0.352207,0.399127,0.00433627
0.361833,0.391749,0.00369401
0.348922,0.361436,0.00296306
0.33381,0.319196,0.00241106
0.35207,0.249721,0.00228357
0.368691,0.196917,0.00211006
0.425979,0.155587,0.00232932
0.465589,0.128342,0.00248518
0.47725,0.129221,0.00220058
0.520681,0.105036,0.0020928
0.547458,0.100612,0.00189652
0.566101,0.0980252,0.00176315
0.559424,0.153621,0.00186865
0.554923,0.193262,0.00194354
0.533148,0.227749,0.00207393
0.517758,0.252108,0.00216823
0.513253,0.272383,0.00221304
0.493589,0.293579,0.00230713
0.485347,0.32021,0.00224838
0.495036,0.31524,0.00216719
0.490521,0.319027,0.00208759
0.470851,0.345125,0.00210011
0.477946,0.331343,0.00213844
0.486733,0.309158,0.00220975
0.464217,0.281721,0.00202585
0.476344,0.252913,0.00173811
0.47067,0.262109,0.00139094
0.467166,0.26836,0.00114551
0.44552,0.279148,0.0010925
0.429853,0.287424,0.0010564
0.416652,0.283486,0.00107747
0.407866,0.280043,0.00109028
0.394766,0.249256,0.00155113
0.385464,0.228015,0.00187322
0.378512,0.209847,0.00220758
0.372825,0.197375,0.00244679
0.352738,0.17647,0.00200423
0.338642,0.161801,0.00169368
0.324224,0.133454,0.00135889
0.322993,0.110083,0.00110473
0.289199,0.158544,0.000949948
0.265486,0.19255,0.000841335
0.235067,0.171583,0.000660572
0.207375,0.182924,0.000553844
0.196865,0.197767,0.000561685
0.189491,0.208183,0.000567187
0.180986,0.210235,0.000655887
0.175018,0.211674,0.000718129
0.22556,0.222063,0.000777607
0.260768,0.229453,0.000819899
0.291506,0.2128,0.000761552
0.316884,0.214471,0.000870706
0.427759,0.187856,0.00114766
0.505745,0.168427,0.00134142
0.598291,0.181046,0.00157511
0.658154,0.185492,0.00166162
0.70027,0.16234,0.00169237
0.729823,0.146094,0.00171395
0.748981,0.134438,0.00172872
0.758616,0.197472,0.00209229
0.766499,0.191088,0.00203809
0.771921,0.186221,0.00199571
0.752733,0.178603,0.00181012
0.750693,0.181928,0.00194076
0.750699,0.165671,0.00171775
0.722923,0.153214,0.00174493
0.674238,0.139872,0.00173109
0.626112,0.142398,0.00178803
0.592342,0.14417,0.00182798
0.590335,0.154219,0.00146851
0.535576,0.182611,0.00126279
0.495882,0.21072,0.00108331
0.468617,0.230591,0.000961717
0.435191,0.285239,0.00102884
0.412932,0.274901,0.0009242
0.37908,0.28806,0.000789752
0.363788,0.265521,0.000644492
0.336959,0.263747,0.00057134
0.307978,0.292772,0.000518812
0.290826,0.296374,0.000476571
0.28795,0.266928,0.000427429
0.283429,0.242523,0.000423448
0.282796,0.228903,0.000391168
0.289102,0.246584,0.000369024
0.292222,0.26171,0.000328808
0.303847,0.28601,0.000326671
0.30036,0.270351,0.000297873
0.283158,0.318979,0.000360804
0.27392,0.352859,0.000397048
0.274944,0.315965,0.00037608
0.267826,0.282042,0.000388862
0.245133,0.254318,0.000353748
0.229136,0.234762,0.000329962
0.224074,0.223085,0.00033487
0.229444,0.218328,0.000338158
0.221531,0.215086,0.00032169
0.216309,0.213785,0.000310969
0.209278,0.206573,0.000311693
0.192846,0.195152,0.000305907
