AU02,AU04cand,Smile_v2
0.760331,0.28088,0.00182953
0.760331,0.28088,0.00182953
0.735847,0.261775,0.00237716
0.747115,0.248084,0.00270064
0.717703,0.293813,0.00369709
0.732142,0.2532,0.00403083
0.749391,0.309874,0.00317705
0.762026,0.310787,0.00277398
0.743499,0.252815,0.00832197
0.723282,0.218297,0.0128853
0.711485,0.257941,0.0237453
0.698129,0.270821,0.0287561
0.689235,0.280232,0.0322616
0.688827,0.285549,0.0330472
0.605644,0.319943,0.189978
0.634015,0.341161,0.133689
0.661319,0.352099,0.0942317
0.686788,0.347868,0.0664965
0.694008,0.325898,0.0470196
0.700563,0.282843,0.0513487
0.700012,0.309613,0.0517816
0.735315,0.305138,0.0607847
0.770242,0.266895,0.0696642
0.798375,0.213954,0.0698145
0.824349,0.186007,0.0860231
0.832423,0.161613,0.0802379
0.853101,0.164788,0.0694942
0.867428,0.16739,0.0619565
0.876542,0.145952,0.0474537
0.867668,0.173687,0.0345354
0.865396,0.15011,0.0252334
0.855157,0.152292,0.0176932
0.847678,0.154839,0.0123282
0.792815,0.133384,0.00860088
0.782133,0.10913,0.00551295
0.779935,0.101896,0.0040512
0.789377,0.0908591,0.00305434
0.796002,0.0969216,0.0025466
0.785455,0.113917,0.00197609
0.794997,0.107666,0.00172963
0.801582,0.104477,0.00156554
0.807693,0.096156,0.00213713
0.795479,0.0881655,0.0027686
0.81119,0.0712394,0.00586002
0.821406,0.0596201,0.00802567
0.809387,0.0574863,0.0119651
0.82728,0.05661,0.0473051
0.814448,0.0631183,0.0690537
0.803346,0.0610288,0.0545488
0.807771,0.0648864,0.0440833
0.801991,0.0666909,0.0327057
0.804245,0.0722772,0.0239487
0.808843,0.0761744,0.0177034
0.805062,0.0794699,0.013263
0.816371,0.0907052,0.00977191
0.822319,0.107862,0.0075518
0.82826,0.124017,0.00629667
0.824279,0.125134,0.0220835
0.821558,0.1261,0.0340231
0.824359,0.120309,0.0321648
0.794847,0.105286,0.040923
0.789188,0.088528,0.0386567
0.726752,0.0830235,0.0334747
0.683124,0.0791547,0.0298379
0.680032,0.0679012,0.0248469
0.677936,0.0597309,0.021336
0.70051,0.0555413,0.0205361
0.698836,0.0489727,0.020084
0.695123,0.0426939,0.0182963
0.69237,0.0463336,0.0191186
0.70659,0.0560876,0.0170193
0.733898,0.0543989,0.0165154
0.762366,0.0596645,0.0170105
0.774726,0.0587609,0.0167931
0.740702,0.0635134,0.0213255
0.678746,0.066378,0.0242737
0.651075,0.0577606,0.0251457
0.632173,0.0518271,0.0257405
0.645639,0.0498258,0.0225344
0.655088,0.0481939,0.0202332
0.685396,0.0427886,0.0183731
0.688377,0.0535071,0.0184534
0.691519,0.0609387,0.016573
0.697751,0.0701908,0.0145306
0.703337,0.0665758,0.0129984
0.689318,0.0691684,0.0103767
0.709469,0.0752915,0.0105216
0.741379,0.0731669,0.00967005
0.752845,0.0649933,0.00976649
0.76089,0.0592578,0.00983416
0.763299,0.0587457,0.0112038
0.765503,0.0579737,0.0121242
0.736548,0.0672462,0.0105969
0.730084,0.072132,0.00969973
0.714123,0.0673877,0.0101485
0.7314,0.0696881,0.0105489
0.742642,0.0711867,0.0107734
0.704319,0.0919151,0.00942076
0.72215,0.0893938,0.00767728
0.727045,0.079658,0.00705948
0.71786,0.0778889,0.00593729
0.692374,0.083436,0.00576731
0.714723,0.204712,0.0161488
0.730001,0.289855,0.023429
0.742322,0.275767,0.0187732
0.759045,0.279518,0.0137653
0.745392,0.333642,0.0101819
0.753636,0.379658,0.00755535
0.758135,0.412446,0.00573476
0.741202,0.384076,0.00450999
0.753806,0.346213,0.00410581
0.709888,0.337856,0.00411622
0.728706,0.322371,0.00336883
0.749527,0.27595,0.00609466
0.770447,0.233293,0.00574655
0.792486,0.204015,0.00698062
0.776952,0.185328,0.0077504
0.785883,0.230001,0.00927212
0.762955,0.216477,0.0116362
0.761417,0.192884,0.0113549
0.75964,0.176844,0.0111449
0.75105,0.237398,0.0121846
0.748631,0.272614,0.0134531
0.773369,0.258579,0.0129078
0.786737,0.225034,0.0127256
0.779395,0.191101,0.0135555
0.780238,0.254872,0.0115351
0.777704,0.27006,0.00936662
0.77677,0.262494,0.00786158
0.761748,0.285237,0.00789651
0.760093,0.291705,0.00798282
0.662716,0.313003,0.00825742
0.539657,0.334085,0.00680875
0.528697,0.37498,0.00610975
0.535079,0.325698,0.00659502
0.575577,0.314555,0.00603513
0.655892,0.285829,0.00600875
0.693282,0.226822,0.00673684
0.746176,0.209382,0.00667388
0.783696,0.198575,0.00728181
0.803419,0.174585,0.00636597
0.826399,0.142498,0.00892897
0.844103,0.128156,0.00957662
0.839089,0.116726,0.00870951
0.837706,0.107304,0.0105922
0.836976,0.100509,0.0121036
0.831149,0.0977886,0.0113459
0.827612,0.0970275,0.0107933
0.838321,0.0914756,0.00954492
0.839489,0.0892083,0.00945533
0.829068,0.090861,0.00982552
0.811417,0.0848944,0.00923305
0.805378,0.0964585,0.00770292
0.809197,0.0945035,0.00709051
0.781339,0.0854257,0.00734806
0.801104,0.0857255,0.00861847
0.815084,0.0803961,0.00812205
0.824894,0.0766564,0.00777371
0.762827,0.0710152,0.00888396
0.763886,0.0710163,0.0134574
0.749728,0.0683445,0.0420782
0.755319,0.0741644,0.0981309
0.753981,0.0868651,0.240089
0.750284,0.0868459,0.340835
0.72953,0.0792926,0.388271
0.723983,0.0726664,0.464755
0.695973,0.0674516,0.579786
0.682665,0.0638706,0.673151
0.667694,0.0627244,0.743143
0.644479,0.0663247,0.79988
0.617206,0.0676058,0.846213
0.625553,0.0714533,0.88901
0.629018,0.0782427,0.920363
0.634062,0.0843808,0.945589
0.625459,0.0911639,0.965851
0.626744,0.0911081,0.978353
0.639769,0.0899849,0.984212
0.639839,0.0897643,0.988614
0.629953,0.0959012,0.992581
0.627155,0.102471,0.995336
0.609021,0.0884109,0.997168
0.608181,0.0927993,0.998069
0.593703,0.088004,0.99852
0.580931,0.070936,0.998824
0.571067,0.066133,0.998789
0.563924,0.062903,0.998778
0.5827,0.0630167,0.99882
0.603749,0.0594076,0.998461
0.618812,0.0566919,0.99818
0.619117,0.0577902,0.998203
0.610923,0.059791,0.998471
0.583227,0.0580631,0.998488
0.545156,0.0579284,0.998606
0.521053,0.0661105,0.998478
0.528296,0.0808246,0.998028
0.530838,0.106937,0.997498
0.547157,0.102015,0.991898
0.539347,0.102132,0.985878
0.513557,0.117133,0.947007
0.495754,0.12757,0.919724
0.503829,0.115398,0.902802
0.48727,0.151025,0.9006
0.476203,0.176,0.899052
0.489942,0.162574,0.89129
0.44811,0.156132,0.910792
0.474682,0.129918,0.891416
0.464961,0.123721,0.84201
0.486617,0.116429,0.839674
0.478283,0.127922,0.818175
0.472435,0.135986,0.803089
0.500747,0.130275,0.755792
0.494618,0.112179,0.642621
0.490317,0.100175,0.550727
0.467635,0.0918494,0.462017
0.462073,0.0933753,0.36957
0.48575,0.0865322,0.308507
0.503172,0.0813968,0.266699
0.506972,0.0736091,0.222255
0.528109,0.0656301,0.21798
0.54294,0.0600312,0.21498
0.544776,0.077822,0.339555
0.546835,0.0906767,0.429277
0.54955,0.0868269,0.474938
0.550737,0.0963391,0.501657
0.53481,0.10508,0.603699
0.532945,0.105788,0.625347
0.535444,0.109819,0.628787
0.534879,0.159281,0.634374
